Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2018-09-17,LSKUSD,3.62,3.62,3.35,3.39,131.32,448.69
2018-09-16,LSKUSD,3.44,3.62,3.44,3.62,8.75,31.66
2018-09-15,LSKUSD,3.44,3.44,3.44,3.44,0.0,0.0
2018-09-14,LSKUSD,3.1,4.18,3.1,3.44,36.58,127.41
2018-09-13,LSKUSD,3.1,3.1,3.1,3.1,0.0,0.0
2018-09-12,LSKUSD,3.05,3.1,3.02,3.1,59.42,182.78
2018-09-11,LSKUSD,3.61,3.61,3.05,3.05,3.02,9.22
2018-09-10,LSKUSD,3.61,3.61,3.61,3.61,0.0,0.0
2018-09-09,LSKUSD,3.34,3.62,3.34,3.61,8.64,31.25
2018-09-08,LSKUSD,3.8,3.8,3.34,3.34,2.86,9.57
2018-09-07,LSKUSD,3.8,3.8,3.8,3.8,10.39,39.49
2018-09-06,LSKUSD,3.36,3.8,3.36,3.8,13.3,50.54
2018-09-05,LSKUSD,4.4,4.4,3.33,3.36,379.11,1596.13
2018-09-04,LSKUSD,4.4,4.4,4.4,4.4,0.0,0.0
2018-09-03,LSKUSD,4.38,4.4,4.38,4.4,15.29,67.26
2018-09-02,LSKUSD,4.38,4.38,4.38,4.38,0.0,0.0
2018-09-01,LSKUSD,4.92,4.92,4.38,4.38,0.1083,0.4742
2018-08-31,LSKUSD,4.76,4.92,4.7,4.92,29.87,141.83
2018-08-30,LSKUSD,5.03,5.03,4.22,4.76,98.23,422.85
2018-08-29,LSKUSD,4.92,5.03,4.9,5.03,59.11,295.18
2018-08-28,LSKUSD,4.92,4.92,4.92,4.92,0.0,0.0
2018-08-27,LSKUSD,5.02,5.02,4.92,4.92,9.8,48.19
2018-08-26,LSKUSD,5.09,5.09,4.27,5.02,1.85,8.52
2018-08-25,LSKUSD,5.09,5.09,5.09,5.09,0.0,0.0
2018-08-24,LSKUSD,4.31,5.09,4.31,5.09,134.64,677.61
