Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume JPY
2019-06-05,XEMJPY,8.87,9.22,8.61,9.01,22766469.1,204067772.39
2019-06-04,XEMJPY,9.5,9.6,8.56,8.87,38956103.0,356025047.23
2019-06-03,XEMJPY,10.4,10.6,9.5,9.5,25561747.1,256075437.91
2019-06-02,XEMJPY,10.06,10.49,10.03,10.4,15830218.2,163259159.07
2019-06-01,XEMJPY,10.62,10.63,10.01,10.06,17107115.8,175703333.38
2019-05-31,XEMJPY,9.9,11,9.39,10.62,53836136.9,550616539.39
2019-05-30,XEMJPY,9.89,11,9.68,9.9,57619351.2,598920612.14
2019-05-29,XEMJPY,9.97,10.15,9.3,9.89,23888557.9,233730166.36
2019-05-28,XEMJPY,10,10.1,9.56,9.97,16580986.0,162822193.2
2019-05-27,XEMJPY,9.7,10.29,9.57,10,38711372.0,383385764.11
2019-05-26,XEMJPY,9.18,9.75,8.71,9.7,24803766.9,228929130.99
2019-05-25,XEMJPY,9.3,9.47,9.06,9.18,9074415.0,83751429.74
2019-05-24,XEMJPY,8.89,9.6,8.8,9.3,27477058.2,256132122.49
2019-05-23,XEMJPY,8.67,9.1,8.01,8.89,34700699.2,295335662.76
2019-05-22,XEMJPY,9.7,9.76,8.5,8.67,29940495.8,272605928.04
2019-05-21,XEMJPY,9.85,10.05,9.48,9.7,17625610.3,172253862.12
2019-05-20,XEMJPY,10.4,10.41,9.44,9.85,28498313.9,281445369.39
2019-05-19,XEMJPY,9.59,10.64,9.57,10.4,39083556.6,399106917.49
2019-05-18,XEMJPY,10.2,10.4,9.5,9.59,29832786.9,295365325.55
2019-05-17,XEMJPY,11,11.09,8.8,10.2,65047684.8,618753082.29
2019-05-16,XEMJPY,8.8,12.8,8.52,11,157083561.4,1615488675.67
2019-05-15,XEMJPY,7.08,8.83,7.05,8.8,53352469.5,417562645.72
2019-05-14,XEMJPY,6.35,7.41,6.35,7.08,43722488.2,306087625.78
2019-05-13,XEMJPY,6.16,6.68,6.05,6.35,19868915.5,127196735.63
2019-05-12,XEMJPY,6.65,6.86,5.97,6.16,36887433.3,236991625.11
2019-05-11,XEMJPY,5.71,7.15,5.54,6.65,51925612.4,323978110.69
