Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume ETH
2018-05-07,BTGETH,0.09762,0.1031,0.09559,0.09664,1328.24,130.65
2018-05-06,BTGETH,0.09808,0.103,0.09613,0.09762,1474.18,144.78
2018-05-05,BTGETH,0.09538,0.09978,0.09372,0.09808,1259.03,121.52
2018-05-04,BTGETH,0.09844,0.09911,0.09354,0.09538,1475.2,141.65
2018-05-03,BTGETH,0.1105,0.1114,0.09751,0.09844,1630.87,167.9
2018-05-02,BTGETH,0.106,0.1121,0.1049,0.1105,1219.27,131.97
2018-05-01,BTGETH,0.1085,0.11,0.1046,0.106,1318.11,140.13
2018-04-30,BTGETH,0.1133,0.1143,0.1072,0.1085,1347.15,147.88
2018-04-29,BTGETH,0.1126,0.1191,0.1097,0.1133,1131.61,127.45
2018-04-28,BTGETH,0.1131,0.1139,0.1099,0.1126,1309.48,145.79
2018-04-27,BTGETH,0.1191,0.1194,0.1102,0.1131,1308.24,148.81
2018-04-26,BTGETH,0.1149,0.1196,0.1122,0.1191,1256.53,145.93
2018-04-25,BTGETH,0.1187,0.1212,0.108,0.1149,1577.51,182.42
2018-04-24,BTGETH,0.1206,0.1335,0.1187,0.1187,1341.5,168.27
2018-04-23,BTGETH,0.1054,0.1242,0.104,0.1206,1301.78,149.56
2018-04-22,BTGETH,0.1101,0.1102,0.1039,0.1054,1147.67,122.51
2018-04-21,BTGETH,0.113,0.1135,0.1035,0.1101,1269.28,137.54
2018-04-20,BTGETH,0.1047,0.1187,0.1021,0.113,1449.52,158.3
2018-04-19,BTGETH,0.105,0.1086,0.1025,0.1047,1253.85,131.8
2018-04-18,BTGETH,0.1017,0.1072,0.1008,0.105,1131.58,117.14
2018-04-17,BTGETH,0.1036,0.1036,0.1001,0.1017,1110.56,112.9
2018-04-16,BTGETH,0.09227,0.1055,0.09202,0.1036,1244.37,125.5
2018-04-15,BTGETH,0.091,0.09424,0.08964,0.09227,1428.03,131.29
2018-04-14,BTGETH,0.09172,0.09279,0.09028,0.091,1486.58,136.05
2018-04-13,BTGETH,0.09434,0.09473,0.09031,0.09172,1421.17,131.49
2018-04-12,BTGETH,0.09801,0.09969,0.09325,0.09434,1325.92,127.73
2018-04-11,BTGETH,0.09808,0.1008,0.09669,0.09801,1298.96,128.16
2018-04-10,BTGETH,0.1021,0.1025,0.09759,0.09808,1289.49,129.77
2018-04-09,BTGETH,0.1045,0.1055,0.1009,0.1021,1241.51,127.75
2018-04-08,BTGETH,0.1066,0.1069,0.104,0.1045,1385.25,146.13
2018-04-07,BTGETH,0.1061,0.1075,0.1054,0.1066,1582.88,168.49
2018-04-06,BTGETH,0.1081,0.1096,0.1054,0.1061,1127.03,120.56
2018-04-05,BTGETH,0.11,0.1177,0.1054,0.1081,1390.87,150.03
2018-04-04,BTGETH,0.1116,0.1126,0.1093,0.11,1399.57,154.78
2018-04-03,BTGETH,0.1098,0.119,0.1084,0.1116,1478.43,164.8
2018-04-02,BTGETH,0.1079,0.1109,0.1067,0.1098,1344.55,145.68
2018-04-01,BTGETH,0.1101,0.1121,0.1056,0.1079,1182.66,128.91
2018-03-31,BTGETH,0.1108,0.1126,0.1096,0.1101,1148.28,127.08
2018-03-30,BTGETH,0.1167,0.1188,0.1108,0.1108,1403.88,161.07
2018-03-29,BTGETH,0.1183,0.1195,0.1143,0.1167,1392.46,162.89
2018-03-28,BTGETH,0.1154,0.1196,0.1154,0.1183,1203.11,141.44
2018-03-27,BTGETH,0.1139,0.1188,0.1119,0.1154,1683.39,194.76
2018-03-26,BTGETH,0.1139,0.1171,0.1098,0.1139,1087.12,123.32
2018-03-25,BTGETH,0.1142,0.1184,0.111,0.1139,1372.15,157.46
2018-03-24,BTGETH,0.1073,0.1194,0.1073,0.1142,1168.9,129.76
2018-03-23,BTGETH,0.1108,0.1125,0.1069,0.1073,1473.63,161.75
2018-03-22,BTGETH,0.1131,0.1147,0.1093,0.1108,1468.35,164.52
2018-03-21,BTGETH,0.1161,0.1174,0.1106,0.1131,1478.61,168.2
2018-03-20,BTGETH,0.1203,0.1246,0.1151,0.1161,1580.19,186.32
2018-03-19,BTGETH,0.1054,0.125,0.1038,0.1203,1741.23,189.74
2018-03-18,BTGETH,0.1052,0.1108,0.1009,0.1054,1799.86,190.14
2018-03-17,BTGETH,0.1022,0.1087,0.1019,0.1052,1190.88,124.2
2018-03-16,BTGETH,0.1047,0.1085,0.09948,0.1022,1382.17,143.13
2018-03-15,BTGETH,0.1082,0.1088,0.1018,0.1047,1338.6,141.09
2018-03-14,BTGETH,0.1126,0.1138,0.107,0.1082,1260.71,140.75
2018-03-13,BTGETH,0.1132,0.1138,0.1108,0.1126,1226.25,137.38
2018-03-12,BTGETH,0.1162,0.1169,0.1122,0.1132,1204.76,137.97
2018-03-11,BTGETH,0.1139,0.1168,0.1117,0.1162,1196.44,136.4
2018-03-10,BTGETH,0.1139,0.1168,0.1121,0.1139,1247.27,142.54
2018-03-09,BTGETH,0.1217,0.1222,0.1119,0.1139,1376.02,158.67
2018-03-08,BTGETH,0.1182,0.1225,0.1165,0.1217,1196.48,142.62
2018-03-07,BTGETH,0.1238,0.1247,0.1174,0.1182,1193.88,145.45
2018-03-06,BTGETH,0.1267,0.1272,0.1207,0.1238,1218.89,150.78
2018-03-05,BTGETH,0.1275,0.1292,0.1256,0.1267,1539.02,195.02
2018-03-04,BTGETH,0.1281,0.1282,0.1242,0.1275,1229.64,154.95
2018-03-03,BTGETH,0.1288,0.1303,0.1262,0.1281,924.89,118.4
2018-03-02,BTGETH,0.1284,0.1319,0.1261,0.1288,1047.8,134.34
2018-03-01,BTGETH,0.1285,0.1349,0.126,0.1284,1023.35,132.55
2018-02-28,BTGETH,0.135,0.1353,0.1269,0.1285,1168.43,152.77
2018-02-27,BTGETH,0.1335,0.1398,0.1324,0.135,962.18,129.86
2018-02-26,BTGETH,0.1308,0.1342,0.1282,0.1335,1068.42,139.91
2018-02-25,BTGETH,0.1349,0.1397,0.1281,0.1308,1367.82,181.45
2018-02-24,BTGETH,0.1383,0.1396,0.1333,0.1349,1110.3,151.31
2018-02-23,BTGETH,0.1451,0.1572,0.1359,0.1383,1138.97,159.5
2018-02-22,BTGETH,0.1395,0.154,0.1339,0.1451,1650.24,233.02
