Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XTZ,Volume USD
2018-04-03,XTZUSD,2.79,3,2.71,2.94,45608.98,131552.92
2018-04-02,XTZUSD,2.7,2.89,2.67,2.79,41732.7,116896.02
2018-04-01,XTZUSD,2.88,2.94,2.59,2.7,59836.12,165881.35
2018-03-31,XTZUSD,2.85,3.02,2.75,2.88,48810.75,139686.54
2018-03-30,XTZUSD,2.83,3.18,2.71,2.85,50870.61,145454.04
2018-03-29,XTZUSD,3.16,3.17,2.8,2.83,53911.56,160162.92
2018-03-28,XTZUSD,3.05,3.24,2.99,3.16,41439.19,129825.19
2018-03-27,XTZUSD,3.55,3.7,2.9,3.05,54625.82,180414.74
2018-03-26,XTZUSD,3.99,4.22,3.32,3.55,48458.9,181743.07
2018-03-25,XTZUSD,3.98,4.15,3.73,3.99,50221.2,198352.21
2018-03-24,XTZUSD,3.56,4,3.42,3.98,58361.16,215546.03
2018-03-23,XTZUSD,3.42,3.56,3.25,3.56,43756.7,147231.48
2018-03-22,XTZUSD,3.42,3.51,3.25,3.42,42280.57,142166.55
2018-03-21,XTZUSD,3.35,3.65,3.24,3.42,45811.78,158915.51
2018-03-20,XTZUSD,3.09,3.57,2.79,3.35,47924.08,150229.28
2018-03-19,XTZUSD,2.88,3.3,2.87,3.09,49682.54,153302.53
2018-03-18,XTZUSD,2.85,2.89,2.58,2.88,60508.78,167108.22
2018-03-17,XTZUSD,3,3,2.73,2.85,48713.89,141567.72
2018-03-16,XTZUSD,3.19,3.21,3,3,37993.48,117720.44
2018-03-15,XTZUSD,3.1,3.39,2.88,3.19,45744.7,142050.03
2018-03-14,XTZUSD,3.38,3.67,2.98,3.1,54341.99,176989.34
2018-03-13,XTZUSD,3.27,3.47,3.16,3.38,38073.41,127108.25
2018-03-12,XTZUSD,3.54,3.96,3.2,3.27,47084.37,165022.69
2018-03-11,XTZUSD,3.05,3.63,2.92,3.54,50831.74,163048.46
2018-03-10,XTZUSD,3.1,3.3,2.92,3.05,59328.36,185545.98
2018-03-09,XTZUSD,3.04,3.58,2.52,3.1,95031.1,281483.88
2018-03-08,XTZUSD,3.43,3.72,2.88,3.04,118350.97,374118.51
2018-03-07,XTZUSD,3.67,3.76,3.38,3.43,44250.8,159793.6
2018-03-06,XTZUSD,4.09,4.1,3.54,3.67,53039.46,200329.79
2018-03-05,XTZUSD,4.26,4.29,4.01,4.09,33661.99,141395.9
2018-03-04,XTZUSD,4.42,4.46,4.02,4.26,41979.26,178577.84
2018-03-03,XTZUSD,4.33,4.5,4.2,4.42,31037.96,135770.47
2018-03-02,XTZUSD,4.43,4.5,4.31,4.33,31934.65,140468.22
2018-03-01,XTZUSD,4.27,4.59,4.18,4.43,45665.25,200585.07
2018-02-28,XTZUSD,4.36,4.9,4.1,4.27,58057.26,260019.45
2018-02-27,XTZUSD,3.97,4.5,3.71,4.36,43383.93,182777.66
2018-02-26,XTZUSD,4.75,4.83,2.53,3.97,121558.01,464984.68
2018-02-25,XTZUSD,4.9,5.11,4.65,4.75,41988.0,204745.15
2018-02-24,XTZUSD,4.81,5.11,4.5,4.9,74456.49,362020.37
2018-02-23,XTZUSD,4.12,4.84,3.9,4.81,64154.43,284150.93
2018-02-22,XTZUSD,3.64,4.3,3.34,4.12,98154.34,375163.13
2018-02-21,XTZUSD,4.02,4.08,3.6,3.64,47678.78,183891.58
2018-02-20,XTZUSD,3.56,4.72,3.5,4.02,79195.6,326965.4
2018-02-19,XTZUSD,2.9,3.78,2.74,3.56,40613.26,137268.66
2018-02-18,XTZUSD,2.75,2.98,2.59,2.9,49319.8,138201.6
2018-02-17,XTZUSD,2.69,2.9,2.67,2.75,55917.6,157247.73
2018-02-16,XTZUSD,2.53,2.9,2.5,2.69,56064.32,147807.41
2018-02-15,XTZUSD,2.48,2.83,2.45,2.53,51825.08,137302.37
2018-02-14,XTZUSD,2.6,2.87,2.2,2.48,158018.58,381623.99
2018-02-13,XTZUSD,3.21,3.24,2.05,2.6,125809.6,310465.27
2018-02-12,XTZUSD,2.98,3.28,2.97,3.21,57312.09,181479.72
2018-02-11,XTZUSD,3.28,3.3,2.85,2.98,57201.73,175692.71
2018-02-10,XTZUSD,3.17,3.53,3.11,3.28,57720.54,191818.74
2018-02-09,XTZUSD,2.99,3.34,2.77,3.17,57255.86,173298.9
2018-02-08,XTZUSD,2.45,3.04,2.42,2.99,70447.43,199328.6
2018-02-07,XTZUSD,2.47,2.9,2.18,2.45,78632.89,197046.85
2018-02-06,XTZUSD,2.46,2.51,1.66,2.47,157888.47,328638.97
2018-02-05,XTZUSD,3.03,3.13,2.24,2.46,86850.84,232567.69
2018-02-04,XTZUSD,3.16,3.5,2.95,3.03,74266.3,239888.48
