Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DBTC
2018-01-03,MAIDBTC,7.371e-05,7.899e-05,6.9e-05,7.67e-05,1843811.0,136.72
2018-01-02,MAIDBTC,7.834e-05,8.568e-05,7.089e-05,7.371e-05,1899516.0,151.41
2018-01-01,MAIDBTC,6.616e-05,8.423e-05,6.121e-05,7.834e-05,1824637.0,139.67
2017-12-31,MAIDBTC,6.203e-05,6.681e-05,5.903e-05,6.616e-05,1744591.0,109.72
2017-12-30,MAIDBTC,6.044e-05,6.5e-05,5.817e-05,6.203e-05,1954720.0,120.56
2017-12-29,MAIDBTC,6.429e-05,6.578e-05,5.515e-05,6.044e-05,1306628.0,79.98
2017-12-28,MAIDBTC,6.126e-05,6.766e-05,5.573e-05,6.429e-05,1516130.0,94.67
2017-12-27,MAIDBTC,5.595e-05,6.924e-05,5.092e-05,6.126e-05,2130464.0,122.52
2017-12-26,MAIDBTC,6.416e-05,6.731e-05,4.912e-05,5.595e-05,2370768.0,133.63
2017-12-25,MAIDBTC,5.72e-05,6.925e-05,5.521e-05,6.416e-05,2116861.0,133.61
2017-12-24,MAIDBTC,5.616e-05,5.999e-05,5.2e-05,5.72e-05,1918874.0,107.64
2017-12-23,MAIDBTC,4.81e-05,5.844e-05,4.736e-05,5.616e-05,1938696.0,99.89
2017-12-22,MAIDBTC,5.153e-05,5.458e-05,4.106e-05,4.81e-05,2202514.0,102.64
2017-12-21,MAIDBTC,4.712e-05,5.155e-05,4.247e-05,5.153e-05,1934408.0,93.97
2017-12-20,MAIDBTC,3.945e-05,4.995e-05,3.23e-05,4.712e-05,2673576.0,111.1
2017-12-19,MAIDBTC,3.829e-05,4.487e-05,3.612e-05,3.945e-05,2302923.0,92.48
2017-12-18,MAIDBTC,3.14e-05,4.0e-05,3.021e-05,3.829e-05,2195143.0,78.53
2017-12-17,MAIDBTC,2.343e-05,3.269e-05,2.326e-05,3.14e-05,1946001.0,51.84
2017-12-16,MAIDBTC,2.812e-05,2.912e-05,2.227e-05,2.343e-05,2163868.0,56.8
2017-12-15,MAIDBTC,2.814e-05,2.924e-05,2.51e-05,2.812e-05,1965528.0,52.16
2017-12-14,MAIDBTC,3.165e-05,3.206e-05,2.717e-05,2.814e-05,1849702.0,54.26
2017-12-13,MAIDBTC,3.198e-05,3.316e-05,2.8e-05,3.165e-05,1892805.0,59.3
2017-12-12,MAIDBTC,2.619e-05,3.25e-05,2.56e-05,3.198e-05,1731312.0,52.35
2017-12-11,MAIDBTC,2.931e-05,2.999e-05,2.322e-05,2.619e-05,2821075.0,78.85
2017-12-10,MAIDBTC,3.274e-05,3.485e-05,2.806e-05,2.931e-05,2386145.0,72.99
2017-12-09,MAIDBTC,3.14e-05,3.489e-05,3.001e-05,3.274e-05,2760510.0,89.97
2017-12-08,MAIDBTC,2.903e-05,3.527e-05,2.294e-05,3.14e-05,2579851.0,78.91
2017-12-07,MAIDBTC,3.948e-05,4.166e-05,2.827e-05,2.903e-05,2456959.0,87.67
2017-12-06,MAIDBTC,5.337e-05,5.347e-05,3.457e-05,3.948e-05,2073092.0,96.77
2017-12-05,MAIDBTC,4.995e-05,5.492e-05,4.879e-05,5.337e-05,1765991.0,90.95
2017-12-04,MAIDBTC,4.767e-05,5.193e-05,4.716e-05,4.995e-05,2207970.0,109.31
2017-12-03,MAIDBTC,4.599e-05,4.994e-05,4.584e-05,4.767e-05,1854429.0,88.93
2017-12-02,MAIDBTC,4.553e-05,4.807e-05,4.445e-05,4.599e-05,1811439.0,83.48
2017-12-01,MAIDBTC,4.753e-05,4.887e-05,4.508e-05,4.553e-05,1682475.0,79.91
2017-11-30,MAIDBTC,4.747e-05,5.014e-05,4.588e-05,4.753e-05,1987318.0,94.51
2017-11-29,MAIDBTC,5.596e-05,5.67e-05,4.232e-05,4.747e-05,2151553.0,107.15
