Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume ETH
2018-05-18,REPETH,0.08359,0.087,0.07548,0.07977,1380.38,109.99
2018-05-17,REPETH,0.07058,0.08827,0.06965,0.08359,6154.53,485.47
2018-05-16,REPETH,0.07541,0.07541,0.07016,0.07058,1217.02,86.74
2018-05-15,REPETH,0.07222,0.082,0.07222,0.07541,2170.86,168.79
2018-05-14,REPETH,0.07,0.08225,0.06919,0.07222,4552.6,328.83
2018-05-13,REPETH,0.075,0.07883,0.06982,0.07,2401.97,179.3
2018-05-12,REPETH,0.07992,0.08295,0.07126,0.075,1776.71,135.09
2018-05-11,REPETH,0.06073,0.118,0.05991,0.07992,18947.24,1774.98
2018-05-10,REPETH,0.06575,0.06639,0.06073,0.06073,1525.12,95.05
2018-05-09,REPETH,0.05991,0.07353,0.05941,0.06575,6047.62,410.67
2018-05-08,REPETH,0.05562,0.064,0.05396,0.05991,1272.92,74.93
2018-05-07,REPETH,0.05454,0.05897,0.05429,0.05562,746.22,41.49
2018-05-06,REPETH,0.05334,0.05539,0.05314,0.05454,184.53,9.95
2018-05-05,REPETH,0.05455,0.05506,0.05334,0.05334,591.73,32.11
2018-05-04,REPETH,0.05625,0.0581,0.05368,0.05455,488.66,26.85
2018-05-03,REPETH,0.05757,0.06641,0.0547,0.05625,3022.26,181.83
2018-05-02,REPETH,0.05809,0.05919,0.0565,0.05757,1407.54,81.05
2018-05-01,REPETH,0.06126,0.0613,0.05752,0.05809,771.96,45.79
2018-04-30,REPETH,0.05899,0.0616,0.05778,0.06126,725.2,42.76
2018-04-29,REPETH,0.06203,0.06203,0.05899,0.05899,968.97,58.03
2018-04-28,REPETH,0.06336,0.06336,0.06022,0.06203,882.42,54.12
2018-04-27,REPETH,0.06578,0.06602,0.06073,0.06336,741.6,46.97
2018-04-26,REPETH,0.06575,0.0665,0.06261,0.06578,1119.54,72.18
2018-04-25,REPETH,0.06376,0.06575,0.06021,0.06575,951.91,59.5
2018-04-24,REPETH,0.0663,0.06676,0.06363,0.06376,612.41,39.73
2018-04-23,REPETH,0.065,0.0663,0.06319,0.0663,7422.89,477.41
2018-04-22,REPETH,0.06435,0.065,0.06223,0.065,3265.21,207.65
2018-04-21,REPETH,0.06433,0.0668,0.06235,0.06435,1267.81,81.79
2018-04-20,REPETH,0.06701,0.06818,0.06324,0.06433,1372.2,89.79
2018-04-19,REPETH,0.06208,0.085,0.06208,0.06701,5182.01,372.89
2018-04-18,REPETH,0.05798,0.06208,0.05722,0.06208,735.8,44.29
2018-04-17,REPETH,0.05627,0.05799,0.05627,0.05798,624.29,35.84
2018-04-16,REPETH,0.0575,0.05817,0.0557,0.05627,1093.42,62.07
2018-04-15,REPETH,0.05785,0.064,0.05519,0.0575,4752.0,280.33
2018-04-14,REPETH,0.06,0.06,0.05785,0.05785,435.14,25.76
2018-04-13,REPETH,0.05661,0.06029,0.05536,0.06,2235.09,131.68
2018-04-12,REPETH,0.06043,0.06043,0.05625,0.05661,1320.38,76.49
2018-04-11,REPETH,0.05958,0.06048,0.059,0.06043,405.64,24.19
2018-04-10,REPETH,0.0615,0.0625,0.05958,0.05958,1588.81,97.83
2018-04-09,REPETH,0.06302,0.06302,0.06016,0.0615,1029.61,63.88
2018-04-08,REPETH,0.06421,0.06421,0.06207,0.06302,616.19,38.8
2018-04-07,REPETH,0.06561,0.06597,0.06353,0.06421,168.71,10.9
2018-04-06,REPETH,0.06854,0.06911,0.064,0.06561,450.96,29.72
2018-04-05,REPETH,0.06152,0.07238,0.06152,0.06854,3564.32,241.91
2018-04-04,REPETH,0.06535,0.06653,0.06151,0.06152,745.33,47.28
2018-04-03,REPETH,0.06613,0.06905,0.06349,0.06535,866.92,57.45
2018-04-02,REPETH,0.06465,0.06783,0.06357,0.06613,690.59,45.07
2018-04-01,REPETH,0.06782,0.06782,0.06346,0.06465,604.43,38.75
2018-03-31,REPETH,0.06729,0.06783,0.06436,0.06782,179.33,11.86
2018-03-30,REPETH,0.06965,0.07054,0.06515,0.06729,1127.42,76.92
2018-03-29,REPETH,0.07404,0.07571,0.0667,0.06965,2811.86,196.79
2018-03-28,REPETH,0.07278,0.07404,0.07266,0.07404,255.11,18.73
2018-03-27,REPETH,0.07,0.073,0.0689,0.07278,894.58,63.21
2018-03-26,REPETH,0.06609,0.073,0.06592,0.07,592.75,41.38
2018-03-25,REPETH,0.067,0.067,0.06505,0.06609,51.95,3.44
2018-03-24,REPETH,0.06502,0.0679,0.06502,0.067,347.92,23.22
2018-03-23,REPETH,0.06548,0.066,0.06393,0.06502,711.73,46.51
2018-03-22,REPETH,0.06449,0.066,0.06371,0.06548,853.9,55.52
2018-03-21,REPETH,0.06366,0.06449,0.06216,0.06449,201.2,12.82
2018-03-20,REPETH,0.05958,0.06398,0.05958,0.06366,915.01,56.81
2018-03-19,REPETH,0.055,0.07119,0.05444,0.05958,3027.36,187.23
2018-03-18,REPETH,0.05541,0.06061,0.05276,0.055,2126.09,120.48
2018-03-17,REPETH,0.05486,0.0558,0.05221,0.05541,229.56,12.46
2018-03-16,REPETH,0.05247,0.05625,0.05208,0.05486,790.05,42.64
2018-03-15,REPETH,0.051,0.05473,0.05057,0.05247,764.11,39.84
2018-03-14,REPETH,0.05574,0.05658,0.051,0.051,861.3,46.04
2018-03-13,REPETH,0.05012,0.0565,0.04943,0.05574,2007.18,106.04
2018-03-12,REPETH,0.05001,0.051,0.04942,0.05012,265.01,13.29
2018-03-11,REPETH,0.0485,0.0505,0.04734,0.05001,819.43,39.78
2018-03-10,REPETH,0.05112,0.05144,0.04831,0.0485,1800.8,89.64
2018-03-09,REPETH,0.05544,0.05544,0.0501,0.05112,1309.58,69.59
2018-03-08,REPETH,0.05201,0.05544,0.051,0.05544,2677.66,143.88
2018-03-07,REPETH,0.05297,0.05427,0.0515,0.05201,360.51,19.01
2018-03-06,REPETH,0.05472,0.05472,0.05243,0.05297,489.73,26.23
2018-03-05,REPETH,0.05392,0.05477,0.05321,0.05472,443.67,24.07
2018-03-04,REPETH,0.05524,0.05561,0.0523,0.05392,1187.88,63.05
2018-03-03,REPETH,0.05251,0.05679,0.05251,0.05524,1168.1,64.28
2018-03-02,REPETH,0.05421,0.05573,0.0522,0.05251,674.95,36.19
2018-03-01,REPETH,0.05366,0.05424,0.05147,0.05421,505.44,26.65
2018-02-28,REPETH,0.05569,0.05663,0.05203,0.05366,2218.97,119.53
2018-02-27,REPETH,0.05372,0.05923,0.053,0.05569,1541.14,87.6
2018-02-26,REPETH,0.05244,0.05391,0.0502,0.05372,1011.92,52.34
2018-02-25,REPETH,0.05124,0.05244,0.05117,0.05244,1347.4,70.09
2018-02-24,REPETH,0.051,0.05292,0.051,0.05124,1423.76,74.11
2018-02-23,REPETH,0.05385,0.054,0.051,0.051,827.57,42.93
2018-02-22,REPETH,0.05489,0.05715,0.05263,0.05385,526.26,28.67
2018-02-21,REPETH,0.05657,0.05705,0.05351,0.05489,1131.54,62.06
