Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume BTC
2019-03-25,ETCBTC,0.001186,0.001186,0.001186,0.001186,0.0,0.0
2019-03-24,ETCBTC,0.001186,0.001186,0.001186,0.001186,0.0,0.0
2019-03-23,ETCBTC,0.001186,0.001186,0.001186,0.001186,0.0,0.0
2019-03-22,ETCBTC,0.001186,0.001186,0.001186,0.001186,0.0,0.0
2019-03-21,ETCBTC,0.001143,0.001191,0.001143,0.001186,380.95,0.446
2019-03-20,ETCBTC,0.001143,0.001143,0.001125,0.001143,49.42,0.05637
2019-03-19,ETCBTC,0.00109,0.001143,0.00109,0.001143,25.04,0.0285
2019-03-18,ETCBTC,0.00109,0.00109,0.00109,0.00109,0.0,0.0
2019-03-17,ETCBTC,0.0001236,0.001093,0.0001236,0.00109,28.36,0.03093
2019-03-16,ETCBTC,0.0001236,0.0001236,0.0001236,0.0001236,0.0,0.0
2019-03-15,ETCBTC,0.001083,0.001125,0.0001236,0.0001236,384.89,0.4288
2019-03-14,ETCBTC,0.001083,0.001083,0.001083,0.001083,0.0,0.0
2019-03-13,ETCBTC,0.001083,0.001083,0.001083,0.001083,0.0,0.0
2019-03-12,ETCBTC,0.001083,0.001083,0.001083,0.001083,0.0,0.0
2019-03-11,ETCBTC,0.001083,0.001083,0.001083,0.001083,0.0,0.0
2019-03-10,ETCBTC,0.001083,0.001083,0.001083,0.001083,0.0,0.0
2019-03-09,ETCBTC,0.001102,0.001102,0.001083,0.001083,7.06,0.007648
2019-03-08,ETCBTC,0.001102,0.001102,0.001102,0.001102,0.0,0.0
2019-03-07,ETCBTC,0.001102,0.001102,0.001102,0.001102,0.0,0.0
2019-03-06,ETCBTC,0.001164,0.001164,0.001102,0.001102,43.3,0.0477
2019-03-05,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-03-04,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-03-03,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-03-02,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-03-01,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-28,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-27,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-26,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-25,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
