Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume ETH
2018-05-16,TRXETH,9.55e-05,0.0001017,9.22e-05,0.0001006,12567000.0,1222.34
2018-05-15,TRXETH,9.71e-05,9.89e-05,9.5e-05,9.55e-05,10104000.0,976.04
2018-05-14,TRXETH,0.0001013,0.0001022,9.71e-05,9.71e-05,11997000.0,1195.23
2018-05-13,TRXETH,9.8e-05,0.0001067,9.8e-05,0.0001013,11754000.0,1196.32
2018-05-12,TRXETH,9.64e-05,0.0001025,9.27e-05,9.8e-05,8564000.0,827.85
2018-05-11,TRXETH,0.0001,0.0001043,9.4e-05,9.64e-05,11999000.0,1186.17
2018-05-10,TRXETH,0.000107,0.0001073,0.0001,0.0001,9174000.0,962.07
2018-05-09,TRXETH,0.0001101,0.0001108,0.0001058,0.000107,10188000.0,1109.22
2018-05-08,TRXETH,0.0001099,0.0001121,0.0001077,0.0001101,8934000.0,986.7
2018-05-07,TRXETH,0.0001065,0.0001148,0.0001051,0.0001099,10317000.0,1136.39
2018-05-06,TRXETH,0.0001063,0.0001092,0.0001003,0.0001065,10328000.0,1088.27
2018-05-05,TRXETH,0.0001103,0.0001124,0.0001045,0.0001063,10633000.0,1155.92
2018-05-04,TRXETH,0.0001118,0.0001171,0.0001011,0.0001103,12624000.0,1366.31
2018-05-03,TRXETH,0.0001328,0.0001329,0.0001093,0.0001118,13823000.0,1642.85
2018-05-02,TRXETH,0.0001375,0.0001375,0.0001316,0.0001328,7276000.0,970.46
2018-05-01,TRXETH,0.0001384,0.0001454,0.0001316,0.0001375,12983000.0,1771.53
2018-04-30,TRXETH,0.0001284,0.0001485,0.0001246,0.0001384,19154000.0,2602.79
2018-04-29,TRXETH,0.0001196,0.0001314,0.0001182,0.0001284,17490000.0,2169.21
2018-04-28,TRXETH,0.0001142,0.0001254,0.0001128,0.0001196,16142000.0,1915.71
2018-04-27,TRXETH,0.000112,0.0001164,0.0001079,0.0001142,12822000.0,1439.37
2018-04-26,TRXETH,0.0001128,0.0001149,9.0e-05,0.000112,18269000.0,2006.61
2018-04-25,TRXETH,0.0001033,0.0001197,0.0001007,0.0001128,20620000.0,2298.09
2018-04-24,TRXETH,9.07e-05,0.00011,8.59e-05,0.0001033,12779000.0,1218.0
2018-04-23,TRXETH,8.36e-05,9.07e-05,8.21e-05,9.07e-05,5720000.0,490.6
2018-04-22,TRXETH,8.77e-05,8.8e-05,8.28e-05,8.36e-05,2314000.0,196.95
2018-04-21,TRXETH,8.73e-05,9.35e-05,8.5e-05,8.77e-05,5266000.0,469.99
2018-04-20,TRXETH,8.61e-05,8.94e-05,8.46e-05,8.73e-05,6948000.0,604.06
2018-04-19,TRXETH,9.07e-05,9.61e-05,8.06e-05,8.61e-05,9264000.0,840.66
2018-04-18,TRXETH,8.36e-05,9.17e-05,8.32e-05,9.07e-05,7092000.0,620.18
2018-04-17,TRXETH,8.08e-05,8.53e-05,8.04e-05,8.36e-05,5632000.0,467.48
2018-04-16,TRXETH,8.09e-05,8.34e-05,8.01e-05,8.08e-05,6160000.0,502.09
2018-04-15,TRXETH,8.03e-05,8.55e-05,7.93e-05,8.09e-05,5050000.0,411.14
2018-04-14,TRXETH,7.91e-05,8.23e-05,7.74e-05,8.03e-05,5028000.0,403.98
2018-04-13,TRXETH,8.12e-05,8.4e-05,7.66e-05,7.91e-05,9256000.0,739.97
