Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2019-04-25,NEOUSDT,9.89,10.33,9.45,9.58,532185.16,5305306.78
2019-04-24,NEOUSDT,10.22,10.45,9.34,9.89,795120.16,7802677.58
2019-04-23,NEOUSDT,10.76,11.14,10.21,10.22,588793.82,6316078.34
2019-04-22,NEOUSDT,10.5,10.9,10.4,10.76,369261.21,3958522.08
2019-04-21,NEOUSDT,10.88,10.97,10.1,10.5,420703.45,4391545.2
2019-04-20,NEOUSDT,11.03,11.13,10.76,10.88,234747.95,2570457.31
2019-04-19,NEOUSDT,11.23,11.24,10.76,11.03,265838.16,2921543.23
2019-04-18,NEOUSDT,10.92,11.35,10.92,11.23,390153.09,4364918.37
2019-04-17,NEOUSDT,10.85,11.17,10.74,10.92,369262.3,4025322.29
2019-04-16,NEOUSDT,10.68,11.05,10.53,10.85,382979.38,4131729.93
2019-04-15,NEOUSDT,11.27,11.42,10.41,10.68,509494.73,5575918.54
2019-04-14,NEOUSDT,11.02,11.31,10.76,11.27,380066.43,4171064.74
2019-04-13,NEOUSDT,11.24,11.32,10.86,11.02,256671.32,2848958.52
2019-04-12,NEOUSDT,11.15,11.54,10.58,11.24,513143.92,5723922.92
2019-04-11,NEOUSDT,12.42,12.43,10.5,11.15,875700.19,9921027.51
2019-04-10,NEOUSDT,12.06,12.67,12.02,12.42,464886.04,5787949.44
2019-04-09,NEOUSDT,12.59,12.6,11.72,12.06,595457.0,7249445.26
2019-04-08,NEOUSDT,12.84,13.28,11.87,12.59,830550.18,10503162.74
2019-04-07,NEOUSDT,13.08,13.24,12.51,12.84,589242.02,7624368.62
2019-04-06,NEOUSDT,13.47,13.52,12.76,13.08,720997.57,9511897.51
2019-04-05,NEOUSDT,12.77,13.68,12.63,13.47,1009978.58,13254598.89
2019-04-04,NEOUSDT,12.12,13.7,11.85,12.77,1820952.48,23190721.18
2019-04-03,NEOUSDT,11.51,13.84,11.2,12.12,2272990.24,28252583.23
2019-04-02,NEOUSDT,10.04,11.65,10.04,11.51,1542865.79,16711448.59
2019-04-01,NEOUSDT,10.1,10.18,9.85,10.04,409970.11,4117260.53
2019-03-19,NEOUSDT,9.11,9.15,9.07,9.13,35399.28,322543.05
2019-03-18,NEOUSDT,9.19,9.29,8.97,9.11,550455.02,5029981.48
2019-03-17,NEOUSDT,9.42,9.45,9.1,9.19,520569.55,4815328.72
2019-03-16,NEOUSDT,9.22,9.75,9.2,9.42,674885.87,6386377.6
2019-03-15,NEOUSDT,9.27,9.33,9.07,9.22,491026.33,4524213.28
2019-03-14,NEOUSDT,8.91,9.32,8.73,9.27,779443.56,7060843.02
2019-03-13,NEOUSDT,8.83,9.12,8.71,8.91,617677.23,5518977.35
