Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-08-03 05-AM,ETHEUR,201.92,202.61,201.77,202.08,13.4,2708.72
2019-08-03 04-AM,ETHEUR,202.16,202.66,201.73,201.92,13.99,2826.73
2019-08-03 03-AM,ETHEUR,202.6,203.45,201.79,202.16,13.75,2785.62
2019-08-03 02-AM,ETHEUR,199.31,203.46,198.99,202.6,24.06,4861.52
2019-08-03 01-AM,ETHEUR,197.36,199.68,197.17,199.31,14.41,2861.87
2019-08-03 12-AM,ETHEUR,197.88,198.01,197.19,197.36,14.13,2790.98
2019-08-02 11-PM,ETHEUR,197.75,198.01,197.12,197.88,13.65,2696.36
2019-08-02 10-PM,ETHEUR,196.89,197.96,196.81,197.75,14.55,2871.11
2019-08-02 09-PM,ETHEUR,197.45,197.89,196.81,196.89,13.5,2663.36
2019-08-02 08-PM,ETHEUR,198.44,198.44,196.86,197.45,15.34,3031.55
2019-08-02 07-PM,ETHEUR,198.11,198.44,197.54,198.44,13.53,2677.76
2019-08-02 06-PM,ETHEUR,198.1,198.4,197.58,198.11,13.43,2659.69
2019-08-02 05-PM,ETHEUR,197.19,198.42,197.13,198.1,13.03,2575.67
2019-08-02 04-PM,ETHEUR,200.57,201.05,196.99,197.19,22.54,4478.62
2019-08-02 03-PM,ETHEUR,200.63,201.17,200.24,200.57,14.09,2826.82
2019-08-02 02-PM,ETHEUR,200.52,201.36,199.92,200.63,13.16,2639.44
2019-08-02 01-PM,ETHEUR,200.17,201.36,199.96,200.52,17.58,3530.56
2019-08-02 12-PM,ETHEUR,200.67,201.24,200.17,200.17,13.59,2725.96
2019-08-02 11-AM,ETHEUR,200.83,201.93,200.67,200.67,12.85,2586.46
2019-08-02 10-AM,ETHEUR,200.83,201.61,200.52,200.83,12.43,2498.79
2019-08-02 09-AM,ETHEUR,201.08,201.79,200.67,200.83,13.6,2736.67
2019-08-02 08-AM,ETHEUR,202.31,202.43,200.84,201.08,13.42,2703.15
2019-08-02 07-AM,ETHEUR,200.99,202.95,200.99,202.31,18.78,3796.26
2019-08-02 06-AM,ETHEUR,198.38,201.56,197.86,200.99,13.77,2743.37
2019-08-02 05-AM,ETHEUR,198.29,198.78,197.93,198.38,13.97,2771.82
