Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume PLN
2019-06-26 08-PM,BTCPLN,50636,50899.9,40051.57,46000,47.08,2123849.08
2019-06-26 07-PM,BTCPLN,50900,50900,50132.02,50636,6.755,342534.9
2019-06-26 06-PM,BTCPLN,49900,50900,49600,50900,13.13,659993.37
2019-06-26 05-PM,BTCPLN,50000,50000,48001,49900,11.09,546979.6
2019-06-26 04-PM,BTCPLN,48400,50000,48397.9,50000,12.79,631666.91
2019-06-26 03-PM,BTCPLN,48060.03,48647.9,47815,48400,0.8541,41178.87
2019-06-26 02-PM,BTCPLN,48009,48854.09,48002,48060.03,5.398,260841.16
2019-06-26 01-PM,BTCPLN,47300,48009,47293.57,48009,8.953,426331.12
2019-06-26 12-PM,BTCPLN,47698.63,47989.9,47235.4,47300,5.747,271886.56
2019-06-26 11-AM,BTCPLN,47699.18,47999,47250,47698.63,1.894,90256.04
2019-06-26 10-AM,BTCPLN,46504.97,47699.99,46150,47699.18,2.678,126055.38
2019-06-26 09-AM,BTCPLN,47990.5,47999.98,46000,46504.97,7.425,348736.17
2019-06-26 08-AM,BTCPLN,47502,47999.99,47000,47990.5,2.761,131855.88
2019-06-26 07-AM,BTCPLN,47990,47999.99,47502,47502,3.849,184065.16
2019-06-26 06-AM,BTCPLN,46600,47999.99,46215.33,47990,1.84,87216.15
2019-06-26 05-AM,BTCPLN,46220,48659,45500,46600,10.61,502255.01
2019-06-26 04-AM,BTCPLN,45386.36,46220,45250.58,46220,4.802,219337.63
2019-06-26 03-AM,BTCPLN,43966,45386.36,43966,45386.36,2.214,99664.75
2019-06-26 02-AM,BTCPLN,44184.07,44184.07,43963,43966,0.2115,9308.97
2019-06-26 01-AM,BTCPLN,44314.59,44436.01,44184.07,44184.07,0.3397,15054.56
2019-06-26 12-AM,BTCPLN,43550,44314.59,43550,44314.59,2.039,89373.98
2019-06-25 11-PM,BTCPLN,43300,43550,42550.1,43550,3.039,131984.27
2019-06-25 10-PM,BTCPLN,43000,43355,42706,43300,1.287,55552.73
2019-06-25 09-PM,BTCPLN,42796,43000,42547.96,43000,1.802,77140.15
2019-06-25 08-PM,BTCPLN,42838.05,42839,42501.41,42796,0.7295,31204.95
2019-06-25 07-PM,BTCPLN,42498,42838.05,42496.2,42838.05,1.715,72900.8
2019-06-25 06-PM,BTCPLN,42496.2,42500,42496.2,42498,0.5386,22891.03
2019-06-25 05-PM,BTCPLN,42998,42998,42375,42496.2,2.09,88847.87
2019-06-25 04-PM,BTCPLN,42883.27,43000,42799,42998,1.45,62295.11
2019-06-25 03-PM,BTCPLN,42500.1,42900,42399.9,42883.27,0.5713,24411.25
2019-06-25 02-PM,BTCPLN,42301.2,42697,42301.2,42500.1,1.524,64876.49
2019-06-25 01-PM,BTCPLN,42295.4,42474.82,42070,42301.2,0.5348,22589.03
2019-06-25 12-PM,BTCPLN,42387.87,42499.7,41613,42295.4,2.881,121177.28
2019-06-25 11-AM,BTCPLN,42998.8,43000,42300,42387.87,2.917,125162.91
2019-06-25 10-AM,BTCPLN,42600,43000,42600,42998.8,2.62,112116.94
2019-06-25 09-AM,BTCPLN,42494.6,42744.26,42258.8,42600,1.312,55844.26
2019-06-25 08-AM,BTCPLN,42359.05,42791,42257.21,42494.6,1.613,68506.4
2019-06-25 07-AM,BTCPLN,41999.9,42800,41852.43,42359.05,2.658,112555.48
2019-06-25 06-AM,BTCPLN,42000,42000,41661,41999.9,2.82,118376.6
2019-06-25 05-AM,BTCPLN,41500,42000,41253.17,42000,3.811,158400.89
2019-06-25 04-AM,BTCPLN,41501,41501,41282.6,41500,0.2843,11771.34
2019-06-25 03-AM,BTCPLN,41307.2,41501,41250.43,41501,0.2513,10427.3
2019-06-25 02-AM,BTCPLN,41300,41550.5,41200,41307.2,0.09886,4088.1
2019-06-25 01-AM,BTCPLN,41300,41300,41159.8,41300,0.09585,3957.55
2019-06-25 12-AM,BTCPLN,41159.8,41300,41159.8,41300,0.01387,572.77
2019-06-24 11-PM,BTCPLN,41159.8,41289,41159.8,41159.8,0.1014,4174.82
2019-06-24 10-PM,BTCPLN,41159.8,41300,41051,41159.8,1.093,45020.11
2019-06-24 09-PM,BTCPLN,40900.2,41194,40900.2,41159.8,1.221,50140.34
2019-06-24 08-PM,BTCPLN,40960,41025.9,40900.2,40900.2,0.6671,27337.61
2019-06-24 07-PM,BTCPLN,41200.1,41202,40960,40960,3.626,148586.56
2019-06-24 06-PM,BTCPLN,41250,41650,40969.43,41200.1,4.723,195458.45
2019-06-24 05-PM,BTCPLN,40900,41288.16,40900,41250,3.047,125471.36
2019-06-24 04-PM,BTCPLN,40949,41399,40897.2,40900,2.318,95371.3
2019-06-24 03-PM,BTCPLN,40830,40950,40640,40949,1.452,59120.08
2019-06-24 02-PM,BTCPLN,40478.66,41000,40478.66,40830,1.067,43649.36
2019-06-24 01-PM,BTCPLN,40698.04,40884,40401,40478.66,1.348,54795.24
2019-06-24 12-PM,BTCPLN,40498,40698.05,40400,40698.04,1.168,47507.52
2019-06-24 11-AM,BTCPLN,40697.47,40697.47,40400,40498,0.9562,38754.85
2019-06-24 10-AM,BTCPLN,40450.1,40845.31,40450.1,40697.47,1.327,53791.1
2019-06-24 09-AM,BTCPLN,40450.1,40450.1,40400,40450.1,1.134,45857.26
