Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume AUD
2017-04-23,BTCAUD,1676.2,1677.87,1666,1673.9,41.44,69203.29
2017-04-22,BTCAUD,1678.4,1678.4,1660.2,1676.2,45.98,76742.31
2017-04-21,BTCAUD,1650.6,1683.6,1650.6,1678.4,38.75,64852.2
2017-04-20,BTCAUD,1614.1,1650.6,1613.8,1650.6,43.67,71464.49
2017-04-19,BTCAUD,1599.7,1614.1,1597.1,1614.1,53.76,86232.62
2017-04-18,BTCAUD,1579.2,1607.9,1577.3,1599.7,107.8,171733.97
2017-04-17,BTCAUD,1574.9,1582.3,1571.4,1579.2,28.66,45149.13
2017-04-16,BTCAUD,1571.4,1579.3,1571.4,1574.9,14.13,22252.25
2017-04-15,BTCAUD,1574,1585,1571.4,1571.4,37.87,59793.3
2017-04-14,BTCAUD,1570.6,1576.7,1557.5,1574,33.86,53181.93
2017-04-13,BTCAUD,1619.2,1619.69,1563.9,1570.6,215.69,340672.81
2017-04-12,BTCAUD,1630,1630.1,1619.2,1619.2,43.96,71535.23
2017-04-11,BTCAUD,1609.98,1632.7,1604.4,1630,54.64,88174.92
2017-04-10,BTCAUD,1592.3,1616.9,1592.3,1609.98,44.45,71425.17
2017-04-09,BTCAUD,1531.4,1616.3,1531.4,1592.3,84.16,133782.61
2017-04-08,BTCAUD,1541.8,1541.8,1531.4,1531.4,11.98,18395.7
2017-04-07,BTCAUD,1523.5,1542.6,1514.6,1541.8,78.82,120597.03
2017-04-06,BTCAUD,1473.5,1523.5,1473.5,1523.5,109.94,165533.2
2017-04-05,BTCAUD,1468,1480.8,1468,1473.5,58.86,86829.92
2017-04-04,BTCAUD,1479.4,1496.3,1467.11,1468,118.47,175681.35
2017-04-03,BTCAUD,1450.5,1480.1,1450.5,1479.4,170.02,249518.81
2017-04-02,BTCAUD,1424.5,1454.3,1423.41,1450.5,56.84,81767.27
2017-04-01,BTCAUD,1413.6,1445.3,1410.5,1424.5,47.98,68410.89
2017-03-31,BTCAUD,1354.6,1418.7,1354.6,1413.6,93.6,129692.92
2017-03-30,BTCAUD,1355.1,1376.6,1337.9,1354.6,163.25,221520.09
2017-03-29,BTCAUD,1365.4,1390.6,1327.8,1355.1,258.68,350881.77
2017-03-28,BTCAUD,1363.6,1413.7,1352.31,1365.4,239.43,330008.0
2017-03-27,BTCAUD,1259.4,1366.8,1259.4,1363.6,242.13,320760.84
2017-03-26,BTCAUD,1278.3,1309.6,1247.7,1259.4,244.96,312387.2
2017-03-25,BTCAUD,1231.09,1281.4,1169.6,1278.3,341.46,415567.01
2017-03-24,BTCAUD,1367,1367,1213,1231.09,336.69,438935.0
2017-03-23,BTCAUD,1374.1,1374.1,1336.8,1367,214.54,292314.33
2017-03-22,BTCAUD,1467.6,1468.4,1310.81,1374.1,1213.86,1692889.39
2017-03-21,BTCAUD,1368,1468.5,1368,1467.6,803.76,1144739.97
2017-03-20,BTCAUD,1364.1,1387.4,1351.3,1368,1053.58,1441352.04
2017-03-19,BTCAUD,1259.4,1415.8,1256.7,1364.1,2007.9,2679119.84
2017-03-18,BTCAUD,1412,1448,1229,1259.4,3808.5,5081148.68
2017-03-17,BTCAUD,1554.2,1554.2,1412,1412,1995.29,2972790.73
2017-03-16,BTCAUD,1645.93,1645.93,1499.4,1554.2,1010.57,1594426.46
2017-03-15,BTCAUD,1653.5,1662.6,1630.4,1645.93,305.11,503707.23
2017-03-14,BTCAUD,1648.7,1672.7,1632.7,1653.5,711.22,1178915.2
2017-03-13,BTCAUD,1639.9,1660.7,1625,1648.7,975.61,1601522.84
2017-03-12,BTCAUD,1576.9,1647.9,1576.2,1639.9,1041.99,1683542.41
2017-03-11,BTCAUD,1504.8,1604.3,1504.8,1576.9,1664.88,2608863.57
2017-03-10,BTCAUD,1584.9,1720,1499.4,1504.8,3604.35,5848961.67
