Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume BTC
2018-02-19,TRXBTC,4.71e-06,4.89e-06,4.56e-06,4.59e-06,9445000.0,44.52
2018-02-18,TRXBTC,4.97e-06,4.98e-06,4.59e-06,4.71e-06,12229000.0,58.51
2018-02-17,TRXBTC,5.18e-06,5.18e-06,4.83e-06,4.97e-06,10891000.0,54.43
2018-02-16,TRXBTC,4.61e-06,5.37e-06,4.61e-06,5.18e-06,30734000.0,153.36
2018-02-15,TRXBTC,4.86e-06,5.02e-06,4.5e-06,4.61e-06,12109000.0,57.2
2018-02-14,TRXBTC,5.04e-06,5.12e-06,4.8e-06,4.86e-06,11229000.0,55.77
2018-02-13,TRXBTC,5.2e-06,5.21e-06,4.98e-06,5.04e-06,9802000.0,49.71
2018-02-12,TRXBTC,5.19e-06,5.41e-06,5.16e-06,5.2e-06,8441000.0,44.75
2018-02-11,TRXBTC,5.64e-06,5.69e-06,4.98e-06,5.19e-06,21708000.0,113.92
2018-02-10,TRXBTC,5.39e-06,6.2e-06,5.31e-06,5.64e-06,36133000.0,207.11
2018-02-09,TRXBTC,4.61e-06,5.5e-06,4.48e-06,5.39e-06,38183000.0,192.31
2018-02-08,TRXBTC,4.31e-06,4.65e-06,4.31e-06,4.61e-06,16702000.0,75.85
2018-02-07,TRXBTC,4.72e-06,5.03e-06,4.31e-06,4.31e-06,25579000.0,117.2
2018-02-06,TRXBTC,4.32e-06,4.79e-06,4.0e-06,4.72e-06,37970000.0,164.99
2018-02-05,TRXBTC,4.61e-06,4.73e-06,4.17e-06,4.32e-06,32643000.0,145.3
2018-02-04,TRXBTC,4.97e-06,5.21e-06,4.5e-06,4.61e-06,22375000.0,106.36
2018-02-03,TRXBTC,4.69e-06,5.24e-06,4.34e-06,4.97e-06,34871000.0,167.35
2018-02-02,TRXBTC,5.1e-06,5.2e-06,3.97e-06,4.69e-06,61509000.0,281.67
2018-02-01,TRXBTC,5.38e-06,5.82e-06,4.86e-06,5.1e-06,37333000.0,197.2
2018-01-31,TRXBTC,5.34e-06,5.5e-06,5.02e-06,5.38e-06,34092000.0,178.75
2018-01-30,TRXBTC,5.74e-06,5.75e-06,5.04e-06,5.34e-06,29590000.0,160.54
2018-01-29,TRXBTC,5.58e-06,5.89e-06,5.54e-06,5.74e-06,8877000.0,50.79
2018-01-28,TRXBTC,6.04e-06,6.16e-06,5.51e-06,5.58e-06,14101000.0,81.51
2018-01-27,TRXBTC,5.95e-06,6.2e-06,5.82e-06,6.04e-06,15644000.0,94.02
2018-01-26,TRXBTC,6.16e-06,6.22e-06,5.61e-06,5.95e-06,25859000.0,154.57
2018-01-25,TRXBTC,6.31e-06,6.37e-06,5.98e-06,6.16e-06,14189000.0,87.85
2018-01-24,TRXBTC,6.34e-06,6.8e-06,6.0e-06,6.31e-06,47536000.0,303.47
2018-01-23,TRXBTC,6.61e-06,6.62e-06,6.22e-06,6.34e-06,32918000.0,210.6
2018-01-22,TRXBTC,6.29e-06,7.1e-06,6.11e-06,6.61e-06,53683000.0,348.55
2018-01-21,TRXBTC,6.75e-06,6.96e-06,6.07e-06,6.29e-06,42048000.0,271.96
2018-01-20,TRXBTC,7.05e-06,7.3e-06,6.4e-06,6.75e-06,30897000.0,209.78
2018-01-19,TRXBTC,7.79e-06,8.41e-06,7.05e-06,7.05e-06,17120000.0,129.21
2018-01-18,TRXBTC,7.65e-06,9.2e-06,7.02e-06,7.79e-06,48570000.0,398.01
2018-01-17,TRXBTC,5.02e-06,9.56e-06,4.8e-06,7.65e-06,73275000.0,499.24
2018-01-16,TRXBTC,5.56e-06,5.93e-06,4.0e-06,5.02e-06,46104000.0,230.34
2018-01-15,TRXBTC,6.24e-06,7.28e-06,4.75e-06,5.56e-06,55351000.0,326.11
2018-01-14,TRXBTC,7.26e-06,7.68e-06,5.9e-06,6.24e-06,39937000.0,273.12
2018-01-13,TRXBTC,7.9e-06,8.57e-06,7.0e-06,7.26e-06,36285000.0,276.55
2018-01-12,TRXBTC,8.22e-06,8.49e-06,7.7e-06,7.9e-06,29455000.0,236.88
2018-01-11,TRXBTC,8.83e-06,8.96e-06,7.5e-06,8.22e-06,47348000.0,387.67
2018-01-10,TRXBTC,8.56e-06,9.85e-06,7.09e-06,8.83e-06,73795000.0,616.9
2018-01-09,TRXBTC,1.004e-05,1.082e-05,6.73e-06,8.56e-06,65878000.0,592.32
2018-01-08,TRXBTC,1.336e-05,1.35e-05,8.93e-06,1.004e-05,50454000.0,535.71
2018-01-07,TRXBTC,1.117e-05,1.454e-05,9.19e-06,1.336e-05,79693000.0,842.64
2018-01-06,TRXBTC,1.842e-05,1.985e-05,7.22e-06,1.117e-05,60434000.0,737.08
2018-01-05,TRXBTC,1.695e-05,2.648e-05,1.301e-05,1.842e-05,140350000.0,2923.61
2018-01-04,TRXBTC,8.96e-06,2.899e-05,8.11e-06,1.695e-05,102657000.0,1668.35
2018-01-03,TRXBTC,6.86e-06,9.0e-06,6.08e-06,8.96e-06,44305000.0,322.95
2018-01-02,TRXBTC,4.35e-06,8.88e-06,4.35e-06,6.86e-06,74815000.0,451.49
2018-01-01,TRXBTC,3.49e-06,4.37e-06,3.25e-06,4.35e-06,36315000.0,137.95
2017-12-31,TRXBTC,3.02e-06,3.49e-06,2.81e-06,3.49e-06,23271000.0,72.75
2017-12-30,TRXBTC,2.45e-06,3.2e-06,2.38e-06,3.02e-06,39104000.0,106.47
2017-12-29,TRXBTC,2.79e-06,2.99e-06,2.36e-06,2.45e-06,42368000.0,109.24
2017-12-28,TRXBTC,2.3e-06,2.84e-06,2.15e-06,2.79e-06,43765000.0,107.25
2017-12-27,TRXBTC,2.26e-06,2.62e-06,2.17e-06,2.3e-06,39657000.0,93.99
2017-12-26,TRXBTC,2.36e-06,3.39e-06,2.0e-06,2.26e-06,62519000.0,158.09
2017-12-25,TRXBTC,2.63e-06,2.97e-06,2.18e-06,2.36e-06,43595000.0,113.89
2017-12-24,TRXBTC,3.38e-06,3.55e-06,2.57e-06,2.63e-06,54552000.0,158.31
2017-12-23,TRXBTC,2.59e-06,3.77e-06,2.4e-06,3.38e-06,55252000.0,164.28
2017-12-22,TRXBTC,2.96e-06,3.17e-06,1.81e-06,2.59e-06,60947000.0,158.73
2017-12-21,TRXBTC,2.94e-06,4.48e-06,2.7e-06,2.96e-06,66996000.0,222.31
2017-12-20,TRXBTC,2.39e-06,2.97e-06,1.73e-06,2.94e-06,58837000.0,132.7
2017-12-19,TRXBTC,2.36e-06,2.58e-06,2.19e-06,2.39e-06,53724000.0,127.65
2017-12-18,TRXBTC,1.84e-06,2.7e-06,1.65e-06,2.36e-06,69295000.0,154.45
2017-12-17,TRXBTC,1.88e-06,2.15e-06,1.6e-06,1.84e-06,68934000.0,130.13
2017-12-16,TRXBTC,1.06e-06,2.11e-06,1.0e-06,1.88e-06,124565000.0,194.55
2017-12-15,TRXBTC,1.11e-06,1.11e-06,7.2e-07,1.06e-06,51079000.0,46.62
2017-12-14,TRXBTC,9.5e-07,1.27e-06,8.2e-07,1.11e-06,83007000.0,85.79
