Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
2019-07-29 07-PM,BTCMXN,181616.75,183799.99,181168.05,181632.5,4.727,861009.85
2019-07-29 06-PM,BTCMXN,182799.03,182999.88,181161.47,181616.75,10.09,1832605.61
2019-07-29 05-PM,BTCMXN,182545.95,183856.58,181510.4,182799.03,5.586,1021019.56
2019-07-29 04-PM,BTCMXN,182500,185191.65,180032.01,182545.95,13.48,2468691.92
2019-07-29 03-PM,BTCMXN,182800,185054.99,182046.88,182500,14.61,2682602.95
2019-07-29 02-PM,BTCMXN,184200,185499.99,182800,182800,7.241,1334894.21
2019-07-29 01-PM,BTCMXN,183935.36,185099.09,181400.81,184200,8.259,1513659.13
2019-07-29 12-PM,BTCMXN,182000,185764.23,181400.01,183935.36,8.05,1476867.97
2019-07-29 11-AM,BTCMXN,180220.72,185764.31,180220.72,182000,1.038,190728.98
2019-07-29 10-AM,BTCMXN,180130.17,183969.61,180130.17,180220.72,0.03968,7194.03
2019-07-29 09-AM,BTCMXN,183100.01,183300,179852.4,180130.17,2.613,476663.43
2019-07-29 08-AM,BTCMXN,183805.8,185410.69,183100.01,183100.01,3.576,658670.72
2019-07-29 07-AM,BTCMXN,185336.45,185336.45,183500.01,183805.8,1.153,212666.06
2019-07-29 06-AM,BTCMXN,184017.35,185764.31,183500,185336.45,6.382,1182263.85
2019-07-29 05-AM,BTCMXN,184736,185300,184001,184017.35,0.7914,146227.04
2019-07-29 04-AM,BTCMXN,185399.93,185400,184507.24,184736,1.564,289247.74
2019-07-29 03-AM,BTCMXN,185800,185800,184053.78,185399.93,1.756,324410.25
2019-07-29 02-AM,BTCMXN,184208.21,185800,184000.01,185800,2.917,537780.49
2019-07-29 01-AM,BTCMXN,182000,184487.4,181700.12,184208.21,7.734,1417937.21
2019-07-29 12-AM,BTCMXN,183099.93,183498.36,181197.46,182000,1.334,242862.96
2019-07-28 11-PM,BTCMXN,181737.3,183591.2,178668.09,183099.93,2.483,450212.97
2019-07-28 10-PM,BTCMXN,180655.44,184000,175000,181737.3,14.88,2662793.11
2019-07-28 09-PM,BTCMXN,181700.86,183166.16,180655.44,180655.44,2.704,492015.47
2019-07-28 08-PM,BTCMXN,182800,183400,181650,181700.86,3.076,560476.87
2019-07-28 07-PM,BTCMXN,182569.56,183399.94,182500.33,182800,1.371,251089.52
2019-07-28 06-PM,BTCMXN,183553.8,183999.94,182341.63,182569.56,3.078,563531.73
2019-07-28 05-PM,BTCMXN,182100.78,183699.93,182100.78,183553.8,2.996,546827.88
2019-07-28 04-PM,BTCMXN,182500.36,183200,182100.1,182100.78,1.749,320139.76
2019-07-28 03-PM,BTCMXN,181830.61,183149.94,181650.31,182500.36,1.448,264646.63
2019-07-28 02-PM,BTCMXN,182700,182999.94,181651.73,181830.61,0.9589,174859.57
2019-07-28 01-PM,BTCMXN,181594.03,183139.99,181594.03,182700,0.8395,153351.41
2019-07-28 12-PM,BTCMXN,181381.72,182348.8,181027.32,181594.03,0.2259,40909.57
2019-07-28 11-AM,BTCMXN,180913.06,182348.8,180913.06,181381.72,0.1056,19163.7
2019-07-28 10-AM,BTCMXN,183040.63,183040.63,180900,180913.06,0.2981,53996.39
2019-07-28 09-AM,BTCMXN,181472,183149.94,181319.32,183040.63,0.1884,34424.28
2019-07-28 08-AM,BTCMXN,181441.96,183077.4,181344.12,181472,0.1418,25763.11
2019-07-28 07-AM,BTCMXN,181687.93,183147.3,181300,181441.96,0.3192,57968.77
2019-07-28 06-AM,BTCMXN,181717.39,183583.99,181400.09,181687.93,0.7491,136513.33
2019-07-28 05-AM,BTCMXN,183138.34,183599.81,181714.27,181717.39,0.8853,162082.68
2019-07-28 04-AM,BTCMXN,181540.75,183485.16,181540.66,183138.34,3.397,619679.63
2019-07-28 03-AM,BTCMXN,181203.12,182755.24,180850.01,181540.75,1.323,240827.18
2019-07-28 02-AM,BTCMXN,182500.01,182999.99,181128.29,181203.12,4.794,872366.13
2019-07-28 01-AM,BTCMXN,181499,182699.98,180708.56,182500.01,1.721,312345.59
2019-07-28 12-AM,BTCMXN,181000,182798.35,179180.01,181499,4.134,747696.91
2019-07-27 11-PM,BTCMXN,181672.57,181999.88,180600,181000,2.276,411864.84
2019-07-27 10-PM,BTCMXN,183091,183999.89,180499,181672.57,2.195,399222.72
2019-07-27 09-PM,BTCMXN,181990.22,183091,180952.45,183091,2.504,456171.88
2019-07-27 08-PM,BTCMXN,180500.35,181990.3,180422.1,181990.22,5.357,972509.91
2019-07-27 07-PM,BTCMXN,180010,181891.3,180000,180500.35,4.741,858153.17
2019-07-27 06-PM,BTCMXN,181995.97,181998.94,180000.02,180010,6.621,1198898.86
2019-07-27 05-PM,BTCMXN,180600,182597.3,180500.85,181995.97,5.884,1068064.9
2019-07-27 04-PM,BTCMXN,181500,182776.99,180246.54,180600,7.651,1388593.19
2019-07-27 03-PM,BTCMXN,181400,182205.93,179297,181500,9.375,1696235.19
2019-07-27 02-PM,BTCMXN,181269.96,182409.31,180400,181400,10.61,1927546.59
2019-07-27 01-PM,BTCMXN,181108.83,181599.99,180001,181269.96,5.015,908392.97
2019-07-27 12-PM,BTCMXN,182000,183993.17,180000,181108.83,5.994,1084785.52
2019-07-27 11-AM,BTCMXN,183729.3,184375.21,182000,182000,7.662,1397904.72
2019-07-27 10-AM,BTCMXN,192601.18,192601.18,182251,183729.3,13.36,2472798.07
2019-07-27 09-AM,BTCMXN,191273.6,192601.18,191177.1,192601.18,0.09108,17489.11
2019-07-27 08-AM,BTCMXN,192601.16,192601.18,191082.54,191273.6,0.2191,42126.77
2019-07-27 07-AM,BTCMXN,192027.05,193408.81,191000.01,192601.16,1.122,214833.53
2019-07-27 06-AM,BTCMXN,192946.99,193626.63,192000.01,192027.05,1.409,270994.53
2019-07-27 05-AM,BTCMXN,192969.1,194430.05,192000.05,192946.99,6.12,1177376.11
2019-07-27 04-AM,BTCMXN,194681.18,194799.74,192580.13,192969.1,5.624,1087584.62
2019-07-27 03-AM,BTCMXN,194476.04,194681.18,193150.01,194681.18,4.132,800048.74
2019-07-27 02-AM,BTCMXN,194006.09,194908.56,192670.01,194476.04,4.248,821337.72
2019-07-27 01-AM,BTCMXN,194999.94,195607.46,193967.85,194006.09,8.17,1591687.62
2019-07-27 12-AM,BTCMXN,187837.35,195000,187100.34,194999.94,10.7,2067367.13
2019-07-26 11-PM,BTCMXN,187103.78,188999.98,186843.1,187837.35,3.421,641097.84
2019-07-26 10-PM,BTCMXN,188493.95,188742.59,187000.05,187103.78,8.61,1619942.39
2019-07-26 09-PM,BTCMXN,187450.22,188500,186840.09,188493.95,7.155,1344016.4
2019-07-26 08-PM,BTCMXN,189142.67,189669.81,186843.29,187450.22,6.684,1259839.21
2019-07-26 07-PM,BTCMXN,187545.05,189749.99,187248.67,189142.67,6.534,1233039.08
2019-07-26 06-PM,BTCMXN,186910.42,188500,186907.71,187545.05,10.77,2022847.53
2019-07-26 05-PM,BTCMXN,187910,189628.16,186849.31,186910.42,10.76,2024343.01
2019-07-26 04-PM,BTCMXN,187028.99,189999.87,186840,187910,7.42,1394279.76
2019-07-26 03-PM,BTCMXN,186900,188943.14,185927.06,187028.99,14.17,2663628.98
2019-07-26 02-PM,BTCMXN,185983.44,186900,185000,186900,4.128,767497.69
2019-07-26 01-PM,BTCMXN,188126.05,191800,185900.08,185983.44,19.23,3586445.0
2019-07-26 12-PM,BTCMXN,187900.09,189824.22,186547.62,188126.05,0.9885,185531.2
2019-07-26 11-AM,BTCMXN,186891.59,189911.6,186891.59,187900.09,0.5823,109653.89
2019-07-26 10-AM,BTCMXN,189090.53,189982.92,186891.59,186891.59,0.6501,121861.34
2019-07-26 09-AM,BTCMXN,188152.3,189987.82,186652.01,189090.53,0.933,176356.06
2019-07-26 08-AM,BTCMXN,187770,188152.3,186634.27,188152.3,0.4547,85155.53
2019-07-26 07-AM,BTCMXN,186863.4,187770,185590.11,187770,2.673,496845.77
2019-07-26 06-AM,BTCMXN,187340.11,187393.71,185815,186863.4,2.491,464508.26
2019-07-26 05-AM,BTCMXN,186170.51,187399.75,185814.95,187340.11,1.036,193586.61
2019-07-26 04-AM,BTCMXN,186500,187381.95,185239.43,186170.51,7.405,1383158.86
2019-07-26 03-AM,BTCMXN,186893.55,187399.75,185511.01,186500,3.18,592746.63
2019-07-26 02-AM,BTCMXN,186999.94,187400,185602.89,186893.55,3.433,640459.83
2019-07-26 01-AM,BTCMXN,185750.01,187619.09,185300.18,186999.94,5.512,1026848.58
2019-07-26 12-AM,BTCMXN,190000,190092.79,185035.66,185750.01,13.59,2546279.48
2019-07-25 11-PM,BTCMXN,190000,191000,188800,190000,4.722,899464.23
2019-07-25 10-PM,BTCMXN,190256.62,190999.99,188801,190000,2.61,494871.15
2019-07-25 09-PM,BTCMXN,189760,190299.78,188000,190256.62,4.303,814911.32
2019-07-25 08-PM,BTCMXN,188204.25,190000,188000,189760,4.997,943700.21
