Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZRC,Volume BTC
2019-06-04,ZRCBTC,0.00025,0.0002522,0.00025,0.0002522,72.99,0.01841
2019-06-03,ZRCBTC,0.00025,0.00025,0.00025,0.00025,408.63,0.1022
2019-06-02,ZRCBTC,0.0002674,0.0002674,0.00025,0.00025,4561.4,1.14
2019-06-01,ZRCBTC,0.00025,0.0002674,0.00025,0.0002674,10.08,0.002586
2019-05-31,ZRCBTC,0.00025,0.00025,0.00025,0.00025,198.36,0.04959
2019-05-30,ZRCBTC,0.00025,0.00025,0.00025,0.00025,102.45,0.02561
2019-05-29,ZRCBTC,0.0002698,0.0002698,0.00025,0.00025,201.84,0.05046
2019-05-28,ZRCBTC,0.00026,0.000298,0.00026,0.0002698,50614.1,15.03
2019-05-27,ZRCBTC,0.00026,0.00026,0.00026,0.00026,0.0,0.0
2019-05-26,ZRCBTC,0.0002743,0.0002981,0.00026,0.00026,89.58,0.02364
2019-05-25,ZRCBTC,0.0002743,0.0002743,0.0002743,0.0002743,0.0,0.0
2019-05-24,ZRCBTC,0.0002629,0.0002743,0.0002629,0.0002743,54.95,0.01505
2019-05-23,ZRCBTC,0.00026,0.0002629,0.00026,0.0002629,119.51,0.03135
2019-05-22,ZRCBTC,0.00026,0.0002606,0.00026,0.00026,453.81,0.118
2019-05-21,ZRCBTC,0.00026,0.0002603,0.00026,0.00026,359.86,0.09357
2019-05-20,ZRCBTC,0.00026,0.00026,0.00026,0.00026,0.0,0.0
2019-05-19,ZRCBTC,0.00026,0.00026,0.00026,0.00026,0.0,0.0
2019-05-18,ZRCBTC,0.0002828,0.0002828,0.00026,0.00026,437.09,0.1137
2019-05-17,ZRCBTC,0.0002828,0.0002828,0.0002828,0.0002828,0.0,0.0
2019-05-16,ZRCBTC,0.000286,0.000286,0.00026,0.0002828,2690.07,0.7264
2019-05-15,ZRCBTC,0.0003,0.0003,0.00028,0.000286,1068.26,0.2996
2019-05-14,ZRCBTC,0.0003,0.0003,0.0003,0.0003,529.35,0.1588
2019-05-13,ZRCBTC,0.00033,0.00033,0.0003,0.0003,41.77,0.01267
2019-05-12,ZRCBTC,0.00033,0.0003302,0.00033,0.00033,371.87,0.1227
2019-05-11,ZRCBTC,0.00034,0.0003402,0.00033,0.00033,323.05,0.1071
2019-05-10,ZRCBTC,0.00036,0.00036,0.00034,0.00034,417.87,0.1421
2019-05-09,ZRCBTC,0.00036,0.00036,0.00036,0.00036,0.0,0.0
2019-05-08,ZRCBTC,0.00036,0.00036,0.00036,0.00036,0.0,0.0
2019-05-07,ZRCBTC,0.0003817,0.0003817,0.00037,0.00037,33.89,0.01261
2019-05-06,ZRCBTC,0.0003817,0.0003817,0.0003817,0.0003817,0.0,0.0
2019-05-05,ZRCBTC,0.0003817,0.0003817,0.0003817,0.0003817,0.0,0.0
2019-05-04,ZRCBTC,0.00037,0.0003817,0.00037,0.0003817,33.98,0.01291
2019-05-03,ZRCBTC,0.00054,0.00054,0.00037,0.00037,450.65,0.1687
2019-05-02,ZRCBTC,0.00054,0.00054,0.00054,0.00054,0.0,0.0
2019-05-01,ZRCBTC,0.00054,0.00054,0.00054,0.00054,0.0,0.0
2019-04-30,ZRCBTC,0.00038,0.00054,0.00038,0.00054,189.28,0.07482
2019-04-29,ZRCBTC,0.0003901,0.0003901,0.00038,0.00038,123.3,0.04744
2019-04-28,ZRCBTC,0.0003901,0.0003901,0.0003901,0.0003901,0.0,0.0
2019-04-27,ZRCBTC,0.0004047,0.0004205,0.00039,0.0003901,170.66,0.06665
2019-04-26,ZRCBTC,0.0004025,0.0004047,0.0004025,0.0004047,5.76,0.002331
2019-04-25,ZRCBTC,0.0004025,0.0004025,0.0004025,0.0004025,0.0,0.0
2019-04-24,ZRCBTC,0.0004025,0.0004025,0.0004025,0.0004025,0.0,0.0
2019-04-23,ZRCBTC,0.0004025,0.0004025,0.0004025,0.0004025,0.0,0.0
2019-04-22,ZRCBTC,0.0004025,0.0004025,0.0004025,0.0004025,0.0,0.0
2019-04-21,ZRCBTC,0.0004025,0.0004025,0.0004025,0.0004025,0.0,0.0
2019-04-20,ZRCBTC,0.0004025,0.0004025,0.0004025,0.0004025,0.0,0.0
2019-04-19,ZRCBTC,0.0004025,0.0004025,0.0004025,0.0004025,0.0,0.0
2019-04-18,ZRCBTC,0.00039,0.0004025,0.00039,0.0004025,4.63,0.001864
2019-04-17,ZRCBTC,0.00039,0.00039,0.00039,0.00039,0.0,0.0
2019-04-16,ZRCBTC,0.00039,0.00039,0.00039,0.00039,0.0,0.0
2019-04-15,ZRCBTC,0.00039,0.00039,0.00039,0.00039,0.0,0.0
2019-04-14,ZRCBTC,0.00039,0.00039,0.00039,0.00039,16.44,0.006413
2019-04-13,ZRCBTC,0.0003931,0.0003931,0.00039,0.00039,42.53,0.01659
2019-04-12,ZRCBTC,0.00039,0.0003931,0.00039,0.0003931,400.24,0.1561
2019-04-11,ZRCBTC,0.00041,0.00041,0.00039,0.00039,927.21,0.3716
2019-04-10,ZRCBTC,0.000429,0.000429,0.00041,0.00041,11.44,0.004692
2019-04-09,ZRCBTC,0.000429,0.000429,0.000429,0.000429,0.0,0.0
2019-04-08,ZRCBTC,0.000429,0.000429,0.00041,0.000429,1371.91,0.5839
2019-04-07,ZRCBTC,0.000429,0.000429,0.000429,0.000429,29.06,0.01247
2019-04-06,ZRCBTC,0.000429,0.000429,0.000429,0.000429,70.12,0.03008
2019-04-05,ZRCBTC,0.00041,0.0004295,0.00041,0.000429,1592.4,0.6831
2019-04-04,ZRCBTC,0.00041,0.00041,0.00041,0.00041,0.0,0.0
2019-04-03,ZRCBTC,0.0005,0.0005,0.00041,0.00041,999.98,0.4436
2019-04-02,ZRCBTC,0.0005,0.0005,0.0005,0.0005,0.0,0.0
2019-04-01,ZRCBTC,0.0004905,0.0005,0.0004905,0.0005,0.4376,0.0002188
2019-03-31,ZRCBTC,0.0004905,0.0004905,0.0004905,0.0004905,0.0,0.0
2019-03-30,ZRCBTC,0.00047,0.0004905,0.00047,0.0004905,55.17,0.02677
2019-03-29,ZRCBTC,0.000486,0.000486,0.00047,0.00047,700.0,0.329
2019-03-28,ZRCBTC,0.000488,0.0004886,0.00047,0.000486,1053.02,0.4963
2019-03-27,ZRCBTC,0.0004797,0.000488,0.0004797,0.000488,7.38,0.0036
2019-03-26,ZRCBTC,0.0004797,0.0004797,0.0004797,0.0004797,0.0,0.0
2019-03-25,ZRCBTC,0.0004797,0.0004797,0.0004797,0.0004797,0.0,0.0
2019-03-24,ZRCBTC,0.0004871,0.0005399,0.00047,0.0004797,402.1,0.1895
2019-03-23,ZRCBTC,0.00047,0.0004871,0.00047,0.0004871,358.8,0.1695
2019-03-22,ZRCBTC,0.00047,0.00047,0.00047,0.00047,500.61,0.2353
2019-03-21,ZRCBTC,0.00047,0.000473,0.00047,0.00047,93.14,0.04378
2019-03-20,ZRCBTC,0.00047,0.00047,0.00047,0.00047,0.0,0.0
2019-03-19,ZRCBTC,0.00047,0.00047,0.00047,0.00047,0.0,0.0
2019-03-18,ZRCBTC,0.00047,0.00047,0.00047,0.00047,0.0,0.0
2019-03-17,ZRCBTC,0.00047,0.00047,0.00047,0.00047,0.0,0.0
2019-03-16,ZRCBTC,0.00047,0.00047,0.00047,0.00047,0.0,0.0
2019-03-15,ZRCBTC,0.00047,0.00047,0.00047,0.00047,0.0,0.0
2019-03-14,ZRCBTC,0.00047,0.0004706,0.00047,0.00047,180.9,0.08502
2019-03-13,ZRCBTC,0.0005027,0.0005027,0.00047,0.00047,946.5,0.473
2019-03-12,ZRCBTC,0.0005027,0.0005027,0.0005027,0.0005027,0.0,0.0
2019-03-11,ZRCBTC,0.0005027,0.0005027,0.0005027,0.0005027,1.41e-06,7e-10
2019-03-10,ZRCBTC,0.0004719,0.0005027,0.00047,0.0005027,2005.6,1.01
2019-03-09,ZRCBTC,0.0004719,0.0004719,0.0004719,0.0004719,0.0,0.0
2019-03-08,ZRCBTC,0.0004719,0.0004719,0.0004719,0.0004719,0.0,0.0
2019-03-07,ZRCBTC,0.0004719,0.0004719,0.0004719,0.0004719,0.0,0.0
2019-03-06,ZRCBTC,0.0004719,0.0004719,0.0004719,0.0004719,0.0,0.0
2019-03-05,ZRCBTC,0.0004924,0.0004924,0.0004719,0.0004719,3.15,0.001484
2019-03-04,ZRCBTC,0.0004924,0.0004924,0.0004924,0.0004924,0.0,0.0
2019-03-03,ZRCBTC,0.0004924,0.0004924,0.0004924,0.0004924,0.0,0.0
2019-03-02,ZRCBTC,0.0004924,0.0004924,0.0004924,0.0004924,0.0,0.0
2019-03-01,ZRCBTC,0.0004924,0.0004924,0.0004924,0.0004924,0.0,0.0
2019-02-28,ZRCBTC,0.00054,0.00054,0.0004924,0.0004924,0.4282,0.0002109
2019-02-27,ZRCBTC,0.0004592,0.00054,0.0004592,0.00054,1374.1,0.7418
2019-02-26,ZRCBTC,0.0004592,0.0004592,0.0004592,0.0004592,0.0,0.0
2019-02-25,ZRCBTC,0.0004592,0.0004592,0.0004592,0.0004592,0.0,0.0
2019-02-24,ZRCBTC,0.0004608,0.0004608,0.00043,0.0004592,3466.99,1.55
2019-02-23,ZRCBTC,0.0004608,0.0004608,0.0004608,0.0004608,0.0,0.0
