Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-08-18 09-PM,ZECUSD,145.1,145.1,145.1,145.1,0.0,0.0
2018-08-18 08-PM,ZECUSD,145,145.1,145,145.1,0.3903,56.61
2018-08-18 07-PM,ZECUSD,145,145,145,145,0.0,0.0
2018-08-18 06-PM,ZECUSD,145,145,145,145,0.01001,1.45
2018-08-18 05-PM,ZECUSD,146,147.13,145,145,10.19,1497.71
2018-08-18 04-PM,ZECUSD,145,146,145,146,0.01007,1.47
2018-08-18 03-PM,ZECUSD,146,146,145,145,0.06364,9.24
2018-08-18 02-PM,ZECUSD,145.02,146,145.02,146,0.4322,63.09
2018-08-18 01-PM,ZECUSD,149,149,145.02,145.02,2.43,359.09
2018-08-18 12-PM,ZECUSD,149,149,149,149,0.0,0.0
2018-08-18 11-AM,ZECUSD,148,149,148,149,0.829,122.95
2018-08-18 10-AM,ZECUSD,148,148,148,148,0.0,0.0
2018-08-18 09-AM,ZECUSD,148,148,147.34,148,0.3081,45.44
2018-08-18 08-AM,ZECUSD,148,148,148,148,0.07445,11.02
2018-08-18 07-AM,ZECUSD,148.08,148.99,146.93,148,0.3376,50.03
2018-08-18 06-AM,ZECUSD,151,151,148.08,148.08,0.4054,60.7
2018-08-18 05-AM,ZECUSD,151.71,151.71,151,151,0.1493,22.54
2018-08-18 04-AM,ZECUSD,151.71,151.71,151.71,151.71,0.0,0.0
2018-08-18 03-AM,ZECUSD,151.57,151.71,151.57,151.71,0.03131,4.75
2018-08-18 02-AM,ZECUSD,151.54,151.57,151.54,151.57,0.01006,1.53
2018-08-18 01-AM,ZECUSD,153,155,151.54,151.54,0.08918,13.67
2018-08-18 12-AM,ZECUSD,153,153,153,153,0.03813,5.83
2018-08-17 11-PM,ZECUSD,155,155,153,153,0.06706,10.26
2018-08-17 10-PM,ZECUSD,146.93,155,146.93,155,2.73,412.05
2018-08-17 09-PM,ZECUSD,146.93,146.93,146.93,146.93,0.0,0.0
2018-08-17 08-PM,ZECUSD,148,149,146.93,146.93,2.78,410.31
2018-08-17 07-PM,ZECUSD,150,150,148,148,0.03391,5.04
2018-08-17 06-PM,ZECUSD,146.28,150,146.28,150,0.1517,22.76
2018-08-17 05-PM,ZECUSD,145.46,149.82,145.46,146.28,0.2771,41.08
2018-08-17 04-PM,ZECUSD,149,149,145.46,145.46,0.002786,0.4052
2018-08-17 03-PM,ZECUSD,146.9,149,146.9,149,0.01342,2.0
2018-08-17 02-PM,ZECUSD,146.87,146.9,146.87,146.9,0.02279,3.35
2018-08-17 01-PM,ZECUSD,147.11,149.97,146.87,146.87,0.7,104.01
2018-08-17 12-PM,ZECUSD,147.11,147.11,147.11,147.11,0.6941,102.1
2018-08-17 11-AM,ZECUSD,147.11,147.11,147.11,147.11,0.0,0.0
2018-08-17 10-AM,ZECUSD,147.06,149.83,147.06,147.11,0.9771,145.26
2018-08-17 09-AM,ZECUSD,147,147.06,147,147.06,1.98,291.57
2018-08-17 08-AM,ZECUSD,149,149,146.85,147,4.93,732.2
2018-08-17 07-AM,ZECUSD,148.67,149,146.8,149,8.74,1301.58
2018-08-17 06-AM,ZECUSD,145.74,148.67,145.74,148.67,0.2386,35.46
2018-08-17 05-AM,ZECUSD,147.18,147.18,145.74,145.74,0.0008229,0.1199
2018-08-17 04-AM,ZECUSD,142.57,147.18,142.57,147.18,1.9,279.67
2018-08-17 03-AM,ZECUSD,142.57,142.57,142.57,142.57,0.0,0.0
2018-08-17 02-AM,ZECUSD,146.25,146.25,142.57,142.57,0.01001,1.43
2018-08-17 01-AM,ZECUSD,141.49,146.25,141.49,146.25,0.004067,0.5949
2018-08-17 12-AM,ZECUSD,141.49,141.49,141.49,141.49,0.0,0.0
2018-08-16 11-PM,ZECUSD,141.49,141.49,141.49,141.49,0.0,0.0
2018-08-16 10-PM,ZECUSD,143.63,146.43,141.49,141.49,0.04592,6.62
2018-08-16 09-PM,ZECUSD,143.63,143.63,143.63,143.63,0.1319,18.94
2018-08-16 08-PM,ZECUSD,145.06,145.06,143.63,143.63,0.05603,8.05
2018-08-16 07-PM,ZECUSD,146.59,147.03,145.06,145.06,1.62,237.57
2018-08-16 06-PM,ZECUSD,145.07,146.59,145.07,146.59,0.006721,0.9843
2018-08-16 05-PM,ZECUSD,145.07,145.07,143.24,145.07,0.6091,87.84
2018-08-16 04-PM,ZECUSD,145.07,145.07,143.24,145.07,0.6123,87.81
2018-08-16 03-PM,ZECUSD,145.63,146.29,143.65,145.07,0.5553,80.86
2018-08-16 02-PM,ZECUSD,143.53,145.63,141.37,145.63,1.63,233.04
2018-08-16 01-PM,ZECUSD,143.7,146.12,143.51,143.53,2.97,431.29
2018-08-16 12-PM,ZECUSD,145.95,145.95,143.67,143.7,0.5056,73.12
2018-08-16 11-AM,ZECUSD,140.64,145.95,140.64,145.95,2.44,353.03
2018-08-16 10-AM,ZECUSD,143,144.89,140.54,140.64,4.02,573.85
2018-08-16 09-AM,ZECUSD,140.24,143,140.24,143,0.05612,8.03
2018-08-16 08-AM,ZECUSD,143.09,143.09,139.8,140.24,1.45,203.48
2018-08-16 07-AM,ZECUSD,138.58,143.09,138.58,143.09,0.6383,91.05
2018-08-16 06-AM,ZECUSD,138.58,138.58,138.58,138.58,0.0,0.0
2018-08-16 05-AM,ZECUSD,138.58,138.58,138.58,138.58,0.0,0.0
2018-08-16 04-AM,ZECUSD,142.5,142.5,138.58,138.58,0.015,2.08
2018-08-16 03-AM,ZECUSD,138.5,142.5,138.5,142.5,0.0007745,0.1104
2018-08-16 02-AM,ZECUSD,139.91,139.91,138.5,138.5,0.002818,0.3902
2018-08-16 01-AM,ZECUSD,139.91,139.91,139.91,139.91,0.0,0.0
2018-08-16 12-AM,ZECUSD,140.13,140.13,139.91,139.91,0.09799,13.71
2018-08-15 11-PM,ZECUSD,140.13,140.13,140.13,140.13,0.06615,9.27
2018-08-15 10-PM,ZECUSD,139.91,140.13,139.91,140.13,0.005188,0.727
2018-08-15 09-PM,ZECUSD,139.91,139.91,139.91,139.91,0.0,0.0
2018-08-15 08-PM,ZECUSD,142.64,142.64,139.86,139.91,2.8,391.74
2018-08-15 07-PM,ZECUSD,144.22,147.69,142.64,142.64,1.91,280.56
2018-08-15 06-PM,ZECUSD,145.2,147.72,144.22,144.22,0.7163,103.35
2018-08-15 05-PM,ZECUSD,150.33,150.33,145,145.2,0.1005,14.69
2018-08-15 04-PM,ZECUSD,142.52,150.42,142.52,150.33,2.07,300.1
2018-08-15 03-PM,ZECUSD,142.5,143.85,142.5,142.52,5.52,788.93
2018-08-15 02-PM,ZECUSD,142.5,142.5,142.5,142.5,5.54,788.96
2018-08-15 01-PM,ZECUSD,143.5,143.5,142.5,142.5,1.01,143.33
2018-08-15 12-PM,ZECUSD,142.5,143.5,142.5,143.5,1.46,210.13
