Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume BTC
2018-12-10,NEOBTC,0.001776,0.001786,0.001726,0.001759,207992.96,364.95
2018-12-09,NEOBTC,0.001736,0.001873,0.00173,0.001776,307290.34,551.45
2018-12-08,NEOBTC,0.001777,0.001893,0.001704,0.001736,457259.75,808.16
2018-12-07,NEOBTC,0.001715,0.001814,0.001672,0.001777,738306.14,1273.01
2018-12-06,NEOBTC,0.001865,0.001892,0.001697,0.001715,398835.11,721.38
2018-12-05,NEOBTC,0.001932,0.001933,0.00185,0.001865,259917.24,487.52
2018-12-04,NEOBTC,0.001898,0.001958,0.001855,0.001932,300874.74,575.64
2018-12-03,NEOBTC,0.001926,0.00196,0.00188,0.001898,232210.58,444.05
2018-12-02,NEOBTC,0.001944,0.001971,0.001904,0.001926,198482.01,385.57
2018-12-01,NEOBTC,0.001919,0.00197,0.001894,0.001944,220656.16,427.24
2018-11-30,NEOBTC,0.001971,0.001985,0.001894,0.001922,332267.33,644.04
2018-11-29,NEOBTC,0.001963,0.002019,0.001921,0.001971,367178.26,719.8
2018-11-28,NEOBTC,0.001897,0.002,0.001882,0.001963,455233.5,885.36
2018-11-27,NEOBTC,0.001885,0.001901,0.001834,0.001897,300779.76,559.96
2018-11-26,NEOBTC,0.001919,0.00193,0.001862,0.001885,393133.31,746.92
2018-11-25,NEOBTC,0.001928,0.001952,0.00188,0.001919,407899.59,776.51
2018-11-24,NEOBTC,0.001978,0.00201,0.001904,0.001928,280490.26,545.71
2018-11-23,NEOBTC,0.001929,0.002,0.001869,0.001978,333445.76,641.26
2018-11-22,NEOBTC,0.002005,0.002027,0.00192,0.001929,333024.54,659.54
2018-11-21,NEOBTC,0.002008,0.00205,0.001942,0.002005,572332.35,1141.5
2018-11-20,NEOBTC,0.002083,0.002106,0.001859,0.002008,865050.37,1726.71
2018-11-19,NEOBTC,0.002239,0.00224,0.002004,0.002083,602429.24,1252.3
2018-11-18,NEOBTC,0.002235,0.002268,0.002224,0.002239,164075.58,367.6
2018-11-17,NEOBTC,0.002277,0.002286,0.002222,0.002235,143536.33,322.6
2018-11-16,NEOBTC,0.002302,0.00232,0.002265,0.002277,211648.43,484.72
2018-11-15,NEOBTC,0.002355,0.002365,0.00226,0.002302,318675.17,734.78
2018-11-14,NEOBTC,0.002409,0.002417,0.002195,0.002355,382888.67,888.87
2018-11-13,NEOBTC,0.002467,0.002473,0.002404,0.002409,140809.47,341.77
2018-11-12,NEOBTC,0.002508,0.00252,0.002437,0.002467,125505.02,309.99
2018-11-11,NEOBTC,0.002487,0.002512,0.002437,0.002508,107116.62,264.67
