Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume ETH
2019-03-14,XMRETH,0.383,0.3952,0.3765,0.3861,4329.59,1664.19
2019-03-13,XMRETH,0.3759,0.386,0.3759,0.383,2590.34,985.63
2019-03-12,XMRETH,0.3702,0.3764,0.3653,0.3759,1758.56,654.43
2019-03-11,XMRETH,0.3664,0.3727,0.3621,0.3702,2857.72,1049.37
2019-03-10,XMRETH,0.3627,0.3671,0.3616,0.3664,979.85,357.28
2019-03-09,XMRETH,0.3659,0.3683,0.3608,0.3627,1270.24,463.12
2019-03-08,XMRETH,0.3644,0.371,0.3582,0.3659,2403.53,875.64
2019-03-07,XMRETH,0.3609,0.3718,0.3603,0.3644,3280.82,1195.25
2019-03-06,XMRETH,0.359,0.3629,0.3525,0.3609,1623.83,582.49
2019-03-05,XMRETH,0.3742,0.3749,0.3582,0.359,2315.48,843.73
2019-03-04,XMRETH,0.375,0.3797,0.3673,0.3742,2028.61,757.67
2019-03-03,XMRETH,0.3663,0.3771,0.3609,0.375,1468.8,538.23
2019-03-02,XMRETH,0.3566,0.3682,0.3555,0.3663,1374.27,498.58
2019-03-01,XMRETH,0.3532,0.3578,0.3504,0.3566,1781.19,631.14
2019-02-28,XMRETH,0.3602,0.362,0.3505,0.3532,2436.45,864.57
2019-02-27,XMRETH,0.3515,0.3741,0.3453,0.3602,2472.84,884.88
2019-02-26,XMRETH,0.3515,0.3563,0.3468,0.3515,1261.45,443.66
2019-02-25,XMRETH,0.357,0.358,0.343,0.3515,3161.07,1104.64
2019-02-24,XMRETH,0.3394,0.358,0.3309,0.357,2984.84,1027.67
2019-02-23,XMRETH,0.348,0.352,0.3324,0.3394,1197.72,409.19
2019-02-22,XMRETH,0.3402,0.3527,0.3402,0.348,1089.78,377.11
2019-02-21,XMRETH,0.3469,0.3513,0.3402,0.3402,1488.35,516.66
2019-02-20,XMRETH,0.3587,0.363,0.3442,0.3469,2179.36,765.01
2019-02-19,XMRETH,0.351,0.365,0.3469,0.3587,3680.52,1295.57
2019-02-18,XMRETH,0.3563,0.36,0.3413,0.351,4025.84,1410.73
2019-02-17,XMRETH,0.3799,0.3825,0.353,0.3563,2184.47,810.78
2019-02-16,XMRETH,0.3875,0.3918,0.3777,0.3799,1957.1,753.73
2019-02-15,XMRETH,0.3851,0.3999,0.3794,0.3875,3426.24,1332.76
2019-02-14,XMRETH,0.4015,0.4018,0.375,0.3851,4648.9,1804.7
2019-02-13,XMRETH,0.3968,0.4143,0.3899,0.4015,4566.58,1847.2
2019-02-12,XMRETH,0.3972,0.4021,0.3924,0.3968,2606.91,1038.33
2019-02-11,XMRETH,0.3968,0.4029,0.3887,0.3972,2602.52,1027.67
2019-02-10,XMRETH,0.4046,0.4128,0.3937,0.3968,2217.84,895.75
2019-02-09,XMRETH,0.4026,0.4087,0.4,0.4046,1300.76,525.57
2019-02-08,XMRETH,0.4139,0.4205,0.3992,0.4026,4629.68,1898.1
2019-02-07,XMRETH,0.4116,0.4192,0.4089,0.4139,3242.05,1343.05
2019-02-06,XMRETH,0.4039,0.4182,0.4033,0.4116,2381.16,983.32
2019-02-05,XMRETH,0.3973,0.405,0.3971,0.4039,2155.59,865.11
2019-02-04,XMRETH,0.3988,0.4013,0.3909,0.3973,1773.06,701.55
2019-02-03,XMRETH,0.392,0.4035,0.3895,0.3988,1585.91,629.42
2019-02-02,XMRETH,0.406,0.4077,0.3862,0.392,1809.8,715.01
2019-02-01,XMRETH,0.4076,0.416,0.4029,0.406,1943.35,794.33
2019-01-31,XMRETH,0.4053,0.41,0.3916,0.4076,1933.34,783.1
2019-01-30,XMRETH,0.4105,0.4133,0.4023,0.4053,1750.58,713.92
2019-01-29,XMRETH,0.4091,0.4167,0.4079,0.4105,1693.67,699.11
2019-01-28,XMRETH,0.4126,0.4245,0.4036,0.4091,2411.55,998.93
2019-01-27,XMRETH,0.3931,0.4133,0.392,0.4126,2811.42,1129.64
2019-01-26,XMRETH,0.405,0.405,0.3901,0.3931,1313.36,518.97
2019-01-25,XMRETH,0.3912,0.4061,0.3859,0.405,2617.57,1034.5
2019-01-24,XMRETH,0.3844,0.3972,0.3821,0.3912,1636.98,639.27
2019-01-23,XMRETH,0.3877,0.3878,0.3788,0.3844,2104.33,808.01
2019-01-22,XMRETH,0.3813,0.3955,0.3797,0.3877,3174.95,1226.13
2019-01-21,XMRETH,0.3693,0.3813,0.3693,0.3813,2966.95,1110.93
2019-01-20,XMRETH,0.3698,0.3754,0.3679,0.3693,2011.56,746.3
2019-01-19,XMRETH,0.3731,0.3743,0.3654,0.3698,3017.03,1115.23
2019-01-18,XMRETH,0.369,0.3775,0.3659,0.3731,2818.0,1045.73
2019-01-17,XMRETH,0.3754,0.3807,0.3664,0.369,2948.02,1101.97
2019-01-16,XMRETH,0.3676,0.3755,0.3571,0.3754,3763.32,1390.49
2019-01-15,XMRETH,0.3538,0.3752,0.3503,0.3676,2924.74,1052.52
2019-01-14,XMRETH,0.37,0.3729,0.351,0.3538,3032.25,1102.7
2019-01-13,XMRETH,0.3586,0.3766,0.3573,0.37,2300.74,841.54
2019-01-12,XMRETH,0.3588,0.3603,0.351,0.3586,1830.27,650.94
2019-01-11,XMRETH,0.354,0.3695,0.3488,0.3588,3466.29,1247.1
2019-01-10,XMRETH,0.3485,0.3746,0.3474,0.354,5193.59,1840.15
2019-01-09,XMRETH,0.3534,0.3589,0.3445,0.3485,5313.18,1868.18
2019-01-08,XMRETH,0.3513,0.36,0.3476,0.3534,4095.83,1451.21
2019-01-07,XMRETH,0.35,0.356,0.3369,0.3513,5652.35,1948.7
2019-01-06,XMRETH,0.3189,0.355,0.3176,0.35,3389.19,1138.27
2019-01-05,XMRETH,0.3267,0.3267,0.313,0.3189,3059.23,975.29
2019-01-04,XMRETH,0.3337,0.3385,0.3197,0.3267,2556.11,840.14
2019-01-03,XMRETH,0.337,0.3422,0.3292,0.3337,3876.73,1298.53
2019-01-02,XMRETH,0.3418,0.3544,0.323,0.337,9476.01,3214.04
2019-01-01,XMRETH,0.3474,0.3477,0.3314,0.3418,2476.79,844.98
2018-12-31,XMRETH,0.3457,0.3555,0.3365,0.3474,2238.48,775.17
2018-12-30,XMRETH,0.3487,0.3588,0.3418,0.3457,1890.83,661.59
