Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume ILS
2016-11-07,LTCILS,11,11,11,11,0.0,0.0
2016-11-06,LTCILS,11,11,11,11,0.0,0.0
2016-11-05,LTCILS,11,11,11,11,0.0,0.0
2016-11-04,LTCILS,11,11,11,11,0.0,0.0
2016-11-03,LTCILS,11,11,11,11,0.0,0.0
2016-11-02,LTCILS,11,11,11,11,0.0,0.0
2016-11-01,LTCILS,11.01,11.01,11,11,32.43,357.02
2016-10-31,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-30,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-29,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-28,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-27,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-26,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-25,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-24,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-23,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-22,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-21,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-20,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-19,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-18,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-17,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-16,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-15,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-14,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-13,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-12,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-11,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-10,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-09,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-08,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-07,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-06,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-05,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-04,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-03,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-02,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-10-01,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-30,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-29,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-28,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-27,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-26,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-25,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-24,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-23,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-22,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-21,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-20,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-19,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-18,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-17,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-16,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-15,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-14,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-13,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-12,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-11,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-10,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-09,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-08,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-07,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-06,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-05,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-04,LTCILS,18.99,18.99,18.99,18.99,36.0,683.64
2016-09-03,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-02,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-09-01,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-08-31,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-08-30,LTCILS,18.99,18.99,18.99,18.99,0.0,0.0
2016-08-29,LTCILS,18.99,18.99,18.99,18.99,5.1,96.85
2016-08-28,LTCILS,15,15,15,15,0.0,0.0
2016-08-27,LTCILS,15,15,15,15,0.0,0.0
2016-08-26,LTCILS,15,15,15,15,0.0,0.0
2016-08-25,LTCILS,15,15,15,15,0.0,0.0
2016-08-24,LTCILS,15,15,15,15,0.0,0.0
2016-08-23,LTCILS,15,15,15,15,0.0,0.0
2016-08-22,LTCILS,15,15,15,15,0.0,0.0
2016-08-21,LTCILS,15,15,15,15,0.0,0.0
2016-08-20,LTCILS,15,15,15,15,0.0,0.0
2016-08-19,LTCILS,15,15,15,15,0.0,0.0
2016-08-18,LTCILS,15,15,15,15,0.0,0.0
2016-08-17,LTCILS,15,15,15,15,0.0,0.0
2016-08-16,LTCILS,15,15,15,15,0.0,0.0
2016-08-15,LTCILS,15,15,15,15,0.0,0.0
2016-08-14,LTCILS,15,15,15,15,0.0,0.0
2016-08-13,LTCILS,15,15,15,15,0.0,0.0
2016-08-12,LTCILS,15,15,15,15,0.0,0.0
2016-08-11,LTCILS,15,15,15,15,0.0,0.0
2016-08-10,LTCILS,15,15,15,15,0.0,0.0
2016-08-09,LTCILS,15,15,15,15,0.0,0.0
2016-08-08,LTCILS,15,15,15,15,0.0,0.0
2016-08-07,LTCILS,15,15,15,15,0.0,0.0
2016-08-06,LTCILS,15,15,15,15,0.0,0.0
2016-08-05,LTCILS,15,15,15,15,0.0,0.0
2016-08-04,LTCILS,15,15,15,15,0.0,0.0
2016-08-03,LTCILS,15,15,15,15,0.0,0.0
2016-08-02,LTCILS,15,15,15,15,0.0,0.0
