Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume GBP
2018-12-05,BCHGBP,126,126,120,120,7.43,918.91
2018-12-04,BCHGBP,142,180,126,126,0.997,125.63
2018-12-03,BCHGBP,150,150,142,142,4.99,707.87
2018-12-02,BCHGBP,150,150,150,150,0.0,0.0
2018-12-01,BCHGBP,150,150,150,150,0.0,0.0
2018-11-30,BCHGBP,250,250,150,150,16.72,2515.69
2018-11-29,BCHGBP,160,250,160,250,2.0,500.0
2018-11-28,BCHGBP,260,260,160,160,2.0,320.0
2018-11-27,BCHGBP,140,260,140,260,3.17,650.6
2018-11-26,BCHGBP,160,160,125,140,7.43,972.75
2018-11-25,BCHGBP,160,160,160,160,0.0,0.0
2018-11-24,BCHGBP,195,195,160,160,3.0,491.48
2018-11-23,BCHGBP,269,269,195,195,2.0,390.83
2018-11-22,BCHGBP,269,269,269,269,0.0,0.0
2018-11-21,BCHGBP,269,269,269,269,0.0,0.0
2018-11-20,BCHGBP,225,269,207,269,2.03,465.66
2018-11-19,BCHGBP,300,300,225,225,5.66,1430.74
2018-11-18,BCHGBP,300,300,300,300,0.0,0.0
2018-11-17,BCHGBP,220,300,220,300,1.91,553.61
2018-11-16,BCHGBP,305,310,220,220,21.7,5418.76
2018-11-15,BCHGBP,440,440,305,305,2.25,738.67
2018-11-14,BCHGBP,395,440,295,440,157.11,56232.12
2018-11-13,BCHGBP,394,395,386,395,339.74,131520.92
2018-11-12,BCHGBP,413,413,388,394,82.9,32497.84
2018-11-11,BCHGBP,421,421,413,413,1.84,767.29
2018-11-10,BCHGBP,432,432,409,421,10.87,4519.83
2018-11-09,BCHGBP,445,454,427,432,58.34,25417.35
2018-11-08,BCHGBP,464,464,435,445,15.59,6981.39
2018-11-07,BCHGBP,475,480,464,464,60.56,28567.4
2018-11-06,BCHGBP,428,475,420,475,133.89,61049.57
2018-11-05,BCHGBP,422,436,422,428,39.55,17147.09
2018-11-04,BCHGBP,365,440,365,422,58.31,24901.24
2018-11-03,BCHGBP,343,365,343,365,39.15,13679.83
2018-11-02,BCHGBP,314,345,314,343,19.3,6206.9
2018-11-01,BCHGBP,320,333,314,314,22.54,7291.45
2018-10-31,BCHGBP,321,325,320,320,6.07,1971.25
2018-10-30,BCHGBP,335,335,321,321,6.84,2195.32
2018-10-29,BCHGBP,335,335,335,335,0.0,0.0
2018-10-28,BCHGBP,335,335,335,335,0.0,0.0
2018-10-27,BCHGBP,335,335,335,335,0.0,0.0
2018-10-26,BCHGBP,335,335,335,335,0.3817,127.87
2018-10-25,BCHGBP,335,350,335,335,3.0,1005.21
2018-10-24,BCHGBP,343,343,335,335,0.0231,7.74
2018-10-23,BCHGBP,343,343,343,343,0.0,0.0
2018-10-22,BCHGBP,343,343,343,343,0.0,0.0
2018-10-21,BCHGBP,343,343,343,343,0.0,0.0
2018-10-20,BCHGBP,343,343,343,343,0.0,0.0
2018-10-19,BCHGBP,351,351,343,343,0.0218,7.48
2018-10-18,BCHGBP,330,351,330,351,0.002,0.702
2018-10-17,BCHGBP,331,331,200,330,12.36,3644.68
2018-10-16,BCHGBP,331,331,331,331,0.0,0.0
2018-10-15,BCHGBP,331,331,331,331,0.0,0.0
2018-10-14,BCHGBP,331,331,331,331,0.0,0.0
2018-10-13,BCHGBP,331,331,331,331,0.0,0.0
2018-10-12,BCHGBP,334,334,331,331,6.86,2270.43
2018-10-11,BCHGBP,381,381,334,334,19.46,6708.45
2018-10-10,BCHGBP,399,399,381,381,0.395,150.5
2018-10-09,BCHGBP,403,403,399,399,0.7496,299.09
2018-10-08,BCHGBP,394,403,394,403,6.46,2598.63
2018-10-07,BCHGBP,390,394,385,394,7.05,2725.72
2018-10-06,BCHGBP,393,399,390,390,2.95,1170.19
2018-10-05,BCHGBP,408,408,390,393,2.57,1009.59
2018-10-04,BCHGBP,398,408,396,408,11.76,4741.65
2018-10-03,BCHGBP,414,414,390,398,14.32,5621.92
2018-10-02,BCHGBP,406,418,406,414,16.8,6921.13
2018-10-01,BCHGBP,371,408,371,406,3.27,1318.51
2018-09-30,BCHGBP,371,371,371,371,0.0,0.0
2018-09-29,BCHGBP,414,414,371,371,1.57,635.85
2018-09-28,BCHGBP,449,449,405,414,27.2,11456.93
2018-09-27,BCHGBP,387,449,387,449,16.46,6792.78
2018-09-26,BCHGBP,331,410,304,387,43.3,16482.99
2018-09-25,BCHGBP,358,358,329,331,16.27,5544.96
2018-09-24,BCHGBP,369,373,351,358,5.55,1988.07
2018-09-23,BCHGBP,371,386,368,369,21.01,7782.13
2018-09-22,BCHGBP,388,394,362,371,33.62,12694.63
2018-09-21,BCHGBP,348,388,341,388,55.61,19715.72
2018-09-20,BCHGBP,332,354,323,348,34.42,11677.98
2018-09-19,BCHGBP,331,336,312,332,60.16,19572.25
2018-09-18,BCHGBP,317,337,317,331,16.02,5373.9
2018-09-17,BCHGBP,338,341,315,317,37.96,12134.23
2018-09-16,BCHGBP,340,340,331,338,16.5,5571.12
2018-09-15,BCHGBP,345,345,340,340,0.6,204.0
2018-09-14,BCHGBP,350,350,345,345,7.4,2569.66
2018-09-13,BCHGBP,319,350,319,350,85.58,28827.98
2018-09-12,BCHGBP,350,350,316,319,55.39,18008.26
2018-09-11,BCHGBP,359,359,350,350,3.72,1308.32
2018-09-10,BCHGBP,378,378,358,359,20.51,7423.02
2018-09-09,BCHGBP,365,381,357,378,15.15,5502.84
2018-09-08,BCHGBP,400,400,365,365,29.58,11036.27
2018-09-07,BCHGBP,395,400,395,400,24.34,9720.28
2018-09-06,BCHGBP,410,440,383,395,28.47,11237.17
2018-09-05,BCHGBP,497,497,410,410,22.88,9654.37
2018-09-04,BCHGBP,486,501,485,497,23.97,11894.64
2018-09-03,BCHGBP,486,486,486,486,0.0,0.0
2018-09-02,BCHGBP,477,505,470,486,17.03,8236.37
2018-09-01,BCHGBP,420,488,420,477,20.36,9133.66
2018-08-31,BCHGBP,408,420,408,420,8.66,3632.54
2018-08-30,BCHGBP,422,422,408,408,2.33,964.76
2018-08-29,BCHGBP,440,441,422,422,5.81,2469.54
2018-08-28,BCHGBP,440,440,425,440,4.7,2038.16
2018-08-27,BCHGBP,411,440,407,440,15.38,6484.31
2018-08-26,BCHGBP,409,417,409,411,1.42,590.18
2018-08-25,BCHGBP,409,409,409,409,0.0,0.0
2018-08-24,BCHGBP,405,411,405,409,0.362,148.56
2018-08-23,BCHGBP,399,405,399,405,5.42,2177.18
2018-08-22,BCHGBP,418,442,399,399,1.75,751.28
2018-08-21,BCHGBP,425,425,408,418,2.26,927.25
2018-08-20,BCHGBP,456,456,425,425,1.04,443.36
2018-08-19,BCHGBP,440,456,440,456,1.27,574.76
2018-08-18,BCHGBP,458,467,419,440,46.88,20740.83
2018-08-17,BCHGBP,416,461,416,458,12.23,5540.56
2018-08-16,BCHGBP,403,419,403,416,5.29,2190.29
2018-08-15,BCHGBP,392,421,392,403,30.3,12520.13
2018-08-14,BCHGBP,422,422,374,392,96.87,37747.53
2018-08-13,BCHGBP,454,454,420,422,67.71,28985.13
2018-08-12,BCHGBP,420,420,420,420,0.0,0.0
2018-08-11,BCHGBP,431,448,420,420,21.15,9158.25
2018-08-10,BCHGBP,471,477,431,431,14.57,6449.31
2018-08-09,BCHGBP,448,471,448,471,14.49,6736.4
2018-08-08,BCHGBP,525,525,448,448,47.49,21605.23
2018-08-07,BCHGBP,538,545,525,525,8.34,4449.21
2018-08-06,BCHGBP,538,545,534,538,2.75,1486.64
2018-08-05,BCHGBP,540,540,532,538,3.53,1898.57
2018-08-04,BCHGBP,550,550,540,540,0.997,538.38
2018-08-03,BCHGBP,569,569,539,550,5.65,3068.7
2018-08-02,BCHGBP,578,578,547,569,5.27,3002.78
2018-08-01,BCHGBP,597,597,500,578,23.27,12999.96
2018-07-31,BCHGBP,610,615,597,597,5.69,3423.16
2018-07-30,BCHGBP,625,627,605,610,2.46,1509.29
2018-07-29,BCHGBP,610,625,610,625,1.74,1085.01
2018-07-28,BCHGBP,620,620,598,610,12.17,7283.52
2018-07-27,BCHGBP,605,620,601,620,23.57,14313.01
2018-07-26,BCHGBP,623,645,561,605,13.75,8341.32
2018-07-25,BCHGBP,591,656,591,623,1.0,657.23
2018-07-24,BCHGBP,609,660,591,591,23.97,15348.08
2018-07-23,BCHGBP,615,620,592,609,5.61,3471.08
2018-07-22,BCHGBP,597,615,597,615,0.0029,1.78
2018-07-21,BCHGBP,585,597,585,597,1.0,597.0
2018-07-20,BCHGBP,674,674,585,585,2.24,1336.01
2018-07-19,BCHGBP,674,674,674,674,0.0,0.0
2018-07-18,BCHGBP,652,675,646,674,32.21,21297.72
2018-07-17,BCHGBP,615,652,600,652,25.42,15716.69
2018-07-16,BCHGBP,566,615,560,615,2.0,1171.82
2018-07-15,BCHGBP,528,566,527,566,7.81,4140.12
2018-07-14,BCHGBP,528,528,528,528,0.0,0.0
2018-07-13,BCHGBP,511,528,511,528,0.614,324.19
2018-07-12,BCHGBP,529,663,511,511,12.54,6502.71
2018-07-11,BCHGBP,557,557,529,529,1.97,1042.66
2018-07-10,BCHGBP,559,559,529,557,0.9894,524.44
2018-07-09,BCHGBP,545,575,545,559,32.52,18487.48
2018-07-08,BCHGBP,545,545,545,545,0.0,0.0
2018-07-07,BCHGBP,570,570,545,545,1.0,547.62
2018-07-06,BCHGBP,570,570,570,570,0.0,0.0
2018-07-05,BCHGBP,549,571,549,570,9.5,5416.75
2018-07-04,BCHGBP,590,590,549,549,0.2113,116.0
2018-07-03,BCHGBP,590,590,590,590,0.0,0.0
2018-07-02,BCHGBP,510,590,510,590,1.02,600.03
2018-07-01,BCHGBP,610,610,510,510,6.0,3136.67
2018-06-30,BCHGBP,610,610,610,610,0.4164,254.0
2018-06-29,BCHGBP,510,990,510,610,41.21,28335.59
2018-06-28,BCHGBP,550,550,510,510,29.83,15990.84
2018-06-27,BCHGBP,520,550,520,550,3.14,1725.19
2018-06-26,BCHGBP,599,610,520,520,31.61,17913.71
2018-06-25,BCHGBP,540,599,540,599,1.67,999.97
2018-06-24,BCHGBP,560,560,540,540,5.16,2827.32
2018-06-23,BCHGBP,560,560,560,560,0.0,0.0
2018-06-22,BCHGBP,659,659,560,560,21.89,12928.89
2018-06-21,BCHGBP,679,679,603,659,10.05,6699.66
2018-06-20,BCHGBP,670,684,626,679,18.98,12734.91
2018-06-19,BCHGBP,690,690,670,670,0.2492,166.96
2018-06-18,BCHGBP,690,690,690,690,0.0,0.0
2018-06-17,BCHGBP,690,690,690,690,0.0,0.0
2018-06-16,BCHGBP,690,690,690,690,0.0,0.0
2018-06-15,BCHGBP,630,690,630,690,67.03,44724.4
2018-06-14,BCHGBP,606,656,606,630,3.95,2571.75
2018-06-13,BCHGBP,672,672,606,606,21.06,13228.21
2018-06-12,BCHGBP,711,711,650,672,9.58,6334.64
2018-06-11,BCHGBP,696,711,685,711,6.44,4519.34
2018-06-10,BCHGBP,800,800,696,696,23.78,17993.91
2018-06-09,BCHGBP,810,834,800,800,6.21,5100.72
2018-06-08,BCHGBP,846,846,810,810,0.4984,403.7
2018-06-07,BCHGBP,816,846,816,846,10.86,9180.08
