Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume USD
2018-10-03,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-10-02,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-10-01,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-30,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-29,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-28,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-27,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-26,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-25,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-24,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-23,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-22,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-21,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-20,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-19,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-18,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-17,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-16,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-15,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-14,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-13,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-12,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-11,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-10,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-09,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-08,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-07,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-06,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-05,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-04,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-03,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-02,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-09-01,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-31,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-30,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-29,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-28,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-27,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-26,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-25,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-24,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-23,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-22,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-21,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-20,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-19,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-18,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-17,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-16,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-15,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-14,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-13,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-12,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-11,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-10,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-09,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-08,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-07,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-06,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-05,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-04,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-03,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-02,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-08-01,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-31,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-30,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-29,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-28,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-27,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-26,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-25,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-24,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-23,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-22,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-21,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-20,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-19,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-18,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-17,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-16,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-15,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-14,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-13,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2018-07-12,OMGUSD,6.85,6.9,6.61,6.7,10868.26,72879.77
2018-07-11,OMGUSD,6.81,7.01,6.65,6.85,22054.79,151545.12
2018-07-10,OMGUSD,7.26,8,6.8,6.81,50081.51,358503.1
2018-07-09,OMGUSD,7.84,7.88,7.05,7.26,38277.28,284208.11
2018-07-08,OMGUSD,8.08,8.22,7.76,7.84,20341.99,162607.77
2018-07-07,OMGUSD,8.01,8.1,7.58,8.08,16015.87,123787.01
2018-07-06,OMGUSD,8.08,8.15,7.82,8.01,8756.34,69924.31
2018-07-05,OMGUSD,8.09,8.35,7.89,8.08,22255.0,181172.39
2018-07-04,OMGUSD,7.92,8.55,7.75,8.09,42151.76,342886.28
2018-07-03,OMGUSD,8.39,8.78,7.8,7.92,26836.6,222992.8
