Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QAS,Volume HUSD
2019-06-26 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 04-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 03-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 02-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 01-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-26 12-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 11-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 10-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 09-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 08-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 07-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 06-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 05-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 04-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 03-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 04-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 03-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 02-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 01-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-25 12-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 11-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 10-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 09-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 08-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 07-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 06-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 05-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 04-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 03-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 04-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 03-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 02-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 01-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-24 12-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 11-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 10-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 09-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 08-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 07-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 06-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 05-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 04-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 03-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 04-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 03-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 02-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 01-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-23 12-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 11-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 10-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 09-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 08-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 07-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 06-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 05-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 04-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 03-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
