Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-04-02,ZECUSD,189.27,208.33,188.05,199.43,9901.01,1979573.16
2018-04-01,ZECUSD,190.46,199.4,182.04,189.27,10844.42,2062419.42
2018-03-31,ZECUSD,195.7,204.37,189,190.46,10165.62,1995394.29
2018-03-30,ZECUSD,192.39,204.89,191.33,195.7,10339.41,2027939.89
2018-03-29,ZECUSD,214.36,214.72,191.72,192.39,12277.81,2487025.5
2018-03-28,ZECUSD,219.75,224,212.16,214.36,8329.11,1810038.73
2018-03-27,ZECUSD,229.77,234.25,213.49,219.75,9434.24,2091591.13
2018-03-26,ZECUSD,243.73,246.72,216.15,229.77,8377.06,1954565.56
2018-03-25,ZECUSD,246.47,248.34,240.78,243.73,8311.73,2033497.29
2018-03-24,ZECUSD,265.78,266.01,246.04,246.47,8267.3,2114236.77
2018-03-23,ZECUSD,255.07,265.84,236.36,265.78,8650.91,2133090.42
2018-03-22,ZECUSD,265.03,274.98,242.7,255.07,8300.44,2142261.99
2018-03-21,ZECUSD,265.14,288.36,259.38,265.03,8953.19,2452735.44
2018-03-20,ZECUSD,261,276.02,242.56,265.14,8317.36,2133565.37
2018-03-19,ZECUSD,252.81,261.85,235.79,261,9753.77,2409629.37
2018-03-18,ZECUSD,227.26,258.17,213.24,252.81,11120.96,2494388.42
2018-03-17,ZECUSD,241.64,242.91,227,227.26,9927.24,2331553.61
2018-03-16,ZECUSD,246.28,254.34,238.95,241.64,7670.8,1881014.74
2018-03-15,ZECUSD,260.75,264.34,242.23,246.28,7871.77,1990543.13
2018-03-14,ZECUSD,289.91,294.36,257.54,260.75,8124.55,2270477.77
2018-03-13,ZECUSD,296.5,307.69,282.99,289.91,6949.92,2035866.32
2018-03-12,ZECUSD,310.52,316.86,283.1,296.5,7927.76,2392616.86
2018-03-11,ZECUSD,293.05,322.16,287.18,310.52,7458.64,2248843.48
2018-03-10,ZECUSD,320.35,327.99,292.17,293.05,6609.48,2061340.65
2018-03-09,ZECUSD,325.48,329.08,300,320.35,8461.98,2625254.01
2018-03-08,ZECUSD,360.21,363.89,325.27,325.48,5734.32,1977655.01
2018-03-07,ZECUSD,391.85,395.53,345.76,360.21,6107.32,2271853.21
2018-03-06,ZECUSD,397.3,399.61,379.57,391.85,6500.94,2545524.56
2018-03-05,ZECUSD,413.41,415,396.37,397.3,5456.97,2217261.68
2018-03-04,ZECUSD,390.59,414.5,387.73,413.41,5514.16,2199856.51
2018-03-03,ZECUSD,393.65,410.55,384.97,390.59,5568.55,2194315.57
2018-03-02,ZECUSD,404.53,408.01,381.75,393.65,5633.04,2215342.21
2018-03-01,ZECUSD,388.92,406.69,385.07,404.53,5430.26,2150874.92
2018-02-28,ZECUSD,411.05,420.78,386.23,388.92,6109.64,2462093.79
2018-02-27,ZECUSD,406.26,421.95,400.82,411.05,5467.73,2254704.81
2018-02-26,ZECUSD,399.4,422.53,390.28,406.26,5542.49,2254667.19
2018-02-25,ZECUSD,401.74,409.19,388.16,399.4,4991.61,1990997.55
2018-02-24,ZECUSD,428.36,431.71,391.1,401.74,5077.13,2073143.31
2018-02-23,ZECUSD,403.04,436,382.18,428.36,5265.64,2159646.94
2018-02-22,ZECUSD,445.36,459.24,402.01,403.04,4878.0,2084733.29
2018-02-21,ZECUSD,455.39,472,425.56,445.36,5840.97,2616503.82
2018-02-20,ZECUSD,475.95,486.23,455,455.39,5955.14,2804867.38
2018-02-19,ZECUSD,451.79,489.15,450.57,475.95,4837.34,2291798.19
2018-02-18,ZECUSD,491.34,492.84,443.14,451.79,5483.88,2565485.54
2018-02-17,ZECUSD,479.02,497.43,471.99,491.34,5218.74,2547815.64
2018-02-16,ZECUSD,482.68,495.85,462.19,479.02,5123.76,2436855.66
2018-02-15,ZECUSD,481.93,490,461.77,482.68,5442.03,2592454.78
2018-02-14,ZECUSD,446.76,487.55,444.96,481.93,5526.87,2588451.35
2018-02-13,ZECUSD,462.13,463.99,429.38,446.76,5037.11,2249857.91
2018-02-12,ZECUSD,432.53,470.6,431.5,462.13,5568.66,2560298.19
2018-02-11,ZECUSD,480.49,482.02,408,432.53,5526.82,2436374.0
2018-02-10,ZECUSD,474.6,513.92,450.78,480.49,6039.88,2897757.2
2018-02-09,ZECUSD,443.7,477.49,406.86,474.6,6995.91,3044010.02
2018-02-08,ZECUSD,357.6,444.89,356.22,443.7,5639.96,2305455.6
2018-02-07,ZECUSD,375.43,393.76,330.36,357.6,5284.74,1937485.82
2018-02-06,ZECUSD,309.45,382.5,265.1,375.43,7969.17,2540077.47
2018-02-05,ZECUSD,344.67,352.66,287.14,309.45,6993.8,2253340.98
2018-02-04,ZECUSD,388.58,406.42,335.16,344.67,6021.69,2233324.22
2018-02-03,ZECUSD,389.43,405.75,348.07,388.58,5235.43,1992379.61
2018-02-02,ZECUSD,402.12,403.01,314.78,389.43,7879.96,2872636.44
2018-02-01,ZECUSD,401.78,414.98,373.17,402.12,8193.63,3234842.0
2018-01-31,ZECUSD,384.35,401.78,362.05,401.78,6478.35,2494608.25
2018-01-30,ZECUSD,448.26,448.99,379.35,384.35,7077.7,2941001.25
2018-01-29,ZECUSD,475.68,478.67,438.75,448.26,7454.59,3385816.65
2018-01-28,ZECUSD,454.91,482.49,453.44,475.68,5585.67,2620729.19
2018-01-27,ZECUSD,453.53,463.35,430,454.91,6121.38,2758630.4
2018-01-26,ZECUSD,470.54,493.28,422.44,453.53,5588.9,2535318.75
2018-01-25,ZECUSD,455.94,477,450,470.54,3017.76,1399353.52
2018-01-24,ZECUSD,442.29,464.64,423.19,455.94,5557.97,2465536.92
2018-01-23,ZECUSD,441.21,469.87,401.56,442.29,6939.7,3029364.34
2018-01-22,ZECUSD,488.47,503.83,408.11,441.21,5620.51,2592754.71
2018-01-21,ZECUSD,555.72,557.04,469.35,488.47,6042.34,3034292.32
2018-01-20,ZECUSD,523,564.6,509.58,555.72,4834.23,2615910.54
2018-01-19,ZECUSD,471.66,543.82,465.18,523,6944.73,3511763.47
2018-01-18,ZECUSD,494.63,535.49,468.89,471.66,5448.64,2754181.77
2018-01-17,ZECUSD,503.67,531.79,400.28,494.63,5841.45,2664943.46
2018-01-16,ZECUSD,624.68,686.16,452.63,503.67,7385.28,4031074.82
2018-01-15,ZECUSD,674.97,686.99,623.21,624.68,4212.1,2772202.19
2018-01-14,ZECUSD,695.94,716.29,635.13,674.97,4675.34,3152656.63
2018-01-13,ZECUSD,695.8,722.99,686.2,695.94,4046.76,2850844.53
2018-01-12,ZECUSD,643.39,719.67,608.31,695.8,3915.2,2650384.97
2018-01-11,ZECUSD,721.5,741.99,601.46,643.39,5038.29,3345572.34
2018-01-10,ZECUSD,668.29,744.24,612.82,721.5,6411.67,4317980.32
2018-01-09,ZECUSD,686.94,721.65,634.27,668.29,4862.32,3306206.72
2018-01-08,ZECUSD,751.48,758.85,575.01,686.94,5093.85,3448594.53
2018-01-07,ZECUSD,657.5,799.01,648.64,751.48,5170.69,3720379.26
2018-01-06,ZECUSD,543.78,663.75,523.3,657.5,6102.45,3612389.49
2018-01-05,ZECUSD,546.69,555,520,543.78,5950.56,3195346.36
2018-01-04,ZECUSD,559.94,562.91,509.2,546.69,5233.07,2796549.86
2018-01-03,ZECUSD,545.39,568,530.79,559.94,4604.8,2528776.02
2018-01-02,ZECUSD,514.06,567.99,514.06,545.39,5408.52,2943728.32
2018-01-01,ZECUSD,478.04,553.37,459.18,514.06,6728.19,3363368.45
2017-12-31,ZECUSD,444.49,487,437.5,478.04,5192.82,2400859.7
2017-12-30,ZECUSD,516.1,518.23,415.17,444.49,6248.86,2838335.37
2017-12-29,ZECUSD,480.53,550.64,462.58,516.1,5746.53,2829814.36
2017-12-28,ZECUSD,516.62,524.99,448.74,480.53,5801.21,2766687.62
2017-12-27,ZECUSD,545,560,500,516.62,5319.61,2846067.14
2017-12-26,ZECUSD,519.65,550,510.58,545,5280.41,2804677.07
2017-12-25,ZECUSD,522,553.5,494.14,519.65,5171.49,2699672.04
2017-12-24,ZECUSD,519.81,525.53,420.25,522,5912.12,2819102.84
2017-12-23,ZECUSD,505.5,591.96,485.09,519.81,5358.4,2925684.62
2017-12-22,ZECUSD,653.38,680.03,371,505.5,9119.08,4550615.35
2017-12-21,ZECUSD,657.22,735.11,600.01,653.38,6115.76,4076217.6
2017-12-20,ZECUSD,593.52,687.49,532.22,657.22,7942.63,4755826.05
2017-12-19,ZECUSD,583.19,620,534.8,593.52,6582.29,3762159.97
2017-12-18,ZECUSD,525.82,592.99,485,583.19,6162.89,3307034.56
2017-12-17,ZECUSD,460.39,548,455.67,525.82,7419.69,3685729.65
2017-12-16,ZECUSD,461.42,491.5,444.17,460.39,5791.29,2706274.62
2017-12-15,ZECUSD,502.3,503.81,406.85,461.42,6940.66,3102929.44
2017-12-14,ZECUSD,410.53,527.09,407.86,502.3,7044.56,3286035.63
2017-12-13,ZECUSD,359.72,430.58,345.01,410.53,10042.55,3801956.15
2017-12-12,ZECUSD,316.49,374.44,316.46,359.42,11804.39,4074899.35
2017-12-11,ZECUSD,284.38,320,280,316.49,10332.84,3168789.92
2017-12-10,ZECUSD,308.6,315.22,280.01,284.38,11559.33,3429166.13
2017-12-09,ZECUSD,317.85,340,300,308.6,10774.73,3472798.4
2017-12-08,ZECUSD,291.87,330.56,279.2,317.85,12033.54,3672570.43
