Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-06-07 06-PM,XMRUSD,166.86,167.99,166.67,167.66,400.52,67042.51
2018-06-07 05-PM,XMRUSD,166.54,167.11,166.11,166.86,1138.52,189586.25
2018-06-07 04-PM,XMRUSD,166.02,166.54,165.97,166.54,405.45,67406.17
2018-06-07 03-PM,XMRUSD,165.63,166.54,165.07,166.02,1391.26,230633.79
2018-06-07 02-PM,XMRUSD,166.32,166.41,164.9,165.63,2327.29,385194.81
2018-06-07 01-PM,XMRUSD,167.6,167.68,166.15,166.32,2207.73,368748.71
2018-06-07 12-PM,XMRUSD,167.82,167.92,167.38,167.6,501.85,84145.95
2018-06-07 11-AM,XMRUSD,167.97,168.04,167.61,167.82,1451.8,243593.78
2018-06-07 10-AM,XMRUSD,167.73,168.32,167.42,167.97,391.98,65765.19
2018-06-07 09-AM,XMRUSD,167.94,167.94,167.01,167.73,129.53,21680.71
2018-06-07 08-AM,XMRUSD,167.56,171,167.56,167.94,1984.49,336264.44
2018-06-07 07-AM,XMRUSD,167.2,167.62,166.73,167.56,342.47,57267.74
2018-06-07 06-AM,XMRUSD,169.16,169.33,167,167.2,979.02,164725.79
2018-06-07 05-AM,XMRUSD,169.17,169.39,168.35,169.16,705.22,119088.02
2018-06-07 04-AM,XMRUSD,169.12,169.59,168.41,169.17,259.42,43809.02
2018-06-07 03-AM,XMRUSD,169.34,169.83,168.47,169.12,695.01,117517.85
2018-06-07 02-AM,XMRUSD,168.25,169.52,168.25,169.34,335.24,56733.77
2018-06-07 01-AM,XMRUSD,167.52,170.59,167.38,168.25,1683.95,285806.12
2018-06-07 12-AM,XMRUSD,164.25,167.52,164.25,167.52,668.15,111245.12
2018-06-06 11-PM,XMRUSD,165.2,165.28,163.83,164.25,515.22,84756.13
2018-06-06 10-PM,XMRUSD,165.44,165.96,164.32,165.2,385.5,63625.01
2018-06-06 09-PM,XMRUSD,165.72,165.83,163.67,165.44,1531.77,252152.61
2018-06-06 08-PM,XMRUSD,162.24,165.8,161.8,165.72,1518.45,249878.7
2018-06-06 07-PM,XMRUSD,162.5,162.72,161.85,162.24,518.16,84157.15
2018-06-06 06-PM,XMRUSD,163.97,164.15,161.6,162.5,1711.16,278312.51
2018-06-06 05-PM,XMRUSD,164.59,164.9,163.5,163.97,1851.71,304157.69
2018-06-06 04-PM,XMRUSD,167.89,167.95,164.5,164.59,1693.43,280219.12
2018-06-06 03-PM,XMRUSD,166.38,168.05,166.34,167.89,726.18,121530.66
2018-06-06 02-PM,XMRUSD,166.79,167.43,166.36,166.38,381.42,63686.82
2018-06-06 01-PM,XMRUSD,167.48,167.48,166.45,166.79,374.26,62550.08
2018-06-06 12-PM,XMRUSD,164.11,167.48,163.87,167.48,2181.92,361881.49
2018-06-06 11-AM,XMRUSD,163.64,164.14,163.18,164.11,1147.0,187754.94
2018-06-06 10-AM,XMRUSD,163.07,163.83,162.57,163.64,490.85,80182.91
2018-06-06 09-AM,XMRUSD,164.23,164.49,162.84,163.07,676.26,110698.61
2018-06-06 08-AM,XMRUSD,165.99,166.03,164.13,164.23,574.27,94763.2
2018-06-06 07-AM,XMRUSD,166.04,166.57,165.3,165.99,868.84,144087.67
2018-06-06 06-AM,XMRUSD,165.75,166.26,165.38,166.04,1200.43,199273.78
2018-06-06 05-AM,XMRUSD,165.04,165.75,164.77,165.75,825.34,136298.81
2018-06-06 04-AM,XMRUSD,166.06,166.19,165.01,165.04,320.7,53019.54
2018-06-06 03-AM,XMRUSD,165.93,166.2,165.64,166.06,264.24,43843.37
2018-06-06 02-AM,XMRUSD,166.78,166.78,165.59,165.93,277.75,46134.47
2018-06-06 01-AM,XMRUSD,167.08,167.49,165.61,166.78,978.69,163105.21
2018-06-06 12-AM,XMRUSD,167.13,167.69,166.87,167.08,1087.31,181732.32
