Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume KRW
2018-12-31,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-30,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-29,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-28,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-27,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-26,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-25,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-24,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-23,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-22,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-21,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-20,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-19,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-18,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-17,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-16,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-15,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-14,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-13,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-12,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-11,ETHKRW,134200,134200,128100,128100,0.0,0.0
2018-12-10,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-09,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-08,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-07,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-06,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-05,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-04,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-03,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-02,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-12-01,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-11-30,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-11-29,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-11-28,ETHKRW,134200,134200,134200,134200,0.0,0.0
2018-11-27,ETHKRW,134200,134200,134200,134200,0.0,0.0
