Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2017-04-12,BTCUSD,1227,1242.55,1215,1215,13.09,16084.55
2017-04-11,BTCUSD,1212.01,1242.63,1201,1227,18.07,22158.31
2017-04-10,BTCUSD,1223,1231.64,1197.5,1212.01,8.82,10741.36
2017-04-09,BTCUSD,1183,1237.04,1170,1223,19.91,24152.01
2017-04-08,BTCUSD,1191,1202.64,1169.13,1183,20.61,24426.59
2017-04-07,BTCUSD,1207.35,1207.35,1178.72,1191,26.84,31973.0
2017-04-06,BTCUSD,1121,1207.35,1121,1207.35,34.81,41224.87
2017-04-05,BTCUSD,1148.98,1149.98,1111.82,1121,29.24,32986.75
2017-04-04,BTCUSD,1130.57,1161.4,1117.41,1148.98,33.04,37708.45
2017-04-03,BTCUSD,1105,1157.71,1105,1130.57,29.08,32923.0
2017-04-02,BTCUSD,1083.19,1135,1076.98,1105,43.19,47759.44
2017-04-01,BTCUSD,1082,1107.83,1073,1083.19,14.88,16101.12
2017-03-31,BTCUSD,1045.35,1082,1032.89,1082,37.9,39968.56
2017-03-30,BTCUSD,1037.56,1064.97,1025,1045.35,16.27,16995.48
2017-03-29,BTCUSD,1045.09,1055.18,1008.5,1037.56,19.57,20119.12
2017-03-28,BTCUSD,1040,1065.5,1023.36,1045.09,45.57,47649.39
2017-03-27,BTCUSD,952.07,1040,952.07,1040,59.02,58980.22
2017-03-26,BTCUSD,966.23,1005.8,952.07,952.07,70.67,68668.53
2017-03-25,BTCUSD,952.71,981.69,895.98,966.23,106.14,97677.18
2017-03-24,BTCUSD,1023.77,1040,929.51,952.71,39.65,38416.63
2017-03-23,BTCUSD,1037.49,1071.57,1023.77,1023.77,23.84,24737.56
2017-03-22,BTCUSD,1098.01,1115,994.06,1037.49,28.52,29394.15
2017-03-21,BTCUSD,1050,1126,1000,1098.01,35.9,38469.71
2017-03-20,BTCUSD,1032.88,1051.38,1004.38,1050,38.46,39672.41
2017-03-19,BTCUSD,967.32,1060,967.32,1032.88,41.8,42567.12
2017-03-18,BTCUSD,1062.48,1100.16,920,967.32,90.39,89581.17
2017-03-17,BTCUSD,1165.48,1179.8,1062.48,1062.48,60.89,67598.64
2017-03-16,BTCUSD,1258.75,1258.75,1130,1165.48,33.34,39439.85
2017-03-15,BTCUSD,1259,1259,1235,1258.75,2.66,3341.87
2017-03-14,BTCUSD,1201,1259.79,1201,1259,6.25,7765.23
2017-03-13,BTCUSD,1230,1250,1201,1201,13.89,17144.89
2017-03-12,BTCUSD,1165,1230,1162.67,1230,12.13,14508.02
2017-03-11,BTCUSD,1107.56,1199.97,1107.56,1165,13.38,15768.98
2017-03-10,BTCUSD,1184.79,1310.85,964.53,1107.56,100.61,114743.54
2017-03-09,BTCUSD,1140.13,1210,1140.13,1184.79,30.12,35295.25
