Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-08-01 04-AM,ETHMXN,4146.18,4149.04,4089,4125,23.28,96032.92
2019-08-01 03-AM,ETHMXN,4100,4149.8,4050.01,4146.18,30.58,125377.03
2019-08-01 02-AM,ETHMXN,4173.05,4173.05,4065.01,4100,6.809,27876.57
2019-08-01 01-AM,ETHMXN,4180,4180,4068.67,4173.05,9.553,39505.24
2019-08-01 12-AM,ETHMXN,4178,4198,4151.34,4180,5.727,23870.05
2019-07-31 11-PM,ETHMXN,4123.96,4197.98,4119.18,4178,14.24,59260.22
2019-07-31 10-PM,ETHMXN,4175.01,4199.99,4100.01,4123.96,101.83,425263.62
2019-07-31 09-PM,ETHMXN,4150,4179.99,4100.06,4175.01,15.64,64509.3
2019-07-31 08-PM,ETHMXN,4120.19,4150,4100.32,4150,22.27,92321.92
2019-07-31 07-PM,ETHMXN,4148.97,4150,4100.01,4120.19,32.02,132229.66
2019-07-31 06-PM,ETHMXN,4120,4148.98,4065.6,4148.97,20.61,84113.33
2019-07-31 05-PM,ETHMXN,4120.5,4144.76,4080.01,4120,22.24,91721.11
2019-07-31 04-PM,ETHMXN,4149.97,4150,4103.53,4120.5,9.714,40078.6
2019-07-31 03-PM,ETHMXN,4102.2,4149.98,4099.01,4149.97,13.2,54598.71
2019-07-31 02-PM,ETHMXN,4139.32,4150,4082.82,4102.2,40.61,167924.07
2019-07-31 01-PM,ETHMXN,4080.36,4139.32,4080.36,4139.32,11.91,48922.26
2019-07-31 12-PM,ETHMXN,4075.66,4121.59,4026.52,4080.36,18.19,74552.4
2019-07-31 11-AM,ETHMXN,4077.64,4077.64,4075.66,4075.66,0.01251,51.0
2019-07-31 10-AM,ETHMXN,4028.35,4077.76,4028.35,4077.64,2.207,9000.0
2019-07-31 09-AM,ETHMXN,4076.87,4076.87,4028.35,4028.35,0.04744,191.12
2019-07-31 08-AM,ETHMXN,4025.69,4077.64,4025.69,4076.87,0.4338,1761.87
2019-07-31 07-AM,ETHMXN,4077.76,4077.76,4025.68,4025.69,8.398,33831.96
2019-07-31 06-AM,ETHMXN,4025.49,4077.82,4017.87,4077.76,1.322,5331.43
2019-07-31 05-AM,ETHMXN,4016.1,4078.18,4016.01,4025.49,3.542,14284.65
2019-07-31 04-AM,ETHMXN,4023.44,4079.99,4001.18,4016.1,10.29,41303.07
2019-07-31 03-AM,ETHMXN,4069.33,4069.35,4006.52,4023.44,6.851,27667.44
2019-07-31 02-AM,ETHMXN,4070,4075.18,4002.19,4069.33,6.538,26406.97
2019-07-31 01-AM,ETHMXN,4026.27,4079.99,4008.82,4070,9.325,37894.99
2019-07-31 12-AM,ETHMXN,3979.4,4079.99,3979.4,4026.27,5.981,23992.15
2019-07-30 11-PM,ETHMXN,4000,4042.47,3978.89,3979.4,14.86,59344.87
2019-07-30 10-PM,ETHMXN,3976.41,4048.97,3976.41,4000,9.092,36462.24
2019-07-30 09-PM,ETHMXN,4002,4002,3975.01,3976.41,23.79,94751.46
2019-07-30 08-PM,ETHMXN,4011,4057.19,3999.99,4002,12.78,51412.83
2019-07-30 07-PM,ETHMXN,4049.99,4057.2,4011,4011,32.26,129723.74
2019-07-30 06-PM,ETHMXN,4015.54,4067.76,4015.54,4049.99,3.538,14267.26
2019-07-30 05-PM,ETHMXN,4079.99,4079.99,4013.27,4015.54,7.948,32079.38
2019-07-30 04-PM,ETHMXN,4031.23,4088.69,4011.17,4079.99,27.61,112279.47
2019-07-30 03-PM,ETHMXN,3999.99,4074.94,3999.99,4031.23,8.483,34181.47
2019-07-30 02-PM,ETHMXN,3945.09,3999.99,3945.09,3999.99,6.789,27091.04
2019-07-30 01-PM,ETHMXN,3936.25,3995.78,3936.25,3945.09,7.288,28828.32
2019-07-30 12-PM,ETHMXN,3995.78,3995.78,3936.25,3936.25,0.2223,874.88
2019-07-30 11-AM,ETHMXN,3935.03,3995.78,3935.03,3995.78,1.451,5773.82
2019-07-30 10-AM,ETHMXN,3935.03,3935.03,3935.03,3935.03,0.0,0.0
2019-07-30 09-AM,ETHMXN,3942.29,3991.53,3935.03,3935.03,0.4604,1832.33
2019-07-30 08-AM,ETHMXN,3925,3942.29,3925,3942.29,3.61,14214.48
2019-07-30 07-AM,ETHMXN,3921.09,3940.98,3921.09,3925,3.984,15635.98
2019-07-30 06-AM,ETHMXN,3989.02,3995.77,3921.09,3921.09,2.033,8030.68
2019-07-30 05-AM,ETHMXN,3997.99,3997.99,3925.69,3989.02,2.339,9336.03
2019-07-30 04-AM,ETHMXN,3998.59,3999.92,3912.09,3997.99,4.551,18009.37
2019-07-30 03-AM,ETHMXN,3900,3999.92,3900,3998.59,5.068,20091.89
2019-07-30 02-AM,ETHMXN,4004,4021.94,3900,3900,29.64,117272.89
2019-07-30 01-AM,ETHMXN,4008.5,4030,4004,4004,3.084,12383.86
2019-07-30 12-AM,ETHMXN,4007.01,4067.54,4007.01,4008.5,5.91,23888.79
2019-07-29 11-PM,ETHMXN,4087.43,4087.43,4007.01,4007.01,22.68,92044.91
2019-07-29 10-PM,ETHMXN,4016.03,4087.43,4006,4087.43,12.42,50143.1
2019-07-29 09-PM,ETHMXN,4056.1,4088.81,4016.03,4016.03,39.46,160146.6
2019-07-29 08-PM,ETHMXN,4048.24,4060,4000.03,4056.1,9.702,39205.35
2019-07-29 07-PM,ETHMXN,4035.99,4057.96,3988.13,4048.24,7.919,31816.06
2019-07-29 06-PM,ETHMXN,4000.24,4053.07,3953.16,4035.99,5.49,21890.95
2019-07-29 05-PM,ETHMXN,4009.67,4089.01,4000.01,4000.24,11.87,47794.18
2019-07-29 04-PM,ETHMXN,4000,4089.97,3953.02,4009.67,59.59,239744.05
2019-07-29 03-PM,ETHMXN,4044.51,4049.99,3984.34,4000,11.15,44565.71
2019-07-29 02-PM,ETHMXN,4030,4088.33,4001,4044.51,5.387,21753.28
2019-07-29 01-PM,ETHMXN,3968.94,4030,3968.94,4030,3.266,13038.38
2019-07-29 12-PM,ETHMXN,3960.58,4043.96,3960.58,3968.94,6.044,24324.37
2019-07-29 11-AM,ETHMXN,3962.4,3962.4,3960.58,3960.58,0.8123,3217.09
2019-07-29 10-AM,ETHMXN,3985.05,3985.05,3961.59,3962.4,1.245,4933.53
2019-07-29 09-AM,ETHMXN,4069.34,4069.34,3960.56,3985.05,2.0,7964.14
2019-07-29 08-AM,ETHMXN,4010.96,4069.34,4008,4069.34,0.5123,2054.0
2019-07-29 07-AM,ETHMXN,4070,4070,4001.01,4010.96,10.71,42913.97
2019-07-29 06-AM,ETHMXN,4060.02,4070,4050,4070,0.04455,180.57
2019-07-29 05-AM,ETHMXN,4060.04,4089.97,4060.01,4060.02,1.3,5302.79
2019-07-29 04-AM,ETHMXN,4088.68,4089.98,4054.42,4060.04,0.3586,1457.36
2019-07-29 03-AM,ETHMXN,4030.48,4089.99,4030.48,4088.68,2.908,11798.76
2019-07-29 02-AM,ETHMXN,4004.46,4089.99,4004.46,4030.48,3.484,14047.79
2019-07-29 01-AM,ETHMXN,4042.46,4089.97,3993.67,4004.46,16.4,66565.77
