Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume INR
2018-04-26,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-25,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-24,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-23,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-22,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-21,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-20,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-19,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-18,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-17,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-16,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-15,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-14,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-13,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-12,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-11,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-10,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-09,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-08,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-07,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-06,BTCINR,395283,395283,395283,395283,0.0,0.0
2018-04-05,BTCINR,465495,521270,394541,395283,71.58,32763271.43
2018-04-04,BTCINR,536450,536450,458998,465495,27.61,14098944.84
2018-04-03,BTCINR,491960,556262,489120,536450,14.89,7881600.03
2018-04-02,BTCINR,479379,541107,477521,491960,14.95,7705926.67
2018-04-01,BTCINR,483967,535003,452546,479379,8.76,4449072.44
2018-03-31,BTCINR,522604,548485,474647,483967,19.61,10259824.37
2018-03-30,BTCINR,530152,565000,456429,522604,40.61,20627073.55
2018-03-29,BTCINR,555108,570141,490798,530152,34.94,18785581.68
2018-03-28,BTCINR,561757,584549,535524,555108,20.16,11310141.08
2018-03-27,BTCINR,585356,587930,535393,561757,34.7,19558785.69
2018-03-26,BTCINR,580957,714323,541303,585356,44.15,25144800.69
2018-03-25,BTCINR,578647,595085,552397,580957,9.13,5268055.65
2018-03-24,BTCINR,599786,611526,560995,578647,9.34,5554666.88
2018-03-23,BTCINR,557551,599786,534749,599786,23.29,13343619.98
2018-03-22,BTCINR,561411,611203,546546,557551,14.09,8218810.14
2018-03-21,BTCINR,576369,618141,554004,561411,22.17,13196878.85
2018-03-20,BTCINR,608451,620150,558264,576369,12.28,7212109.9
2018-03-19,BTCINR,573111,622105,555790,608451,26.82,15962107.61
2018-03-18,BTCINR,573819,613634,507046,573111,25.05,13757329.76
2018-03-17,BTCINR,571600,592409,529284,573819,26.08,14902369.11
2018-03-16,BTCINR,597277,618196,561289,571600,26.08,15152793.43
2018-03-15,BTCINR,612515,626712,540198,597277,30.53,17604905.7
2018-03-14,BTCINR,630585,658110,582179,612515,35.62,22089873.51
2018-03-13,BTCINR,639659,672978,597325,630585,15.14,9685999.26
2018-03-12,BTCINR,658007,706736,593639,639659,36.95,23945300.06
2018-03-11,BTCINR,636841,705644,599628,658007,29.47,19188260.37
2018-03-10,BTCINR,686487,695652,599940,636841,13.66,9010814.3
2018-03-09,BTCINR,669856,687341,594487,686487,36.45,23206799.84
2018-03-08,BTCINR,692981,709010,631413,669856,25.77,17313557.53
2018-03-07,BTCINR,680553,725000,632513,692981,55.29,38023211.08
2018-03-06,BTCINR,721958,722339,665381,680553,36.89,25788321.53
2018-03-05,BTCINR,715575,737239,681242,721958,37.65,26665446.57
2018-03-04,BTCINR,723972,731139,666288,715575,12.42,8729035.76
2018-03-03,BTCINR,710943,732263,676183,723972,32.43,22756305.6
2018-03-02,BTCINR,669974,721222,659703,710943,30.44,20945196.97
2018-03-01,BTCINR,680672,712541,640123,669974,13.46,9221240.52
2018-02-28,BTCINR,684445,733354,644492,680672,36.73,25074840.04
2018-02-27,BTCINR,658169,730597,640000,684445,35.63,24271670.7
2018-02-26,BTCINR,638005,713505,611482,658169,28.93,18956255.26
2018-02-25,BTCINR,669622,683233,613965,638005,20.68,13420338.44
2018-02-24,BTCINR,701014,723593,619111,669622,26.32,17600020.69
2018-02-23,BTCINR,668184,740105,571305,701014,36.9,24930368.08
2018-02-22,BTCINR,679129,745000,625148,668184,37.68,25668543.25
2018-02-21,BTCINR,734082,736362,649920,697255,18.23,12607764.22
2018-02-20,BTCINR,744253,773678,676416,734082,26.04,19272895.01
2018-02-19,BTCINR,697095,753828,651598,744253,39.58,27935271.84
2018-02-18,BTCINR,732647,748032,639538,697095,28.55,20017070.66
2018-02-17,BTCINR,638232,735703,620000,732647,37.69,25996120.11
2018-02-16,BTCINR,616983,679280,602697,638232,39.87,25409575.48
2018-02-15,BTCINR,598216,809885,450000,616983,52.15,31000177.19
2018-02-14,BTCINR,591301,645235,561340,598216,29.08,17265112.2
2018-02-13,BTCINR,578150,625477,544409,591301,23.88,13993460.95
2018-02-12,BTCINR,554657,628661,537052,578150,20.84,12403108.78
2018-02-11,BTCINR,605074,605074,520325,554657,27.34,15363244.9
2018-02-10,BTCINR,620918,647203,450000,605074,28.29,16716096.28
2018-02-09,BTCINR,542005,627756,511627,620918,38.71,22313328.08
2018-02-08,BTCINR,574983,627290,450000,542005,48.24,27523756.87
2018-02-07,BTCINR,518337,650613,450000,574983,91.34,51832812.04
2018-02-06,BTCINR,488808,605774,403314,518337,108.68,53718420.25
2018-02-05,BTCINR,609350,630000,466456,488808,136.17,76867466.27
2018-02-04,BTCINR,633784,646936,528393,609350,34.52,21089480.79
2018-02-03,BTCINR,620652,654772,469820,633784,70.21,41892107.16
2018-02-02,BTCINR,660027,660027,445943,620652,111.16,62751553.61
2018-02-01,BTCINR,741730,747428,502558,660027,120.09,77083221.39
2018-01-31,BTCINR,731572,754930,655555,741730,44.72,31777447.02
2018-01-30,BTCINR,733964,1006482,671695,731572,65.53,49216522.49
2018-01-29,BTCINR,767850,829499,652000,733964,32.93,25647380.28
2018-01-28,BTCINR,823469,857538,762065,767850,20.21,16089740.33
2018-01-27,BTCINR,819264,841914,741578,823469,24.79,19697123.51
2018-01-26,BTCINR,808546,844716,696486,819264,25.74,20027705.45
2018-01-25,BTCINR,833196,869795,725428,808546,33.58,27140747.09
2018-01-24,BTCINR,732714,871328,630000,833196,42.84,32494637.02
2018-01-23,BTCINR,729132,876361,674150,732714,46.63,36464868.77
2018-01-22,BTCINR,771976,893133,690252,729132,62.22,50995183.56
2018-01-21,BTCINR,957137,961196,753911,771976,34.59,29925766.41
2018-01-20,BTCINR,839276,980795,796148,957137,45.34,41291067.3
2018-01-19,BTCINR,875305,928694,735045,839276,49.94,42789565.74
2018-01-18,BTCINR,732135,928663,701849,875305,70.11,60026353.65
2018-01-17,BTCINR,943489,964428,624247,732135,232.97,181594145.45
2018-01-16,BTCINR,989343,991710,763350,943489,143.55,132757822.13
2018-01-15,BTCINR,1023331,1049681,917392,989343,43.4,42668955.44
2018-01-14,BTCINR,1018602,1031510,898490,1023331,36.88,36056772.31
2018-01-13,BTCINR,947994,1056195,938725,1018602,36.82,37162167.55
2018-01-12,BTCINR,1004603,1040613,897788,947994,79.74,79020380.64
2018-01-11,BTCINR,1062192,1150243,898999,1004603,88.74,90455499.83
2018-01-10,BTCINR,1048464,1131445,964480,1062192,114.34,119712390.38
2018-01-09,BTCINR,1112159,1140234,994322,1048464,78.56,85038259.23
2018-01-08,BTCINR,1034187,1123522,987446,1112159,71.82,76937553.71
2018-01-07,BTCINR,1180853,1180853,992039,1034187,44.34,48665640.03
2018-01-06,BTCINR,1163085,1185059,1028655,1180853,48.49,54322150.48
2018-01-05,BTCINR,1063275,1197358,1018691,1163085,76.02,84277514.93
2018-01-04,BTCINR,1127406,1155934,998513,1063275,68.32,74269805.82
2018-01-03,BTCINR,1075096,1199206,1005062,1127406,79.84,87862207.98
2018-01-02,BTCINR,1056281,1196332,1021450,1075096,74.0,81817602.92
2018-01-01,BTCINR,1163256,1163853,867316,1056281,52.54,58010918.69
2017-12-31,BTCINR,1091934,1207500,988624,1163256,46.9,51805123.46
2017-12-30,BTCINR,1183893,1183937,850000,1091934,115.84,124119168.42
2017-12-29,BTCINR,1207029,1395000,1044578,1183893,85.7,100462785.63
2017-12-28,BTCINR,1190322,1254488,1036474,1207029,77.93,92009116.96
2017-12-27,BTCINR,1216166,1267941,875000,1190322,59.7,71073879.11
2017-12-26,BTCINR,1008600,1265841,700000,1216166,55.52,64397280.37
