Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume NGN
2019-06-27 02-PM,BTCNGN,4355120,4439000,4257369,4402371,6.511,28224293.79
2019-06-27 01-PM,BTCNGN,4424400,4424400,4350109,4355120,2.398,10516009.13
2019-06-27 12-PM,BTCNGN,4506999,4645003,4424400,4424400,9.376,42652101.13
2019-06-27 11-AM,BTCNGN,4422297,4550001,4383009,4506999,3.827,17054799.73
2019-06-27 10-AM,BTCNGN,4350999,4480500,4350999,4422297,10.77,47862281.04
2019-06-27 09-AM,BTCNGN,4315499,4420000,4019999,4350999,22.22,94334225.86
2019-06-27 08-AM,BTCNGN,4559699,4559700,4310000,4315499,17.33,77252895.81
2019-06-27 07-AM,BTCNGN,4555652,4641010,4555652,4559699,4.892,22469869.7
2019-06-27 06-AM,BTCNGN,4797000,4797000,4547998,4555652,8.828,40935199.83
2019-06-27 05-AM,BTCNGN,4861909,4861999,4754000,4797000,3.447,16521897.04
2019-06-27 04-AM,BTCNGN,4794997,4895000,4794997,4861909,2.642,12806208.69
2019-06-27 03-AM,BTCNGN,4833903,4880995,4754927,4794997,1.572,7525696.48
2019-06-27 02-AM,BTCNGN,4770000,4909000,4754900,4833903,2.027,9705701.83
2019-06-27 01-AM,BTCNGN,4993771,4993771,4770000,4770000,5.788,28135405.46
2019-06-27 12-AM,BTCNGN,4900001,5050000,4891100,4993771,3.993,19932887.3
2019-06-26 11-PM,BTCNGN,4705000,4900001,4704999,4900001,5.052,24117244.25
2019-06-26 10-PM,BTCNGN,4683911,4725001,4683910,4705000,4.195,19740032.24
2019-06-26 09-PM,BTCNGN,4845025,4950000,4610000,4683911,19.76,92992260.23
2019-06-26 08-PM,BTCNGN,5093897,5093898,4600101,4845025,25.76,123886639.25
2019-06-26 07-PM,BTCNGN,5095001,5095001,5009999,5093897,8.136,41301484.28
2019-06-26 06-PM,BTCNGN,4899899,5099000,4899899,5095001,9.555,47656566.64
2019-06-26 05-PM,BTCNGN,4948803,4948804,4824009,4899899,7.876,38669848.76
2019-06-26 04-PM,BTCNGN,4734399,4949800,4707790,4948803,11.41,55082943.5
