Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2019-06-28 08-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 07-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 06-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 05-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 04-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 03-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 02-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 01-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 12-PM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 11-AM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 10-AM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 09-AM,LSKUSD,1.98,1.98,1.98,1.98,0.0,0.0
2019-06-28 08-AM,LSKUSD,1.85,1.98,1.79,1.98,60.12,112.3
2019-06-28 07-AM,LSKUSD,1.85,1.85,1.85,1.85,0.0,0.0
2019-06-28 06-AM,LSKUSD,1.85,1.85,1.85,1.85,0.0,0.0
2019-06-28 05-AM,LSKUSD,1.85,1.85,1.85,1.85,0.0,0.0
2019-06-28 04-AM,LSKUSD,1.85,1.85,1.85,1.85,0.0,0.0
2019-06-28 03-AM,LSKUSD,1.85,1.85,1.85,1.85,0.0,0.0
2019-06-28 02-AM,LSKUSD,1.85,1.85,1.85,1.85,0.0,0.0
2019-06-28 01-AM,LSKUSD,1.85,1.85,1.85,1.85,0.0,0.0
2019-06-28 12-AM,LSKUSD,1.62,1.85,1.62,1.85,8.966,16.59
2019-06-27 11-PM,LSKUSD,1.62,1.62,1.62,1.62,0.0,0.0
2019-06-27 10-PM,LSKUSD,1.62,1.62,1.62,1.62,0.0,0.0
2019-06-27 09-PM,LSKUSD,1.62,1.62,1.62,1.62,0.0,0.0
2019-06-27 08-PM,LSKUSD,1.62,1.62,1.62,1.62,0.0,0.0
2019-06-27 07-PM,LSKUSD,1.62,1.62,1.62,1.62,0.0,0.0
2019-06-27 06-PM,LSKUSD,1.5,1.67,1.5,1.62,19.04,31.25
2019-06-27 05-PM,LSKUSD,1.5,1.5,1.5,1.5,0.0,0.0
2019-06-27 04-PM,LSKUSD,1.5,1.5,1.5,1.5,0.0,0.0
2019-06-27 03-PM,LSKUSD,1.5,1.5,1.5,1.5,0.0,0.0
2019-06-27 02-PM,LSKUSD,1.5,1.5,1.5,1.5,0.0,0.0
2019-06-27 01-PM,LSKUSD,1.94,1.94,1.5,1.5,100.0,164.11
2019-06-27 12-PM,LSKUSD,1.94,1.94,1.94,1.94,0.0,0.0
2019-06-27 11-AM,LSKUSD,1.94,1.94,1.94,1.94,0.0,0.0
2019-06-27 10-AM,LSKUSD,1.95,1.95,1.94,1.94,13.41,26.09
2019-06-27 09-AM,LSKUSD,1.99,1.99,1.95,1.95,32.83,64.13
2019-06-27 08-AM,LSKUSD,2.1,2.1,1.99,1.99,10.1,20.1
2019-06-27 07-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
