Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DIM,Volume USD
2018-06-06 09-AM,DIMUSD,0.0073,0.0073,0.0072,0.0072,1.0,0.0072
2018-06-06 08-AM,DIMUSD,0.0074,0.0074,0.007,0.0073,115531.0,828.97
2018-06-06 07-AM,DIMUSD,0.007,0.0075,0.007,0.0074,190314.0,1402.51
2018-06-06 06-AM,DIMUSD,0.007,0.007,0.007,0.007,23317.0,163.22
2018-06-06 05-AM,DIMUSD,0.007,0.007,0.007,0.007,0.0,0.0
2018-06-06 04-AM,DIMUSD,0.0067,0.007,0.0067,0.007,27437.0,189.78
2018-06-06 03-AM,DIMUSD,0.0074,0.0074,0.0067,0.0067,865776.0,5984.03
2018-06-06 02-AM,DIMUSD,0.0074,0.0074,0.0074,0.0074,47.0,0.3478
2018-06-06 01-AM,DIMUSD,0.0072,0.0075,0.0072,0.0074,16483.0,122.24
2018-06-06 12-AM,DIMUSD,0.0074,0.0074,0.0072,0.0072,86486.0,637.88
2018-06-05 11-PM,DIMUSD,0.0072,0.0074,0.0072,0.0074,160497.0,1177.32
2018-06-05 10-PM,DIMUSD,0.0071,0.0072,0.0071,0.0072,141626.0,1019.71
2018-06-05 09-PM,DIMUSD,0.007,0.0071,0.007,0.0071,42929.0,304.78
2018-06-05 08-PM,DIMUSD,0.007,0.0071,0.007,0.007,12.0,0.0842
2018-06-05 07-PM,DIMUSD,0.0072,0.0072,0.007,0.007,68213.0,487.95
2018-06-05 06-PM,DIMUSD,0.0069,0.0072,0.0069,0.0072,243146.0,1745.9
2018-06-05 05-PM,DIMUSD,0.0073,0.0073,0.0069,0.0069,438251.0,3093.79
2018-06-05 04-PM,DIMUSD,0.0073,0.0074,0.0073,0.0073,26005.0,191.63
2018-06-05 03-PM,DIMUSD,0.0071,0.0073,0.0071,0.0073,187147.0,1358.82
2018-06-05 02-PM,DIMUSD,0.007,0.0071,0.007,0.0071,309.0,2.16
2018-06-05 01-PM,DIMUSD,0.0071,0.0072,0.007,0.007,166498.0,1182.21
2018-06-05 12-PM,DIMUSD,0.0072,0.0072,0.0071,0.0071,34338.0,245.22
2018-06-05 11-AM,DIMUSD,0.0072,0.0073,0.0072,0.0072,7935.0,57.13
2018-06-05 10-AM,DIMUSD,0.0073,0.0073,0.0071,0.0072,1068762.0,7694.87
2018-06-05 09-AM,DIMUSD,0.0073,0.0073,0.0073,0.0073,40207.0,293.51
2018-06-05 08-AM,DIMUSD,0.0073,0.0073,0.0073,0.0073,46.0,0.3358
2018-06-05 07-AM,DIMUSD,0.0073,0.0073,0.0073,0.0073,0.0,0.0
2018-06-05 06-AM,DIMUSD,0.0073,0.0073,0.0072,0.0073,11906.0,85.91
2018-06-05 05-AM,DIMUSD,0.0072,0.0073,0.0071,0.0073,84001.0,603.19
2018-06-05 04-AM,DIMUSD,0.0073,0.0073,0.0072,0.0072,6846.0,49.32
2018-06-05 03-AM,DIMUSD,0.0072,0.0073,0.0072,0.0073,12113.0,88.33
2018-06-05 02-AM,DIMUSD,0.0072,0.0073,0.0072,0.0072,10283.0,74.05
2018-06-05 01-AM,DIMUSD,0.0074,0.0074,0.0072,0.0072,64676.0,465.69
2018-06-05 12-AM,DIMUSD,0.0072,0.0074,0.0072,0.0074,56166.0,413.87
2018-06-04 11-PM,DIMUSD,0.0072,0.0072,0.0072,0.0072,51702.0,372.25
2018-06-04 10-PM,DIMUSD,0.0073,0.0074,0.0072,0.0072,13529.0,99.45
2018-06-04 09-PM,DIMUSD,0.0073,0.0073,0.0072,0.0073,59959.0,437.2
2018-06-04 08-PM,DIMUSD,0.0072,0.0073,0.0072,0.0073,1614.0,11.78
2018-06-04 07-PM,DIMUSD,0.0071,0.0072,0.0071,0.0072,33481.0,241.06
2018-06-04 06-PM,DIMUSD,0.0072,0.0072,0.0071,0.0071,244.0,1.73
2018-06-04 05-PM,DIMUSD,0.0074,0.0074,0.0072,0.0072,99542.0,718.23
2018-06-04 04-PM,DIMUSD,0.0072,0.0074,0.0072,0.0074,1.0,0.0074
2018-06-04 03-PM,DIMUSD,0.0072,0.0072,0.0072,0.0072,2000.0,14.4
2018-06-04 02-PM,DIMUSD,0.0075,0.0075,0.0072,0.0072,273018.0,1989.83
2018-06-04 01-PM,DIMUSD,0.0073,0.0076,0.0073,0.0075,175474.0,1310.9
2018-06-04 12-PM,DIMUSD,0.0073,0.0074,0.0073,0.0073,170515.0,1246.93
2018-06-04 11-AM,DIMUSD,0.0074,0.0075,0.0073,0.0073,461597.0,3407.3
2018-06-04 10-AM,DIMUSD,0.0075,0.0076,0.0073,0.0074,114267.0,835.87
2018-06-04 09-AM,DIMUSD,0.0075,0.0075,0.0075,0.0075,89730.0,672.98
2018-06-04 08-AM,DIMUSD,0.0074,0.0075,0.0072,0.0075,315931.0,2309.61
2018-06-04 07-AM,DIMUSD,0.0076,0.0076,0.0072,0.0074,619461.0,4536.85
2018-06-04 06-AM,DIMUSD,0.0076,0.0076,0.0074,0.0076,25829.0,192.65
2018-06-04 05-AM,DIMUSD,0.0074,0.0076,0.0074,0.0076,276.0,2.1
2018-06-04 04-AM,DIMUSD,0.0076,0.0076,0.0074,0.0074,91350.0,681.53
2018-06-04 03-AM,DIMUSD,0.0075,0.0076,0.0075,0.0076,5729.0,43.46
2018-06-04 02-AM,DIMUSD,0.0075,0.0076,0.0075,0.0075,400.0,3.0
2018-06-04 01-AM,DIMUSD,0.0077,0.0078,0.0075,0.0075,31313.0,235.34
2018-06-04 12-AM,DIMUSD,0.0076,0.0077,0.0076,0.0077,338.0,2.6
2018-06-03 11-PM,DIMUSD,0.0076,0.0076,0.0076,0.0076,77.0,0.5852
2018-06-03 10-PM,DIMUSD,0.0076,0.0076,0.0076,0.0076,1000.0,7.6
2018-06-03 09-PM,DIMUSD,0.0075,0.0077,0.0075,0.0076,6138.0,47.0
2018-06-03 08-PM,DIMUSD,0.0078,0.0078,0.0075,0.0075,37295.0,279.9
2018-06-03 07-PM,DIMUSD,0.0077,0.0078,0.0075,0.0078,106723.0,809.96
2018-06-03 06-PM,DIMUSD,0.0076,0.0079,0.0076,0.0077,143734.0,1121.58
2018-06-03 05-PM,DIMUSD,0.0073,0.0076,0.0073,0.0076,118909.0,900.52
2018-06-03 04-PM,DIMUSD,0.0072,0.0075,0.0072,0.0073,1334.0,9.81
2018-06-03 03-PM,DIMUSD,0.0075,0.0075,0.0072,0.0072,36466.0,265.56
2018-06-03 02-PM,DIMUSD,0.0075,0.0075,0.0072,0.0075,168678.0,1238.06
2018-06-03 01-PM,DIMUSD,0.0075,0.0076,0.0074,0.0075,26319.0,197.4
2018-06-03 12-PM,DIMUSD,0.0074,0.0075,0.0073,0.0075,104449.0,772.99
2018-06-03 11-AM,DIMUSD,0.0075,0.0076,0.0073,0.0074,120279.0,890.83
2018-06-03 10-AM,DIMUSD,0.0076,0.0078,0.0069,0.0075,1057698.0,7733.51
2018-06-03 09-AM,DIMUSD,0.0076,0.0076,0.0076,0.0076,17790.0,135.2
2018-06-03 08-AM,DIMUSD,0.0076,0.0077,0.0071,0.0076,502831.0,3707.6
2018-06-03 07-AM,DIMUSD,0.0078,0.0078,0.0072,0.0076,301907.0,2239.15
2018-06-03 06-AM,DIMUSD,0.0076,0.0078,0.0076,0.0078,41561.0,320.77
2018-06-03 05-AM,DIMUSD,0.0078,0.0078,0.0076,0.0076,9620.0,73.11
2018-06-03 04-AM,DIMUSD,0.0076,0.0078,0.0076,0.0078,75362.0,581.15
2018-06-03 03-AM,DIMUSD,0.0075,0.0076,0.0075,0.0076,113264.0,858.33
2018-06-03 02-AM,DIMUSD,0.0075,0.0075,0.0075,0.0075,741.0,5.56
2018-06-03 01-AM,DIMUSD,0.0074,0.0077,0.0074,0.0075,32815.0,246.38
2018-06-03 12-AM,DIMUSD,0.0077,0.0077,0.0074,0.0074,61204.0,456.45
2018-06-02 11-PM,DIMUSD,0.0075,0.0077,0.0075,0.0077,14148.0,106.11
2018-06-02 10-PM,DIMUSD,0.0075,0.0076,0.0075,0.0075,66880.0,505.56
2018-06-02 09-PM,DIMUSD,0.0077,0.0077,0.0072,0.0075,655712.0,4831.71
2018-06-02 08-PM,DIMUSD,0.0078,0.0079,0.0075,0.0077,225759.0,1741.95
2018-06-02 07-PM,DIMUSD,0.0078,0.0078,0.0077,0.0078,55642.0,428.45
2018-06-02 06-PM,DIMUSD,0.008,0.0081,0.0077,0.0078,141492.0,1096.04
2018-06-02 05-PM,DIMUSD,0.0081,0.0081,0.008,0.008,3057.0,24.46
2018-06-02 04-PM,DIMUSD,0.0083,0.0083,0.0081,0.0081,549.0,4.5
2018-06-02 03-PM,DIMUSD,0.0081,0.0083,0.0078,0.0083,175925.0,1400.44
2018-06-02 02-PM,DIMUSD,0.0081,0.0082,0.008,0.0081,78890.0,644.39
2018-06-02 01-PM,DIMUSD,0.0081,0.0083,0.0079,0.0081,100676.0,818.34
2018-06-02 12-PM,DIMUSD,0.0079,0.0085,0.0079,0.0081,147023.0,1240.75
2018-06-02 11-AM,DIMUSD,0.0081,0.0085,0.0079,0.0079,1599062.0,13125.17
2018-06-02 10-AM,DIMUSD,0.0078,0.0081,0.0077,0.0081,430487.0,3416.68
2018-06-02 09-AM,DIMUSD,0.0079,0.0079,0.0077,0.0078,133698.0,1049.81
2018-06-02 08-AM,DIMUSD,0.0076,0.0079,0.0076,0.0079,1784551.0,13734.56
2018-06-02 07-AM,DIMUSD,0.0076,0.0079,0.0075,0.0076,752758.0,5849.59
2018-06-02 06-AM,DIMUSD,0.0075,0.0077,0.0071,0.0076,1150992.0,8543.26
2018-06-02 05-AM,DIMUSD,0.0074,0.0075,0.007,0.0075,136241.0,1001.51
2018-06-02 04-AM,DIMUSD,0.007,0.0074,0.007,0.0074,22601.0,165.17
2018-06-02 03-AM,DIMUSD,0.0073,0.0073,0.0069,0.007,30458.0,210.28
2018-06-02 02-AM,DIMUSD,0.0074,0.0074,0.0073,0.0073,3.0,0.0221
2018-06-02 01-AM,DIMUSD,0.0071,0.0074,0.007,0.0074,10307.0,76.14
2018-06-02 12-AM,DIMUSD,0.0072,0.0075,0.0071,0.0071,18585.0,136.17
2018-06-01 11-PM,DIMUSD,0.007,0.0072,0.0067,0.0072,161904.0,1110.03
2018-06-01 10-PM,DIMUSD,0.007,0.007,0.007,0.007,10682.0,74.77
2018-06-01 09-PM,DIMUSD,0.007,0.0073,0.0069,0.007,39498.0,274.47
