Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-03-06,DOGEBTC,4.5e-07,4.5e-07,4.2e-07,4.3e-07,110091000.0,48.04
2018-03-05,DOGEBTC,4.7e-07,4.8e-07,4.5e-07,4.5e-07,55626000.0,25.81
2018-03-04,DOGEBTC,4.6e-07,4.8e-07,4.5e-07,4.7e-07,50992000.0,24.05
2018-03-03,DOGEBTC,4.9e-07,5.1e-07,4.4e-07,4.6e-07,111134000.0,53.11
2018-03-02,DOGEBTC,5.7e-07,5.7e-07,4.8e-07,4.9e-07,143642000.0,74.7
2018-03-01,DOGEBTC,5.8e-07,5.8e-07,5.6e-07,5.7e-07,61709000.0,35.22
2018-02-28,DOGEBTC,5.9e-07,5.9e-07,5.6e-07,5.8e-07,126561000.0,73.21
2018-02-27,DOGEBTC,6.2e-07,6.2e-07,5.8e-07,5.9e-07,37258000.0,22.42
2018-02-26,DOGEBTC,6.3e-07,6.4e-07,6.1e-07,6.2e-07,130633000.0,82.57
2018-02-25,DOGEBTC,6.4e-07,6.4e-07,6.3e-07,6.3e-07,52479000.0,33.41
2018-02-24,DOGEBTC,6.5e-07,6.6e-07,6.3e-07,6.4e-07,130372000.0,84.43
2018-02-23,DOGEBTC,6.2e-07,6.7e-07,6.1e-07,6.5e-07,144789000.0,91.66
2018-02-22,DOGEBTC,6.2e-07,6.3e-07,6.1e-07,6.2e-07,84167000.0,52.17
2018-02-21,DOGEBTC,6.3e-07,6.7e-07,6.1e-07,6.2e-07,188661000.0,119.97
2018-02-20,DOGEBTC,5.9e-07,7.1e-07,5.5e-07,6.3e-07,381489000.0,237.59
2018-02-19,DOGEBTC,6.1e-07,6.3e-07,5.9e-07,5.9e-07,72536000.0,44.52
2018-02-18,DOGEBTC,6.4e-07,6.4e-07,6.1e-07,6.1e-07,182246000.0,113.65
2018-02-17,DOGEBTC,7.0e-07,7.0e-07,6.3e-07,6.4e-07,238374000.0,159.4
2018-02-16,DOGEBTC,7.2e-07,7.4e-07,6.6e-07,7.0e-07,245623000.0,170.43
2018-02-15,DOGEBTC,7.1e-07,8.0e-07,7.0e-07,7.2e-07,276339000.0,210.97
2018-02-14,DOGEBTC,6.6e-07,7.5e-07,6.5e-07,7.1e-07,225796000.0,161.12
2018-02-13,DOGEBTC,6.1e-07,6.6e-07,6.1e-07,6.6e-07,85600000.0,53.98
2018-02-12,DOGEBTC,6.1e-07,6.2e-07,6.0e-07,6.1e-07,90547000.0,55.04
2018-02-11,DOGEBTC,5.8e-07,6.2e-07,5.8e-07,6.1e-07,145997000.0,86.18
2018-02-10,DOGEBTC,5.7e-07,6.2e-07,5.7e-07,5.8e-07,113671000.0,67.35
2018-02-09,DOGEBTC,5.5e-07,5.7e-07,5.4e-07,5.7e-07,116824000.0,64.77
2018-02-08,DOGEBTC,5.6e-07,5.6e-07,5.3e-07,5.5e-07,129975000.0,71.72
2018-02-07,DOGEBTC,5.6e-07,5.7e-07,5.3e-07,5.6e-07,133131000.0,73.7
2018-02-06,DOGEBTC,5.0e-07,5.7e-07,4.8e-07,5.6e-07,276192000.0,141.64
2018-02-05,DOGEBTC,5.2e-07,5.3e-07,4.9e-07,5.0e-07,147789000.0,76.25
2018-02-04,DOGEBTC,5.6e-07,5.7e-07,5.1e-07,5.2e-07,160361000.0,86.54
2018-02-03,DOGEBTC,5.0e-07,5.8e-07,5.0e-07,5.6e-07,260397000.0,139.9
2018-02-02,DOGEBTC,5.4e-07,5.5e-07,4.0e-07,5.0e-07,495885000.0,252.55
2018-02-01,DOGEBTC,5.8e-07,5.9e-07,5.4e-07,5.4e-07,209866000.0,118.04
2018-01-31,DOGEBTC,5.9e-07,6.0e-07,5.7e-07,5.8e-07,91372000.0,53.62
2018-01-30,DOGEBTC,6.2e-07,6.2e-07,5.9e-07,5.9e-07,110370000.0,66.91
2018-01-29,DOGEBTC,6.4e-07,6.5e-07,6.1e-07,6.2e-07,117407000.0,73.49
2018-01-28,DOGEBTC,6.4e-07,6.5e-07,6.2e-07,6.4e-07,213729000.0,135.63
2018-01-27,DOGEBTC,6.5e-07,6.6e-07,6.4e-07,6.4e-07,94333000.0,61.18
2018-01-26,DOGEBTC,6.7e-07,6.9e-07,6.3e-07,6.5e-07,115864000.0,75.8
2018-01-25,DOGEBTC,6.3e-07,6.8e-07,6.2e-07,6.7e-07,44471000.0,29.3
2018-01-24,DOGEBTC,6.1e-07,6.3e-07,6.1e-07,6.3e-07,94316000.0,58.45
2018-01-23,DOGEBTC,6.2e-07,6.4e-07,6.0e-07,6.1e-07,117570000.0,72.81
2018-01-22,DOGEBTC,6.1e-07,6.4e-07,6.0e-07,6.2e-07,115698000.0,72.24
2018-01-21,DOGEBTC,6.6e-07,6.6e-07,6.1e-07,6.1e-07,126727000.0,81.43
2018-01-20,DOGEBTC,6.8e-07,7.0e-07,6.5e-07,6.6e-07,200470000.0,134.63
2018-01-19,DOGEBTC,6.9e-07,7.2e-07,6.7e-07,6.8e-07,106451000.0,73.54
2018-01-18,DOGEBTC,6.9e-07,7.4e-07,6.6e-07,6.9e-07,351348000.0,245.76
2018-01-17,DOGEBTC,5.9e-07,6.9e-07,5.3e-07,6.9e-07,530164000.0,319.4
2018-01-16,DOGEBTC,7.2e-07,7.2e-07,5.5e-07,5.9e-07,615432000.0,399.93
2018-01-15,DOGEBTC,8.3e-07,8.4e-07,7.0e-07,7.2e-07,325988000.0,248.33
2018-01-14,DOGEBTC,8.6e-07,8.7e-07,8.1e-07,8.3e-07,287990000.0,243.62
2018-01-13,DOGEBTC,9.1e-07,9.3e-07,8.5e-07,8.6e-07,218631000.0,192.72
2018-01-12,DOGEBTC,8.4e-07,9.3e-07,8.3e-07,9.1e-07,181788000.0,160.48
2018-01-11,DOGEBTC,8.7e-07,9.0e-07,8.2e-07,8.4e-07,319096000.0,272.59
2018-01-10,DOGEBTC,9.1e-07,9.2e-07,8.2e-07,8.7e-07,444805000.0,388.87
