Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume AUD
2019-06-26 03-PM,ETHAUD,493.43,497.24,491.73,495.24,73.7,36428.08
2019-06-26 02-PM,ETHAUD,498.87,498.87,493.14,493.43,228.65,113312.65
2019-06-26 01-PM,ETHAUD,497.9,498.88,492.66,498.87,201.22,99830.06
2019-06-26 12-PM,ETHAUD,483.52,498.88,483.52,497.9,424.82,210608.13
2019-06-26 11-AM,ETHAUD,482,486.89,478.03,483.52,100.56,48558.99
2019-06-26 10-AM,ETHAUD,475.3,482.29,474.14,482,73.34,35091.77
2019-06-26 09-AM,ETHAUD,476.59,479.98,472,475.3,197.3,93910.71
2019-06-26 08-AM,ETHAUD,469.8,476.59,469.8,476.59,81.44,38585.68
2019-06-26 07-AM,ETHAUD,477.05,477.05,469.8,469.8,235.04,111434.16
2019-06-26 06-AM,ETHAUD,470.01,479.24,470.01,477.05,93.64,44458.35
2019-06-26 05-AM,ETHAUD,483.18,484.38,468.5,470.01,631.67,300204.56
2019-06-26 04-AM,ETHAUD,478.65,484.99,473.37,483.18,158.44,76152.42
2019-06-26 03-AM,ETHAUD,457.35,481.05,457.19,478.65,690.65,326627.1
2019-06-26 02-AM,ETHAUD,456.3,457.73,454.06,457.35,81.16,36988.93
2019-06-26 01-AM,ETHAUD,459.29,459.97,455.85,456.3,95.26,43607.09
2019-06-26 12-AM,ETHAUD,457.22,460,456,459.29,97.63,44796.32
2019-06-25 11-PM,ETHAUD,456.32,458,452.9,457.22,96.49,43981.2
2019-06-25 10-PM,ETHAUD,451.12,456.32,450,456.32,102.42,46256.86
2019-06-25 09-PM,ETHAUD,447.23,451.13,446.99,451.12,96.73,43498.15
2019-06-25 08-PM,ETHAUD,448.91,449.01,447.23,447.23,10.21,4574.75
2019-06-25 07-PM,ETHAUD,449.05,450.37,448.91,448.91,15.45,6949.6
2019-06-25 06-PM,ETHAUD,445,450.26,445,449.05,2.34,1051.29
2019-06-25 05-PM,ETHAUD,449.72,449.72,445,445,7.208,3212.66
2019-06-25 04-PM,ETHAUD,449.05,451.11,448.77,449.72,47.61,21409.8
2019-06-25 03-PM,ETHAUD,449.76,450.93,449.05,449.05,10.76,4842.88
2019-06-25 02-PM,ETHAUD,449.65,451.13,448.37,449.76,4.451,2002.26
2019-06-25 01-PM,ETHAUD,445.46,450.46,444.79,449.65,59.25,26569.08
2019-06-25 12-PM,ETHAUD,451.12,451.13,443,445.46,321.38,143804.39
2019-06-25 11-AM,ETHAUD,454.42,455.67,451.12,451.12,143.56,65076.62
2019-06-25 10-AM,ETHAUD,453.84,454.54,452.28,454.42,77.26,35056.7
2019-06-25 09-AM,ETHAUD,450.46,453.84,450.45,453.84,19.45,8780.88
2019-06-25 08-AM,ETHAUD,453.16,453.51,450.45,450.46,56.55,25574.62
2019-06-25 07-AM,ETHAUD,451.02,454.25,450.45,453.16,182.58,82512.18
2019-06-25 06-AM,ETHAUD,451.86,453.78,450.09,451.02,73.98,33374.67
2019-06-25 05-AM,ETHAUD,450.98,453.28,450.04,451.86,104.22,47160.4
2019-06-25 04-AM,ETHAUD,449.42,452.94,448.92,450.98,83.62,37700.65
2019-06-25 03-AM,ETHAUD,450.45,450.9,446.77,449.42,158.14,70904.95
2019-06-25 02-AM,ETHAUD,449.75,452.42,449.75,450.45,57.8,26038.21
2019-06-25 01-AM,ETHAUD,447.17,449.97,446.63,449.75,62.35,27976.18
2019-06-25 12-AM,ETHAUD,446.77,452.08,446.77,447.17,71.02,31987.82
2019-06-24 11-PM,ETHAUD,445.23,447.43,445.23,446.77,20.53,9166.19
2019-06-24 10-PM,ETHAUD,445.69,449.82,444.92,445.23,29.02,12953.06
2019-06-24 09-PM,ETHAUD,442.01,445.98,441.95,445.69,25.11,11158.68
2019-06-24 08-PM,ETHAUD,444.46,444.81,442.01,442.01,2.071,921.2
2019-06-24 07-PM,ETHAUD,446.95,447.56,443.59,444.46,5.771,2567.12
2019-06-24 06-PM,ETHAUD,447.33,448.47,446.95,446.95,3.08,1379.19
2019-06-24 05-PM,ETHAUD,446.84,449.34,446.84,447.33,17.38,7785.37
2019-06-24 04-PM,ETHAUD,443.94,449.43,443.94,446.84,40.9,18331.61
2019-06-24 03-PM,ETHAUD,446.99,447,442,443.94,23.7,10504.03
2019-06-24 02-PM,ETHAUD,445.86,446.99,445.86,446.99,2.574,1150.46
2019-06-24 01-PM,ETHAUD,447.23,448.01,444.26,445.86,24.77,11041.5
2019-06-24 12-PM,ETHAUD,443.96,447.74,443.96,447.23,31.92,14271.41
2019-06-24 11-AM,ETHAUD,447.15,447.15,442.71,443.96,80.53,35780.62
2019-06-24 10-AM,ETHAUD,445.6,448.4,445.6,447.15,33.74,15089.81
2019-06-24 09-AM,ETHAUD,444.47,447,442.87,445.6,89.45,39807.21
2019-06-24 08-AM,ETHAUD,443.16,444.56,442.05,444.47,25.56,11346.05
2019-06-24 07-AM,ETHAUD,438.45,443.56,438.45,443.16,53.02,23329.92
2019-06-24 06-AM,ETHAUD,441.63,441.63,437.81,438.45,38.45,16899.68
2019-06-24 05-AM,ETHAUD,440.97,443,440.01,441.63,58.19,25718.48
2019-06-24 04-AM,ETHAUD,435.18,440.97,434.31,440.97,124.87,54370.8
2019-06-24 03-AM,ETHAUD,436.17,436.72,434.6,435.18,132.07,57503.87
2019-06-24 02-AM,ETHAUD,439.05,439.99,434.78,436.17,114.94,50307.64
2019-06-24 01-AM,ETHAUD,434.67,439.65,434.67,439.05,72.23,31677.54
2019-06-24 12-AM,ETHAUD,441.78,441.78,425,434.67,741.71,319915.48
2019-06-23 11-PM,ETHAUD,445.26,445.26,438.69,441.78,166.6,73675.1
2019-06-23 10-PM,ETHAUD,449.31,450.62,439.12,445.26,105.34,46848.39
2019-06-23 09-PM,ETHAUD,449.19,456.6,444.26,449.31,272.06,122667.99
2019-06-23 08-PM,ETHAUD,449.99,450.43,446.52,449.19,86.46,38758.31
2019-06-23 07-PM,ETHAUD,447.63,450.11,447.63,449.99,29.63,13330.01
2019-06-23 06-PM,ETHAUD,447.63,447.63,447.63,447.63,0.0,0.0
2019-06-23 05-PM,ETHAUD,446.36,447.63,446.36,447.63,2.215,991.4
2019-06-23 04-PM,ETHAUD,447.53,448.66,446.32,446.36,11.52,5166.82
2019-06-23 03-PM,ETHAUD,447.53,447.53,447.53,447.53,0.0,0.0
2019-06-23 02-PM,ETHAUD,443.29,447.85,443.29,447.53,35.99,16020.46
2019-06-23 01-PM,ETHAUD,445.28,445.28,441.18,443.29,40.92,18101.71
2019-06-23 12-PM,ETHAUD,443.36,447.23,442.59,445.28,53.43,23813.38
2019-06-23 11-AM,ETHAUD,440.68,444.92,440.68,443.36,39.69,17572.68
2019-06-23 10-AM,ETHAUD,442.2,443.91,438,440.68,75.96,33417.08
2019-06-23 09-AM,ETHAUD,443.06,445.31,440,442.2,103.59,45734.64
2019-06-23 08-AM,ETHAUD,448.61,448.94,441.77,443.06,33.57,14946.12
2019-06-23 07-AM,ETHAUD,450.51,450.51,445.8,448.61,46.55,20822.55
2019-06-23 06-AM,ETHAUD,451.8,452.65,449.89,450.51,50.0,22573.69
2019-06-23 05-AM,ETHAUD,449.96,452,447,451.8,105.27,47334.73
2019-06-23 04-AM,ETHAUD,448.34,450,446.59,449.96,19.25,8643.35
2019-06-23 03-AM,ETHAUD,445.9,449.07,444.81,448.34,33.14,14809.17
2019-06-23 02-AM,ETHAUD,450.03,451.67,445.32,445.9,139.72,62591.68
2019-06-23 01-AM,ETHAUD,448,453.08,448,450.03,142.18,64144.34
2019-06-23 12-AM,ETHAUD,441.5,450.5,440.2,448,268.51,120285.12
2019-06-22 11-PM,ETHAUD,432.11,442.65,432,441.5,69.79,30673.26
2019-06-22 10-PM,ETHAUD,432.01,432.72,430,432.11,133.61,57524.14
2019-06-22 09-PM,ETHAUD,436.6,436.6,432,432.01,108.54,46964.02
2019-06-22 08-PM,ETHAUD,437,437.06,435.33,436.6,27.57,12032.61
2019-06-22 07-PM,ETHAUD,435.39,439.53,432,437,192.43,83400.24
2019-06-22 06-PM,ETHAUD,442.99,443.41,435.39,435.39,30.69,13539.9
2019-06-22 05-PM,ETHAUD,445,446.92,442.99,442.99,15.6,6929.75
2019-06-22 04-PM,ETHAUD,443.34,445,441.12,445,68.14,30273.42
2019-06-22 03-PM,ETHAUD,444.26,445.24,440.15,443.34,117.89,52123.4
2019-06-22 02-PM,ETHAUD,452.73,453.26,433,444.26,1414.72,624148.52
2019-06-22 01-PM,ETHAUD,448.17,453.31,448.17,452.73,181.2,81706.59
2019-06-22 12-PM,ETHAUD,441.99,449.78,441.68,448.17,172.29,76884.82
2019-06-22 11-AM,ETHAUD,443.98,444.88,440.41,441.99,93.38,41258.96
2019-06-22 10-AM,ETHAUD,446.55,448.34,442.16,443.98,136.03,60752.57
2019-06-22 09-AM,ETHAUD,445.39,449,444.55,446.55,394.95,176101.72
2019-06-22 08-AM,ETHAUD,441.56,446,441.28,445.39,26.75,11874.29
2019-06-22 07-AM,ETHAUD,445,446.84,440.05,441.56,106.59,47242.9
2019-06-22 06-AM,ETHAUD,441.45,445,439.91,445,156.12,69045.96
2019-06-22 05-AM,ETHAUD,439.96,443.84,439.96,441.45,70.46,31144.4
2019-06-22 04-AM,ETHAUD,438.88,442.02,436.48,439.96,99.84,43863.97
2019-06-22 03-AM,ETHAUD,443,446.83,437.58,438.88,409.51,181060.11
2019-06-22 02-AM,ETHAUD,440.01,443.39,438,443,251.51,111130.32
2019-06-22 01-AM,ETHAUD,434.18,441.5,433.78,440.01,556.53,242777.19
2019-06-22 12-AM,ETHAUD,428.56,434.55,425.07,434.18,404.92,174485.58
2019-06-21 11-PM,ETHAUD,422.14,428.7,422.14,428.56,133.78,56988.78
2019-06-21 10-PM,ETHAUD,422.45,422.45,420.29,422.14,48.37,20397.83
2019-06-21 09-PM,ETHAUD,424,424,422.45,422.45,2.403,1015.05
2019-06-21 08-PM,ETHAUD,426.39,426.39,419.32,424,68.62,28962.12
2019-06-21 07-PM,ETHAUD,425.58,426.39,422.87,426.39,72.05,30576.78
2019-06-21 06-PM,ETHAUD,420.38,425.58,417.59,425.58,121.43,51327.23
2019-06-21 05-PM,ETHAUD,419.74,421.03,416.95,420.38,15.0,6295.78
2019-06-21 04-PM,ETHAUD,415.43,419.98,415.03,419.74,31.32,13086.4
2019-06-21 03-PM,ETHAUD,415.06,416.24,414.42,415.43,22.18,9208.49
2019-06-21 02-PM,ETHAUD,416.63,416.87,411.44,415.06,206.95,85712.94
2019-06-21 01-PM,ETHAUD,420,422.96,412.71,416.63,132.85,55373.64
2019-06-21 12-PM,ETHAUD,420.66,421.93,418.94,420,28.18,11852.27
