Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PIV,Volume XLTC
2018-05-10,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-09,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-08,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-07,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-06,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-05,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-04,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-03,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-02,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-05-01,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-30,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-29,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-28,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-27,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-26,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-25,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-24,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-23,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-22,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-21,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-20,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-19,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-18,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-17,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-16,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-15,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-14,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-13,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-12,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-11,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
