Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2019-06-28 09-AM,BTCILS,41199.84,41999.53,41199.84,41858.95,0.9267,38859.02
2019-06-28 08-AM,BTCILS,39500,41199.84,39500,41199.84,0.7838,31979.58
2019-06-28 07-AM,BTCILS,40479.99,40479.99,39500,39500,0.312,12336.37
2019-06-28 06-AM,BTCILS,37700,40479.99,37700,40479.99,2.26,90599.67
2019-06-28 05-AM,BTCILS,36666.82,37700,36666.82,37700,0.1637,6120.65
2019-06-28 04-AM,BTCILS,36666.82,36666.82,36666.82,36666.82,0.0,0.0
2019-06-28 03-AM,BTCILS,39781.11,39781.11,36666.82,36666.82,0.091,3401.38
2019-06-28 02-AM,BTCILS,39781.11,39781.11,39781.11,39781.11,0.0,0.0
2019-06-28 01-AM,BTCILS,39781.11,39781.11,39781.11,39781.11,0.0,0.0
2019-06-28 12-AM,BTCILS,38961.05,39781.11,38961.05,39781.11,0.1056,4199.44
2019-06-27 11-PM,BTCILS,38873.33,39000,38873.33,38961.05,0.2866,11170.79
2019-06-27 10-PM,BTCILS,35898.5,38873.33,35898.5,38873.33,1.49,57302.95
2019-06-27 09-PM,BTCILS,37998.95,37998.95,35898.5,35898.5,0.31,11342.84
2019-06-27 08-PM,BTCILS,37882.37,37998.95,35300.01,37998.95,2.814,103812.87
2019-06-27 07-PM,BTCILS,37842.24,38682.75,36765.61,37882.37,0.5083,19032.61
2019-06-27 06-PM,BTCILS,37200,39184.18,37200,37842.24,2.104,81398.48
2019-06-27 05-PM,BTCILS,38600,38600,35483.16,37200,7.832,289057.17
2019-06-27 04-PM,BTCILS,41450,41450,38010,38600,1.338,51899.73
2019-06-27 03-PM,BTCILS,40498.99,41450,40498.99,41450,0.8343,33789.06
2019-06-27 02-PM,BTCILS,41316.44,41316.44,39188.33,40498.99,0.9771,38504.68
2019-06-27 01-PM,BTCILS,41013,41450,39537.44,41316.44,2.565,102534.48
2019-06-27 12-PM,BTCILS,41499.9,41500,41013,41013,0.1,4103.55
2019-06-27 11-AM,BTCILS,40030.05,41499.9,40030.05,41499.9,0.03562,1477.36
2019-06-27 10-AM,BTCILS,40050,42492.8,40030.05,40030.05,3.788,154675.62
2019-06-27 09-AM,BTCILS,41810,41810,38608.6,40050,4.737,192330.27
2019-06-27 08-AM,BTCILS,42000,43505.2,41800,41810,2.585,110503.06
2019-06-27 07-AM,BTCILS,42000,42000,41299,42000,0.5703,23814.81
2019-06-27 06-AM,BTCILS,44444,45000,42000,42000,1.246,54002.63
2019-06-27 05-AM,BTCILS,45200,45200,44444,44444,0.7957,35779.56
2019-06-27 04-AM,BTCILS,45000,45450,45000,45200,0.3638,16496.14
2019-06-27 03-AM,BTCILS,43900,45000,43900,45000,0.025,1125.0
2019-06-27 02-AM,BTCILS,43900,43900,43900,43900,0.0,0.0
2019-06-27 01-AM,BTCILS,45652.35,45692.01,43900,43900,0.1248,5503.22
2019-06-27 12-AM,BTCILS,47050,47050,45652.35,45652.35,0.004863,222.0
2019-06-26 11-PM,BTCILS,40524.91,47050,40514.88,47050,1.923,85830.37
2019-06-26 10-PM,BTCILS,43599.49,43799.5,40302.66,40524.91,1.608,67650.89
2019-06-26 09-PM,BTCILS,44309.87,44309.87,40300.1,43599.49,3.398,141712.89
2019-06-26 08-PM,BTCILS,45220,46000,41000.16,44309.87,2.239,95957.41
2019-06-26 07-PM,BTCILS,47496.85,47496.85,44343.53,45220,1.506,69555.44
2019-06-26 06-PM,BTCILS,45000,47496.85,44000,47496.85,13.17,605681.95
2019-06-26 05-PM,BTCILS,44376,45000,44376,45000,3.503,156766.71
2019-06-26 04-PM,BTCILS,42800,44376,42002.01,44376,2.156,93720.48
2019-06-26 03-PM,BTCILS,44894,44894,42800,42800,1.019,43899.8
2019-06-26 02-PM,BTCILS,44894,44894,44750,44894,0.01611,722.55
2019-06-26 01-PM,BTCILS,42999,44894,42999,44894,9.165,404407.48
2019-06-26 12-PM,BTCILS,43000,43000,42500,42999,0.471,20169.35
2019-06-26 11-AM,BTCILS,43000,43000,43000,43000,0.0,0.0
2019-06-26 10-AM,BTCILS,43848.48,43848.48,41900,43000,2.935,124076.78
2019-06-26 09-AM,BTCILS,43833.07,43852,43000,43848.48,0.9245,40473.67
2019-06-26 08-AM,BTCILS,43500,43833.07,42000,43833.07,2.598,109902.34
2019-06-26 07-AM,BTCILS,43000,43980,43000,43500,1.992,86557.41
2019-06-26 06-AM,BTCILS,42000,43000,41300,43000,2.044,87140.8
2019-06-26 05-AM,BTCILS,41318.99,42160,41318.99,42000,3.878,162513.41
2019-06-26 04-AM,BTCILS,41205,41318.99,40430,41318.99,0.6286,25913.84
2019-06-26 03-AM,BTCILS,39870.22,41205,39870.22,41205,0.2272,9319.25
2019-06-26 02-AM,BTCILS,40250,40250,39870.22,39870.22,0.1999,7971.8
2019-06-26 01-AM,BTCILS,40250,40250,40250,40250,0.0,0.0
2019-06-26 12-AM,BTCILS,40000,40250,40000,40250,0.1144,4598.12
2019-06-25 11-PM,BTCILS,40000,40000,40000,40000,5.226,209055.4
2019-06-25 10-PM,BTCILS,38900,40000,38900,40000,1.861,74249.87
2019-06-25 09-PM,BTCILS,38900,38900,38900,38900,0.0,0.0
2019-06-25 08-PM,BTCILS,39989.99,39989.99,38900,38900,0.08087,3154.48
2019-06-25 07-PM,BTCILS,40000,40000,38613.56,39989.99,1.104,42784.15
2019-06-25 06-PM,BTCILS,40000,40000,40000,40000,0.0,0.0
2019-06-25 05-PM,BTCILS,40000,40000,39001.01,40000,0.3222,12732.31
2019-06-25 04-PM,BTCILS,39999.89,40000,39999.89,40000,0.07427,2970.99
2019-06-25 03-PM,BTCILS,40000,40000,39916.29,39999.89,0.2553,10207.91
2019-06-25 02-PM,BTCILS,39000,40000,38575.32,40000,1.107,44175.94
2019-06-25 01-PM,BTCILS,38999,39950,38400.32,39000,1.358,53253.58
2019-06-25 12-PM,BTCILS,38500,39699.85,38416.97,38999,9.684,382605.14
2019-06-25 11-AM,BTCILS,39500,39502,38500,38500,2.06,80689.31
2019-06-25 10-AM,BTCILS,39000,39500,39000,39500,0.325,12827.12
2019-06-25 09-AM,BTCILS,38455,39000,38400,39000,5.016,195489.62
2019-06-25 08-AM,BTCILS,38849.9,38849.9,38455,38455,1.115,42927.3
2019-06-25 07-AM,BTCILS,38490,38849.9,38130.52,38849.9,0.8806,33924.74
2019-06-25 06-AM,BTCILS,38490,38490,38490,38490,0.2748,10577.46
2019-06-25 05-AM,BTCILS,38400,38500,38400,38490,0.1844,7098.45
2019-06-25 04-AM,BTCILS,38400,38400,38400,38400,0.06833,2623.76
2019-06-25 03-AM,BTCILS,38000,38400,38000,38400,0.02094,800.0
2019-06-25 02-AM,BTCILS,38000,38000,38000,38000,0.0,0.0
2019-06-25 01-AM,BTCILS,38000,38000,38000,38000,0.0,0.0
2019-06-25 12-AM,BTCILS,38000,38000,38000,38000,0.0161,611.8
2019-06-24 11-PM,BTCILS,38000,38000,38000,38000,0.0,0.0
2019-06-24 10-PM,BTCILS,38000,38000,38000,38000,0.0,0.0
2019-06-24 09-PM,BTCILS,38399.84,38399.84,38000,38000,0.1824,6930.69
2019-06-24 08-PM,BTCILS,37300,38399.84,37300,38399.84,1.554,58999.72
2019-06-24 07-PM,BTCILS,37301,37310,36387.34,37300,4.184,153779.84
2019-06-24 06-PM,BTCILS,37999,38000,37301,37301,0.5157,19518.43
2019-06-24 05-PM,BTCILS,37895,38000,37895,37999,0.5989,22751.1
2019-06-24 04-PM,BTCILS,37361,37895,37361,37895,0.0005354,20.29
2019-06-24 03-PM,BTCILS,37999,37999,37361,37361,0.0825,3082.94
2019-06-24 02-PM,BTCILS,38099.84,38099.84,37999,37999,0.3908,14851.5
2019-06-24 01-PM,BTCILS,37350,38099.84,37350,38099.84,0.3925,14950.93
2019-06-24 12-PM,BTCILS,38299.84,38299.84,37350,37350,0.03866,1444.12
2019-06-24 11-AM,BTCILS,38499.84,38499.84,38299.84,38299.84,0.139,5323.12
2019-06-24 10-AM,BTCILS,38000,38499.84,38000,38499.84,0.9021,34517.03
2019-06-24 09-AM,BTCILS,37998.99,38000,37998.94,38000,1.474,56002.41
2019-06-24 08-AM,BTCILS,38000,38000,36561.75,37998.99,0.2038,7546.95
2019-06-24 07-AM,BTCILS,37800,38000,37000,38000,1.754,66492.85
2019-06-24 06-AM,BTCILS,37799.24,37800,37750,37800,1.472,55610.24
2019-06-24 05-AM,BTCILS,36150.81,38280.43,36150.81,37799.24,0.3054,11671.69
2019-06-24 04-AM,BTCILS,36000.81,36150.81,36000.81,36150.81,0.3017,10905.0
2019-06-24 03-AM,BTCILS,36500,36500,36000.81,36000.81,0.2,7200.16
2019-06-24 02-AM,BTCILS,36500,36500,36500,36500,0.0,0.0
2019-06-24 01-AM,BTCILS,36500,36500,36500,36500,0.0,0.0
2019-06-24 12-AM,BTCILS,38799.84,38799.84,36500,36500,0.2016,7371.66
2019-06-23 11-PM,BTCILS,38799.84,38799.84,38799.84,38799.84,0.0,0.0
2019-06-23 10-PM,BTCILS,38849.74,38849.74,38150,38799.84,0.8435,32627.19
2019-06-23 09-PM,BTCILS,38849.74,38849.74,38849.74,38849.74,0.0,0.0
2019-06-23 08-PM,BTCILS,37200,38849.74,37200,38849.74,3.318,126275.54
