Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USD
2018-11-21,NEOUSD,32,32,32,32,0.0,0.0
2018-11-20,NEOUSD,32,32,32,32,0.0,0.0
2018-11-19,NEOUSD,32,32,32,32,0.0,0.0
2018-11-18,NEOUSD,32,32,32,32,0.0,0.0
2018-11-17,NEOUSD,32,32,32,32,0.0,0.0
2018-11-16,NEOUSD,32,32,32,32,0.0,0.0
2018-11-15,NEOUSD,32,32,32,32,0.0,0.0
2018-11-14,NEOUSD,32,32,32,32,0.0,0.0
2018-11-13,NEOUSD,32,32,32,32,0.0,0.0
2018-11-12,NEOUSD,32,32,32,32,0.0,0.0
2018-11-11,NEOUSD,32,32,32,32,0.0,0.0
2018-11-10,NEOUSD,32,32,32,32,0.0,0.0
2018-11-09,NEOUSD,32,32,32,32,0.0,0.0
2018-11-08,NEOUSD,32,32,32,32,0.0,0.0
2018-11-07,NEOUSD,32,32,32,32,0.0,0.0
2018-11-06,NEOUSD,32,32,32,32,0.0,0.0
2018-11-05,NEOUSD,32,32,32,32,0.0,0.0
2018-11-04,NEOUSD,32,32,32,32,0.0,0.0
2018-11-03,NEOUSD,32,32,32,32,0.0,0.0
2018-11-02,NEOUSD,32,32,32,32,0.0,0.0
2018-11-01,NEOUSD,32,32,32,32,0.0,0.0
2018-10-31,NEOUSD,32,32,32,32,0.0,0.0
2018-10-30,NEOUSD,32,32,32,32,0.0,0.0
2018-10-29,NEOUSD,32,32,32,32,0.0,0.0
2018-10-28,NEOUSD,32,32,32,32,0.0,0.0
2018-10-27,NEOUSD,32,32,32,32,0.0,0.0
2018-10-26,NEOUSD,32,32,32,32,0.0,0.0
2018-10-25,NEOUSD,32,32,32,32,0.0,0.0
2018-10-24,NEOUSD,32,32,32,32,0.0,0.0
2018-10-23,NEOUSD,32,32,32,32,0.0,0.0
2018-10-22,NEOUSD,32,32,32,32,0.0,0.0
2018-10-21,NEOUSD,32,32,32,32,0.0,0.0
2018-10-20,NEOUSD,32,32,32,32,0.0,0.0
2018-10-19,NEOUSD,32,32,32,32,0.0,0.0
2018-10-18,NEOUSD,32,32,32,32,0.0,0.0
2018-10-17,NEOUSD,32,32,32,32,0.0,0.0
2018-10-16,NEOUSD,32,32.13,32,32.13,0.0,0.0
2018-10-15,NEOUSD,32,32,32,32,0.0,0.0
2018-10-14,NEOUSD,32,32,32,32,0.0,0.0
2018-10-13,NEOUSD,32,32,32,32,0.0,0.0
2018-10-12,NEOUSD,32,32,32,32,0.0,0.0
2018-10-11,NEOUSD,32,32,32,32,0.0,0.0
2018-10-10,NEOUSD,32,32,32,32,0.0,0.0
2018-10-09,NEOUSD,32,32,32,32,0.0,0.0
2018-10-08,NEOUSD,32,32,32,32,0.0,0.0
2018-10-07,NEOUSD,32,32,32,32,0.0,0.0
2018-10-06,NEOUSD,32,32,32,32,0.0,0.0
2018-10-05,NEOUSD,32,32,32,32,0.0,0.0
2018-10-04,NEOUSD,32,32,32,32,0.0,0.0
2018-10-03,NEOUSD,32,32,32,32,0.0,0.0
2018-10-02,NEOUSD,32,32,32,32,0.0,0.0
2018-10-01,NEOUSD,32,32,32,32,0.0,0.0
2018-09-30,NEOUSD,32,32,32,32,0.0,0.0
2018-09-29,NEOUSD,32,32,32,32,0.0,0.0
2018-09-28,NEOUSD,32,32,32,32,0.0,0.0
2018-09-27,NEOUSD,32,32,32,32,0.0,0.0
2018-09-26,NEOUSD,32,32,32,32,0.0,0.0
2018-09-25,NEOUSD,32,32,32,32,0.0,0.0
2018-09-24,NEOUSD,32,32,32,32,0.0,0.0
2018-09-23,NEOUSD,32,32,32,32,0.0,0.0
2018-09-22,NEOUSD,32,32,32,32,0.0,0.0
2018-09-21,NEOUSD,32,32,32,32,0.0,0.0
2018-09-20,NEOUSD,32,32,32,32,0.0,0.0
2018-09-19,NEOUSD,32,32,32,32,0.0,0.0
2018-09-18,NEOUSD,32,32,32,32,0.0,0.0
2018-09-17,NEOUSD,32,32,32,32,0.0,0.0
2018-09-16,NEOUSD,32,32,32,32,0.0,0.0
2018-09-15,NEOUSD,32,32,32,32,0.0,0.0
2018-09-14,NEOUSD,32,32,32,32,0.0,0.0
2018-09-13,NEOUSD,32,32,32,32,0.0,0.0
2018-09-12,NEOUSD,32,32,32,32,0.0,0.0
2018-09-11,NEOUSD,32,32,32,32,0.0,0.0
2018-09-10,NEOUSD,32,32,32,32,0.0,0.0
2018-09-09,NEOUSD,32,32,32,32,0.0,0.0
2018-09-08,NEOUSD,32,32,32,32,0.0,0.0
2018-09-07,NEOUSD,32,32,32,32,0.0,0.0
2018-09-06,NEOUSD,32,32,32,32,0.0,0.0
2018-09-05,NEOUSD,32,32,32,32,0.0,0.0
2018-09-04,NEOUSD,32,32,32,32,0.0,0.0
2018-09-03,NEOUSD,32,32,32,32,0.0,0.0
2018-09-02,NEOUSD,32,32,32,32,0.0,0.0
2018-09-01,NEOUSD,32,32,32,32,0.0,0.0
2018-08-31,NEOUSD,32,32,32,32,0.0,0.0
2018-08-30,NEOUSD,32,32,32,32,0.0,0.0
2018-08-29,NEOUSD,32,32,32,32,0.0,0.0
2018-08-28,NEOUSD,32,32,32,32,0.0,0.0
2018-08-27,NEOUSD,32,32,32,32,0.0,0.0
2018-08-26,NEOUSD,32,32,32,32,0.0,0.0
2018-08-25,NEOUSD,32,32,32,32,0.0,0.0
2018-08-24,NEOUSD,32,32,32,32,0.0,0.0
2018-08-23,NEOUSD,32,32,32,32,0.0,0.0
2018-08-22,NEOUSD,32,32,32,32,0.0,0.0
2018-08-21,NEOUSD,32,32,32,32,0.0,0.0
2018-08-20,NEOUSD,32,32,32,32,0.0,0.0
2018-08-19,NEOUSD,32,32,32,32,0.0,0.0
2018-08-18,NEOUSD,32,32,32,32,0.0,0.0
2018-08-17,NEOUSD,32,32,32,32,0.0,0.0
2018-08-16,NEOUSD,32,32,32,32,0.0,0.0
2018-08-15,NEOUSD,32,32,32,32,0.0,0.0
2018-08-14,NEOUSD,32,32,32,32,0.0,0.0
2018-08-13,NEOUSD,32,32,32,32,0.0,0.0
2018-08-12,NEOUSD,32,32,32,32,0.0,0.0
2018-08-11,NEOUSD,32,32,32,32,0.0,0.0
2018-08-10,NEOUSD,32,32,32,32,0.0,0.0
2018-08-09,NEOUSD,32,32,32,32,0.0,0.0
2018-08-08,NEOUSD,32,32,32,32,0.0,0.0
2018-08-07,NEOUSD,32,32,32,32,0.0,0.0
2018-08-06,NEOUSD,32,32,32,32,0.0,0.0
2018-08-05,NEOUSD,32,32,32,32,0.0,0.0
2018-08-04,NEOUSD,32,32,32,32,0.0,0.0
2018-08-03,NEOUSD,32,32,32,32,0.0,0.0
2018-08-02,NEOUSD,32,32,32,32,0.0,0.0
2018-08-01,NEOUSD,32,32,32,32,0.0,0.0
2018-07-31,NEOUSD,32,32,32,32,0.0,0.0
2018-07-30,NEOUSD,32,32,32,32,0.0,0.0
2018-07-29,NEOUSD,32,32,32,32,0.0,0.0
2018-07-28,NEOUSD,32,32,32,32,0.0,0.0
2018-07-27,NEOUSD,32,32,32,32,0.0,0.0
2018-07-26,NEOUSD,32,32,32,32,0.0,0.0
2018-07-25,NEOUSD,32,32,32,32,0.0,0.0
2018-07-24,NEOUSD,32,32,32,32,0.0,0.0
2018-07-23,NEOUSD,32,32,32,32,0.0,0.0
2018-07-22,NEOUSD,32,32,32,32,0.0,0.0
2018-07-21,NEOUSD,32,32,32,32,0.0,0.0
2018-07-20,NEOUSD,32,32,32,32,0.0,0.0
2018-07-19,NEOUSD,32,32,32,32,0.0,0.0
2018-07-18,NEOUSD,32,32,32,32,0.0,0.0
2018-07-17,NEOUSD,32,32,32,32,0.0,0.0
2018-07-16,NEOUSD,32,32,32,32,0.0,0.0
2018-07-15,NEOUSD,32,32,32,32,0.0,0.0
2018-07-14,NEOUSD,32,32,32,32,0.0,0.0
2018-07-13,NEOUSD,32,32,32,32,0.0,0.0
2018-07-12,NEOUSD,33.82,33.82,31.35,32,3425.89,110044.94
2018-07-11,NEOUSD,33.3,34.6,32,33.82,17332.42,581614.73
2018-07-10,NEOUSD,36.28,36.68,32.84,33.3,26610.67,918920.56
2018-07-09,NEOUSD,39.14,39.18,36.18,36.28,18021.65,683161.34
2018-07-08,NEOUSD,38.7,40.9,38.51,39.14,17772.28,702430.35
2018-07-07,NEOUSD,37.79,38.7,36.16,38.7,7753.06,289266.84
2018-07-06,NEOUSD,40.54,40.54,36.97,37.79,24443.89,927341.06
2018-07-05,NEOUSD,40.5,43.13,39.15,40.54,30425.89,1253553.25
2018-07-04,NEOUSD,35.96,42.56,34.92,40.5,42664.31,1670644.45
2018-07-03,NEOUSD,36.27,38.5,35.35,35.96,18513.71,685715.13
2018-07-02,NEOUSD,31.5,37.25,31.13,36.27,24137.1,837005.36
2018-07-01,NEOUSD,30.9,31.6,29.8,31.5,9125.89,279410.23
2018-06-30,NEOUSD,29.36,32.07,29.36,30.9,15807.48,485571.51
2018-06-29,NEOUSD,28.28,30.17,27.1,29.36,15378.05,431426.45
2018-06-28,NEOUSD,30.5,30.6,28.1,28.28,8307.6,245092.24
2018-06-27,NEOUSD,30,30.5,29.32,30.5,9173.5,273981.27
2018-06-26,NEOUSD,31.74,31.77,30,30,6461.89,199465.87
2018-06-25,NEOUSD,30.92,32.9,30.5,31.74,8677.56,276444.48
2018-06-24,NEOUSD,34.05,34.08,28.82,30.92,22058.16,680945.19
2018-06-23,NEOUSD,33.04,34.8,32.8,34.05,6513.39,220322.14
2018-06-22,NEOUSD,37.92,37.92,32,33.04,19119.45,657505.45
2018-06-21,NEOUSD,39.07,39.5,37.2,37.92,6269.75,239263.22
2018-06-20,NEOUSD,40,40,37.53,39.07,6985.25,268560.87
2018-06-19,NEOUSD,39.7,41.29,38.97,40,6998.35,278952.29
2018-06-18,NEOUSD,38.86,40.64,37,39.7,6159.99,239445.26
2018-06-17,NEOUSD,38.1,39.68,37.59,38.86,3596.4,138755.55
2018-06-16,NEOUSD,38.17,38.48,36.43,38.1,6349.17,239409.8
2018-06-15,NEOUSD,40.9,41.01,37.67,38.17,6679.84,262843.22
2018-06-14,NEOUSD,38.14,41.72,37.71,40.9,13558.08,541846.73
2018-06-13,NEOUSD,41.49,41.6,35.9,38.14,21581.03,833814.59
2018-06-12,NEOUSD,45.91,46.44,40.49,41.49,13006.43,569915.23
2018-06-11,NEOUSD,45.12,45.91,42.57,45.91,11075.81,488227.4
