Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2018-02-02,DASHBTC,0.06765,0.06807,0.05638,0.06673,32225.39,2057.04
2018-02-01,DASHBTC,0.06848,0.06929,0.06563,0.06765,32723.72,2220.01
2018-01-31,DASHBTC,0.06707,0.06891,0.06637,0.06848,29471.07,1996.09
2018-01-30,DASHBTC,0.06832,0.07007,0.06704,0.06707,32841.31,2261.11
2018-01-29,DASHBTC,0.06919,0.06938,0.06653,0.06832,37435.8,2549.46
2018-01-28,DASHBTC,0.06763,0.06934,0.06553,0.06919,26417.06,1787.54
2018-01-27,DASHBTC,0.0703,0.07053,0.0669,0.06763,34907.56,2391.57
2018-01-26,DASHBTC,0.07075,0.07187,0.06937,0.0703,28764.9,2032.43
2018-01-25,DASHBTC,0.06886,0.07175,0.06877,0.07075,16038.45,1133.69
2018-01-24,DASHBTC,0.06994,0.07001,0.0677,0.06886,32403.03,2234.82
2018-01-23,DASHBTC,0.07012,0.07214,0.06855,0.06994,28958.99,2030.28
2018-01-22,DASHBTC,0.07079,0.07308,0.06928,0.07012,32714.17,2323.39
2018-01-21,DASHBTC,0.07236,0.07346,0.07015,0.07079,28621.88,2040.43
2018-01-20,DASHBTC,0.07337,0.07599,0.07147,0.07236,34608.41,2531.69
2018-01-19,DASHBTC,0.07397,0.075,0.07164,0.07337,31672.08,2316.95
2018-01-18,DASHBTC,0.07178,0.07681,0.06858,0.07397,27218.32,1991.55
2018-01-17,DASHBTC,0.06668,0.07228,0.06422,0.07178,31538.58,2172.15
2018-01-16,DASHBTC,0.06846,0.07287,0.06163,0.06668,38201.49,2589.85
2018-01-15,DASHBTC,0.07336,0.0747,0.06835,0.06846,26983.82,1937.0
2018-01-14,DASHBTC,0.07708,0.07747,0.07321,0.07336,27001.84,2040.61
2018-01-13,DASHBTC,0.07542,0.07829,0.07542,0.07708,27495.48,2112.42
2018-01-12,DASHBTC,0.07483,0.07753,0.07371,0.07542,26938.6,2032.41
2018-01-11,DASHBTC,0.07379,0.0763,0.07336,0.07483,29130.03,2183.06
