Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-29 08-PM,BTCEUR,5682.16,5695,5679.32,5683.02,13.55,77113.67
2018-09-29 07-PM,BTCEUR,5679.95,5685.99,5675.08,5682.16,9.16,52047.21
2018-09-29 06-PM,BTCEUR,5675,5689.16,5665.93,5679.95,13.82,78479.7
2018-09-29 05-PM,BTCEUR,5657.48,5675,5650.9,5675,8.66,49066.68
2018-09-29 04-PM,BTCEUR,5679.66,5679.66,5650.71,5657.48,21.11,119688.17
2018-09-29 03-PM,BTCEUR,5651.78,5680.11,5651.16,5679.66,19.45,110349.08
2018-09-29 02-PM,BTCEUR,5656.93,5664.72,5642,5651.78,19.07,107751.21
2018-09-29 01-PM,BTCEUR,5666.73,5684.04,5650,5656.93,31.91,180894.97
2018-09-29 12-PM,BTCEUR,5680.32,5691.87,5657.3,5666.73,30.62,173640.88
2018-09-29 11-AM,BTCEUR,5654.01,5692.19,5650,5680.32,47.73,270594.02
2018-09-29 10-AM,BTCEUR,5645.92,5662.43,5645.91,5654.01,29.7,167945.29
2018-09-29 09-AM,BTCEUR,5638.01,5670,5638,5645.92,44.43,251211.93
2018-09-29 08-AM,BTCEUR,5644.98,5677.79,5633,5638.01,67.88,383758.53
2018-09-29 07-AM,BTCEUR,5624.19,5644.98,5616.86,5644.98,18.98,106888.62
2018-09-29 06-AM,BTCEUR,5621.01,5624.2,5591.72,5624.19,33.14,185754.53
2018-09-29 05-AM,BTCEUR,5614.49,5624,5608,5621.01,12.93,72601.94
2018-09-29 04-AM,BTCEUR,5605.08,5617.44,5601.01,5614.49,9.72,54553.07
2018-09-29 03-AM,BTCEUR,5622.08,5623.21,5605.01,5605.08,8.65,48558.92
2018-09-29 02-AM,BTCEUR,5605.58,5633.75,5603.31,5622.08,7.59,42691.57
2018-09-29 01-AM,BTCEUR,5712.63,5712.66,5603.39,5605.58,72.81,410800.61
2018-09-29 12-AM,BTCEUR,5718.55,5718.55,5689.41,5712.63,10.68,60887.85
2018-09-28 11-PM,BTCEUR,5718.01,5720,5718,5718.55,6.17,35262.91
2018-09-28 10-PM,BTCEUR,5731.8,5731.96,5714.74,5718.01,18.67,106885.9
2018-09-28 09-PM,BTCEUR,5734.69,5735,5705.52,5731.8,22.97,131447.25
2018-09-28 08-PM,BTCEUR,5757,5757,5716.01,5734.69,15.67,90025.32
2018-09-28 07-PM,BTCEUR,5731.88,5758.54,5650.01,5757,109.82,625788.76
2018-09-28 06-PM,BTCEUR,5733.01,5739.58,5721,5731.88,15.37,88078.0
2018-09-28 05-PM,BTCEUR,5739.89,5740.5,5729.15,5733.01,21.4,122818.65
2018-09-28 04-PM,BTCEUR,5740,5740,5715.01,5739.89,33.74,193302.97
2018-09-28 03-PM,BTCEUR,5730.76,5754.91,5702.36,5740,68.21,391039.09
2018-09-28 02-PM,BTCEUR,5740.04,5758.62,5730,5730.76,46.21,265481.98
2018-09-28 01-PM,BTCEUR,5695.69,5748.11,5680,5740.04,65.44,374196.38
2018-09-28 12-PM,BTCEUR,5747,5750,5691.83,5695.69,55.47,317182.82
