Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DCN,Volume LTC
2019-06-29 12-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 11-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 10-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 09-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 08-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 07-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 06-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 05-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 04-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 03-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 02-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 01-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-29 12-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 11-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 10-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 09-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 08-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 07-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 06-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 05-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 04-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 03-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 02-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 01-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 12-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 11-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 10-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 09-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 08-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 07-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 06-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 05-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 04-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 03-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 02-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 01-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-28 12-AM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 11-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 10-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 09-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 08-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 07-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 06-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 05-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 04-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 03-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 02-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 01-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
2019-06-27 12-PM,DCNLTC,4.68e-06,4.68e-06,4.68e-06,4.68e-06,0.0,0.0
