Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-04-27,ETHEUR,150.24,153.78,148.81,152.77,87.33,13182.61
2019-04-26,ETHEUR,147.57,150.88,144.96,150.24,356.1,52669.76
2019-04-25,ETHEUR,157.96,159.31,146.88,147.57,228.38,35034.61
2019-04-24,ETHEUR,161.56,162.97,155,157.96,1103.91,176325.54
2019-04-23,ETHEUR,158.56,165,158.25,161.56,240.46,38952.96
2019-04-22,ETHEUR,155.86,159.36,155.29,158.56,118.83,18665.99
2019-04-21,ETHEUR,158.44,159.81,154,155.86,152.07,23809.57
2019-04-20,ETHEUR,159.94,162.97,157.97,158.44,111.34,17816.54
2019-04-19,ETHEUR,160.38,161.15,158.01,159.94,108.1,17214.07
2019-04-18,ETHEUR,154.57,163.88,154.47,160.38,208.47,33376.51
2019-04-17,ETHEUR,155.41,158,153.51,154.57,121.6,18858.44
2019-04-16,ETHEUR,149.76,159.32,149.3,155.41,240.36,36840.88
2019-04-15,ETHEUR,156.77,158.03,148,149.76,403.19,62139.61
2019-04-14,ETHEUR,153.65,158.6,151.99,156.77,396.37,60939.51
2019-04-13,ETHEUR,155.22,156.03,152.24,153.65,1111.47,172123.09
2019-04-12,ETHEUR,155.75,157.11,152.37,155.22,161.04,24907.03
2019-04-11,ETHEUR,163.65,164.42,153.27,155.75,347.53,55185.5
2019-04-10,ETHEUR,161.92,170.9,158.64,163.65,260.32,42810.47
2019-04-09,ETHEUR,165.83,165.83,161,161.92,147.68,24048.8
2019-04-08,ETHEUR,159.94,170,159.91,165.83,213.18,35187.3
2019-04-07,ETHEUR,151.33,161.15,151.08,159.94,195.61,30466.1
2019-04-06,ETHEUR,151.52,157.59,147.94,151.33,231.48,35100.03
2019-04-05,ETHEUR,142.03,153.24,142.03,151.52,199.61,29923.94
2019-04-04,ETHEUR,145.72,149.51,141,142.03,216.92,31547.2
2019-04-03,ETHEUR,149.31,162.51,139.85,145.72,556.67,84864.84
2019-04-02,ETHEUR,129.32,150.94,129.03,149.31,489.88,68413.41
2019-04-01,ETHEUR,129.38,130.45,127.56,129.32,141.6,18269.44
2019-03-19,ETHEUR,127.64,128.85,127.42,128.55,9.84,1264.27
2019-03-18,ETHEUR,129.48,135.55,127.54,127.64,268.67,34941.66
2019-03-17,ETHEUR,132.28,132.35,128.5,129.48,151.42,19620.46
2019-03-16,ETHEUR,127.18,134,126.89,132.28,228.36,29939.06
2019-03-15,ETHEUR,122.33,128.13,122.32,127.18,158.28,19863.27
2019-03-14,ETHEUR,121.37,125.3,120.94,122.33,154.85,18984.32
2019-03-13,ETHEUR,122.42,126.36,120.67,121.37,181.9,22200.2
2019-03-12,ETHEUR,121.02,123.29,118.7,122.42,170.12,20537.18
2019-03-11,ETHEUR,125.1,125.1,120.66,121.02,599.81,72941.03
2019-03-10,ETHEUR,125.74,125.9,123.09,125.1,143.07,17746.88
2019-03-09,ETHEUR,122,126.71,121.7,125.74,138.84,17335.01
2019-03-08,ETHEUR,126.04,128.23,120.53,122,226.68,28046.27
2019-03-07,ETHEUR,125.04,127.59,123.24,126.04,174.15,21797.11
2019-03-06,ETHEUR,124.58,127.78,122.86,125.04,216.44,27085.91
2019-03-05,ETHEUR,116.65,126.36,115.93,124.58,188.91,22831.62
2019-03-04,ETHEUR,119.46,119.48,113.52,116.65,164.6,19103.33
2019-03-03,ETHEUR,121.21,123.62,118.67,119.46,181.34,22022.05
2019-03-02,ETHEUR,123.99,124.65,120,121.21,152.91,18694.84
2019-03-01,ETHEUR,123.71,126.05,123.39,123.99,125.56,15598.37
2019-02-28,ETHEUR,122.48,127.3,122.31,123.71,196.63,24393.98
2019-02-27,ETHEUR,124.55,128.05,118.11,122.48,294.27,36345.57
2019-02-26,ETHEUR,126.71,127.42,123.5,124.55,215.92,27074.61
2019-02-25,ETHEUR,124.42,130.67,123.81,126.71,395.79,50114.6
2019-02-24,ETHEUR,144.41,151.96,124.42,124.42,1460.71,211141.0
2019-02-23,ETHEUR,135.69,145.42,134,144.41,229.9,32286.86
2019-02-22,ETHEUR,133.81,137.31,131.95,135.69,478.68,64377.63
2019-02-21,ETHEUR,135.94,137.03,131.43,133.81,206.2,27508.58
2019-02-20,ETHEUR,131,136.59,127.72,135.94,622.05,81614.34
2019-02-19,ETHEUR,131.08,136,130.31,131,594.25,78534.8
2019-02-18,ETHEUR,121.48,134.37,120.79,131.08,1027.72,132470.36
2019-02-17,ETHEUR,112.92,122.53,112.43,121.48,191.64,22246.81
2019-02-16,ETHEUR,112.25,114.17,111.88,112.92,169.78,19119.82
2019-02-15,ETHEUR,112.16,114.57,111.38,112.25,301.44,33879.09
2019-02-14,ETHEUR,113.62,115.32,111.38,112.16,818.43,92097.7
2019-02-13,ETHEUR,113.05,116.74,112.44,113.62,140.01,15989.14
2019-02-12,ETHEUR,112,115.86,111,113.05,340.29,38000.13
2019-02-11,ETHEUR,114,117.49,109.33,112,215.16,24142.15
2019-02-10,ETHEUR,108.63,114.29,106.24,114,214.12,23145.14
2019-02-09,ETHEUR,108.96,110.31,107.29,108.63,199.08,21598.9
2019-02-08,ETHEUR,94.6,111.74,94.6,108.96,357.48,37733.73
2019-02-07,ETHEUR,95.92,98.52,94.14,94.6,499.2,47794.18
