Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume KRW
2018-11-23,LTCKRW,36400,38300,35250,37150,9794.67,356500093.3
2018-11-22,LTCKRW,39950,40390,36010,36400,10898.05,417441616.57
2018-11-21,LTCKRW,38600,40790,36500,39950,12194.6,472038019.45
2018-11-20,LTCKRW,42410,44100,35100,38600,37989.33,1497121873.71
2018-11-19,LTCKRW,48250,48550,41000,42410,60762.77,2631991170.64
2018-11-18,LTCKRW,48130,49400,48040,48250,6507.53,317380395.56
2018-11-17,LTCKRW,49200,49200,47700,48130,4907.64,236566410.7
2018-11-16,LTCKRW,50800,51600,48400,49200,21698.76,1073341452.5
2018-11-15,LTCKRW,51700,52300,47400,50800,31572.61,1583065042.31
2018-11-14,LTCKRW,56550,57600,49100,51700,50890.61,2643007153.98
2018-11-13,LTCKRW,57600,57950,55900,56550,14019.36,801235124.52
2018-11-12,LTCKRW,58100,58450,56800,57600,13741.7,790975070.82
2018-11-11,LTCKRW,58900,59350,56500,58100,500965.22,29498554405.6
2018-11-10,LTCKRW,59000,59550,58650,58900,3011094.01,178243611654.56
2018-11-09,LTCKRW,59250,59650,58300,59000,3443986.75,203185446254.12
2018-11-08,LTCKRW,60300,61000,59050,59250,1920002.5,115159982594.08
2018-11-07,LTCKRW,62100,63100,59850,60300,1671880.0,101957379578.37
2018-11-06,LTCKRW,59800,62900,59800,62100,1398061.34,85807030054.28
2018-11-05,LTCKRW,60550,62000,59300,59800,2656357.5,159425629793.98
2018-11-04,LTCKRW,57150,62800,56900,60550,1800085.08,105411883917.47
2018-11-03,LTCKRW,57850,57950,56700,57150,3049002.23,174820562696.76
2018-11-02,LTCKRW,56800,58350,56650,57850,2862977.62,164533933332.0
2018-11-01,LTCKRW,56300,57350,55800,56800,3254035.19,183732284416.71
2018-10-31,LTCKRW,55750,56900,54450,56300,2581315.14,143925326243.53
2018-10-30,LTCKRW,54900,56200,54900,55750,3056861.45,169901519872.92
2018-10-29,LTCKRW,58100,58500,53700,54900,2784832.59,159009505541.08
2018-10-28,LTCKRW,58400,58800,57900,58100,699818.56,40861462549.97
2018-10-27,LTCKRW,58600,59000,58000,58400,1533163.08,89778597202.01
2018-10-26,LTCKRW,58700,59300,58000,58600,1616976.77,94874630292.98
2018-10-25,LTCKRW,58800,59200,58000,58700,1893715.48,111212520320.28
2018-10-24,LTCKRW,59300,59600,58700,58800,1113749.41,65798891477.27
2018-10-23,LTCKRW,59000,59900,58600,59300,1156316.79,68362032935.44
2018-10-22,LTCKRW,59500,59800,58600,59000,861046.29,50905068338.63
2018-10-21,LTCKRW,60300,60600,59400,59500,997614.53,59922126659.1
2018-10-20,LTCKRW,60000,60400,59200,60300,1140809.55,68373240284.1
2018-10-19,LTCKRW,59500,60600,58900,60000,551986.8,32944762258.05
2018-10-18,LTCKRW,60400,60700,58900,59500,960861.7,57378101554.83
2018-10-17,LTCKRW,60300,60900,59400,60400,274317.85,16525993118.44
2018-10-16,LTCKRW,61800,61800,61400,61400,0.0,0.0
2018-10-15,LTCKRW,59900,65800,59000,61800,715407.72,43598247456.45
2018-10-14,LTCKRW,61200,62000,59300,59900,510828.38,31293008659.12
2018-10-13,LTCKRW,61500,62600,60800,61200,492681.54,30160206599.11
2018-10-12,LTCKRW,58700,62500,58600,61500,342920.25,20862162128.94
2018-10-11,LTCKRW,66100,66100,58200,58700,544632.73,33101901510.08
2018-10-10,LTCKRW,66900,66900,64900,66100,581285.92,38168185222.51
2018-10-09,LTCKRW,67400,67700,66300,66900,160408.77,10685147873.03
2018-10-08,LTCKRW,66100,68000,65200,67400,259735.73,17392822627.96
2018-10-07,LTCKRW,65800,66500,64700,66100,75936.4,4977229827.32
2018-10-06,LTCKRW,66300,67200,64500,65800,63410.21,4216156927.22
2018-10-05,LTCKRW,66500,67500,65100,66300,70461.71,4670090883.7
2018-10-04,LTCKRW,65200,67800,65000,66500,70067.85,4699096843.95
2018-10-03,LTCKRW,67300,67300,64200,65200,59820.65,3954178313.64
2018-10-02,LTCKRW,67500,69200,66800,67300,58721.12,3969881778.73
2018-10-01,LTCKRW,68400,69300,66500,67500,60037.33,4110030409.02
2018-09-30,LTCKRW,68800,70000,67100,68400,79539.04,5452952021.7
2018-09-29,LTCKRW,69100,69500,66200,68800,78547.53,5266626328.46
2018-09-28,LTCKRW,70100,72500,67400,69100,83325.87,5887996434.08
2018-09-27,LTCKRW,64500,73000,63800,70100,137609.24,9312780465.34
2018-09-26,LTCKRW,65300,67400,64000,64500,52620.79,3417968509.32
2018-09-25,LTCKRW,65100,66000,62100,65300,89471.9,5695314047.36
2018-09-24,LTCKRW,69000,69000,64300,65100,55792.43,3789470606.56
2018-09-23,LTCKRW,67900,71400,66500,69000,75349.96,5099695942.99
2018-09-22,LTCKRW,67600,69500,64300,67900,158298.81,10787298575.3
2018-09-21,LTCKRW,64000,70000,63000,67600,113496.52,7259571096.2
2018-09-20,LTCKRW,61500,64300,60200,64000,105787.43,6518541867.01
2018-09-19,LTCKRW,61500,62900,58700,61500,117850.2,7294900031.11
2018-09-18,LTCKRW,60200,63200,58000,61500,124103.25,7449764085.75
2018-09-17,LTCKRW,64000,65800,59000,60200,83332.89,5383892008.4
2018-09-16,LTCKRW,63700,65300,61100,64000,50207.64,3190663894.92
2018-09-15,LTCKRW,64000,66000,63000,63700,98324.7,6411240732.78
2018-09-14,LTCKRW,61500,66700,60000,64000,97143.42,6017299014.99
2018-09-13,LTCKRW,59400,62600,59200,61500,53362.28,3245791443.36
2018-09-12,LTCKRW,59800,60400,54300,59400,48465.81,2848905641.94
2018-09-11,LTCKRW,62700,64100,58000,59800,42465.12,2647318647.87
2018-09-10,LTCKRW,63400,65300,61500,62700,42054.79,2716623088.52
2018-09-09,LTCKRW,61900,65200,60200,63400,52019.43,3214394130.46
2018-09-08,LTCKRW,64100,65900,60000,61900,5908.89,372592368.7
2018-09-07,LTCKRW,66500,67500,63400,64100,8501.44,560642632.39
2018-09-06,LTCKRW,66900,66900,62600,66500,62412.1,4038013539.51
2018-09-05,LTCKRW,76000,76700,66000,66900,43414.23,3254476508.24
2018-09-04,LTCKRW,73000,77400,72800,76000,55457.53,4154954090.45
2018-09-03,LTCKRW,73900,73900,71800,73000,7209.6,523709770.58
2018-09-02,LTCKRW,73300,74800,71800,73900,69150.67,4998401408.74
2018-09-01,LTCKRW,69300,75000,69300,73300,16334.92,1165236237.83
2018-08-31,LTCKRW,68000,70300,66800,69300,7635.21,522475675.94
2018-08-30,LTCKRW,68500,69000,65900,68000,5253.76,353657090.67
2018-08-29,LTCKRW,69600,71100,67300,68500,5785.76,400078818.53
2018-08-28,LTCKRW,67400,70500,66400,69600,12124.98,822934312.81
2018-08-27,LTCKRW,64200,68500,63300,67400,16845.61,1084573355.39
2018-08-26,LTCKRW,65300,65300,63200,64200,289359.93,18728690683.18
2018-08-25,LTCKRW,64900,66100,64300,65300,5850.7,382871446.37
2018-08-24,LTCKRW,64900,66200,63100,64900,5511.61,356926284.97
2018-08-23,LTCKRW,63300,66000,62700,64900,6400.02,408241227.47
2018-08-22,LTCKRW,64400,67400,62000,63300,8272.09,536474766.47
2018-08-21,LTCKRW,62400,65500,62000,64400,8345.45,530772620.09
2018-08-20,LTCKRW,66300,67100,61700,62400,8779.55,566777584.78
2018-08-19,LTCKRW,65600,68000,64800,66300,6120.5,405701926.8
2018-08-18,LTCKRW,70200,72200,64000,65600,9403.0,637838708.32
2018-08-17,LTCKRW,64300,71000,64000,70200,10796.67,720807632.62
2018-08-16,LTCKRW,63900,66800,63000,64300,12130.47,784209009.7
2018-08-15,LTCKRW,63900,68500,62900,63900,20826.65,1354429435.51
2018-08-14,LTCKRW,66200,66500,58300,63900,12886.28,794011920.79
2018-08-13,LTCKRW,69200,71000,65500,66200,11675.45,801036881.51
2018-08-12,LTCKRW,65200,65200,65200,65200,0.0,0.0
2018-08-11,LTCKRW,69600,69700,65000,65200,6613.88,438473446.1
2018-08-10,LTCKRW,73100,73500,68000,69600,8009.46,573457577.47
2018-08-09,LTCKRW,72500,75500,70400,73100,6814.23,497178127.74
2018-08-08,LTCKRW,77800,79000,71700,72500,12868.31,970223013.26
2018-08-07,LTCKRW,84800,86600,77400,77800,13948.3,1156706599.12
2018-08-06,LTCKRW,86200,88000,83700,84800,6973.65,595245544.43
2018-08-05,LTCKRW,83800,86300,82300,86200,6134.88,518775585.1
2018-08-04,LTCKRW,88600,89000,83500,83800,9802.65,851236599.75
2018-08-03,LTCKRW,88100,89100,85500,88600,9770.79,847427663.22
2018-08-02,LTCKRW,88400,90600,86600,88100,9953.06,879252103.94
2018-08-01,LTCKRW,90100,91600,86900,88400,13097.47,1165975756.23
2018-07-31,LTCKRW,93900,94400,8800,90100,14304.61,1286419715.1
2018-07-30,LTCKRW,96700,96700,92300,93900,8561.56,809225660.92
2018-07-29,LTCKRW,94100,98700,93800,96700,11813.05,1134503448.32
2018-07-28,LTCKRW,96200,97200,93000,94100,10285.64,977356420.75
2018-07-27,LTCKRW,97100,98500,93500,96200,19305.92,1848396241.77
2018-07-26,LTCKRW,98900,105300,93300,97100,29443.36,2932212813.64
2018-07-25,LTCKRW,99500,108000,95400,98900,28740.47,2865999265.22
2018-07-24,LTCKRW,92800,130300,91300,99500,143519.64,15299127848.28
2018-07-23,LTCKRW,92800,113400,91500,92800,66270.9,6541411558.01
2018-07-22,LTCKRW,94700,95300,91500,92800,7013.19,653399264.64
2018-07-21,LTCKRW,93600,96200,90200,94700,2121.44,197110717.46
2018-07-20,LTCKRW,96700,97700,92500,93600,6673.58,636307012.33
2018-07-19,LTCKRW,96200,99800,94500,96700,8275.81,803924253.04
2018-07-18,LTCKRW,97000,102600,95000,96200,15604.18,1559685432.77
2018-07-17,LTCKRW,92900,98500,90200,97000,10123.09,950191278.66
2018-07-16,LTCKRW,89200,94000,87000,92900,13216.6,1198937939.87
2018-07-15,LTCKRW,87000,90000,85900,89200,6582.89,580305016.76
2018-07-14,LTCKRW,87200,88800,85900,87000,6348.14,551662392.78
2018-07-13,LTCKRW,87300,89000,85600,87200,4291.32,375050825.34
2018-07-12,LTCKRW,89000,89000,84700,87300,8857.32,762566908.46
2018-07-11,LTCKRW,86100,93800,85700,89000,14389.19,1289737785.76
2018-07-10,LTCKRW,90800,90900,84600,86100,8531.95,744091704.78
2018-07-09,LTCKRW,92000,93400,90400,90800,8264.47,757938723.69
2018-07-08,LTCKRW,94700,95300,91400,92000,14999.64,1407151783.15
2018-07-07,LTCKRW,95100,95800,90000,94700,130803.77,12038837675.97
2018-07-06,LTCKRW,92700,95300,91000,95100,10730.21,1004257440.32
2018-07-05,LTCKRW,94000,95900,91200,92700,8241.63,769820179.22
2018-07-04,LTCKRW,93800,97900,91200,94000,6968.61,657669354.1
2018-07-03,LTCKRW,93800,99000,90600,93800,13722.17,1313534718.55
2018-07-02,LTCKRW,89200,95500,86900,93800,21556.96,2002413423.91
2018-07-01,LTCKRW,91300,91300,86700,89200,8924.75,795543964.03
2018-06-30,LTCKRW,88800,95000,88200,91300,11035.44,1006844891.14
2018-06-29,LTCKRW,84400,91400,82300,88800,9889.39,841495517.1
2018-06-28,LTCKRW,91000,92500,84100,84400,8378.75,741287886.8
2018-06-27,LTCKRW,86300,92500,85000,91000,7714.96,687873275.49
2018-06-26,LTCKRW,91700,93000,85500,86300,5239.71,469811486.18
2018-06-25,LTCKRW,91100,94700,88500,91700,8626.05,790234193.99
2018-06-24,LTCKRW,94700,94900,83500,91100,13580.39,1212190015.94
2018-06-23,LTCKRW,97200,99700,93300,94700,6612.68,632949776.26
2018-06-22,LTCKRW,108100,108200,92900,97200,16595.97,1637385012.18
2018-06-21,LTCKRW,108200,109900,106200,108100,3684.08,397876166.84
2018-06-20,LTCKRW,110200,110200,93000,108200,11116.49,1159480908.62
2018-06-19,LTCKRW,109500,114000,107300,110200,12496.25,1374295913.27
2018-06-18,LTCKRW,105900,111400,104000,109500,9863.73,1056602458.78
2018-06-17,LTCKRW,108500,109200,105400,105900,5363.17,575582461.47
2018-06-16,LTCKRW,109300,109400,104200,108500,3877.82,415839835.28
2018-06-15,LTCKRW,111900,112700,107300,109300,10989.21,1203220393.89
2018-06-14,LTCKRW,104200,113800,100700,111900,19411.35,2097086440.79
2018-06-13,LTCKRW,112100,112900,100200,104200,23722.56,2537988605.67
2018-06-12,LTCKRW,119200,120300,103000,112100,14025.69,1628106564.77
2018-06-11,LTCKRW,119400,121800,114300,119200,14685.98,1728284941.22
2018-06-10,LTCKRW,129400,132500,115000,119400,20079.01,2429339311.61
2018-06-09,LTCKRW,131100,133300,128000,129400,3276.86,427636284.75
2018-06-08,LTCKRW,132700,134600,128500,131100,6604.91,865650448.98
2018-06-07,LTCKRW,132600,134400,130200,132700,5916.13,784377976.74
2018-06-06,LTCKRW,134000,134800,129300,132600,6435.31,851419416.25
2018-06-05,LTCKRW,132100,135500,128000,134000,7950.94,1037668355.04
2018-06-04,LTCKRW,136800,139500,129500,132100,10244.07,1373228388.48
2018-06-03,LTCKRW,134300,140200,133100,136800,11225.25,1530468697.24
2018-06-02,LTCKRW,132000,135700,130800,134300,9452.28,1262856791.74
2018-06-01,LTCKRW,131000,132800,129300,132000,8507.66,1109994112.05
2018-05-31,LTCKRW,129800,133400,127400,131000,9047.09,1184910625.05
2018-05-30,LTCKRW,132800,137400,125000,129800,13412.39,1776633995.46
2018-05-29,LTCKRW,123000,142500,121900,132800,14588.64,1908062585.53
2018-05-28,LTCKRW,130900,133700,122500,123000,13112.21,1670165984.23
2018-05-27,LTCKRW,132000,132200,129100,130900,7164.83,935213061.53
2018-05-26,LTCKRW,132000,136000,129400,132000,8151.8,1080507776.92
2018-05-25,LTCKRW,140800,140800,130200,132000,2392.96,315131717.67
2018-05-24,LTCKRW,140800,140800,140800,140800,0.0,0.0
2018-05-23,LTCKRW,143600,145900,139000,140800,10807.86,1532409148.63
2018-05-22,LTCKRW,149300,151200,143000,143600,9426.56,1390987299.06
2018-05-21,LTCKRW,153900,154200,147600,149300,11076.18,1673649631.56
2018-05-20,LTCKRW,149500,154300,146700,153900,13278.53,1999330663.29
2018-05-19,LTCKRW,150800,152000,147100,149500,9836.96,1473924190.45
2018-05-18,LTCKRW,149300,154300,144200,150800,12348.13,1830870007.66
2018-05-17,LTCKRW,154900,158800,147400,149300,14622.81,2250438500.77
2018-05-16,LTCKRW,156300,158600,149100,154900,17113.16,2626584358.28
2018-05-15,LTCKRW,166700,168700,154500,156300,28061.18,4549149639.52
2018-05-14,LTCKRW,163100,171100,151000,166700,39596.91,6411786055.83
2018-05-13,LTCKRW,158300,165800,153600,163100,22395.31,3558292527.94
2018-05-12,LTCKRW,150700,166600,143800,158300,20070.59,3084177507.46
2018-05-11,LTCKRW,163700,166900,135000,150700,32654.19,5100320628.33
2018-05-10,LTCKRW,174800,179600,163000,163700,19069.51,3303555778.91
2018-05-09,LTCKRW,177100,177600,167100,174800,19190.36,3327523805.12
2018-05-08,LTCKRW,183700,186700,174800,177100,21170.5,3830629529.94
2018-05-07,LTCKRW,190600,191300,176300,183700,32244.17,5869986279.51
2018-05-06,LTCKRW,196300,203300,183100,190600,54332.52,10568156894.93
2018-05-05,LTCKRW,185800,201600,181000,196300,59016.13,11390658205.01
2018-05-04,LTCKRW,177300,189200,172700,185800,37807.97,6799023647.78
2018-05-03,LTCKRW,164200,180100,164000,177300,43907.49,7551067981.82
2018-05-02,LTCKRW,162200,167500,160000,164200,18892.91,3073509749.66
2018-05-01,LTCKRW,162200,165100,157000,162200,22144.7,3542259827.19
2018-04-30,LTCKRW,165700,167400,161200,162200,30528.57,5029045858.8
2018-04-29,LTCKRW,163000,168000,160300,165700,32686.11,5396935049.8
2018-04-28,LTCKRW,160300,166100,158900,163000,21593.62,3516511295.42
2018-04-27,LTCKRW,167100,169000,158800,160300,22929.09,3760991069.58
2018-04-26,LTCKRW,159200,168800,154800,167100,33906.01,5479210106.66
2018-04-25,LTCKRW,180100,180900,156700,159200,57184.25,9555315502.11
2018-04-24,LTCKRW,167000,183700,166300,180100,75494.07,13203499119.54
