Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
2018-07-28,BTCMXN,152805.6,152915.92,150600,152696.59,55.96,8473162.29
2018-07-27,BTCMXN,147215,153600,144459,152805.6,171.65,25570093.23
2018-07-26,BTCMXN,151350.01,155389,145540,147215,178.24,26914923.03
2018-07-25,BTCMXN,159000,159770,150241.17,151350.01,188.21,28998049.5
2018-07-24,BTCMXN,144803.3,159999.97,144691,159000,200.09,30821033.39
2018-07-23,BTCMXN,139500.01,147500,139500.01,144803.3,151.01,21990669.73
2018-07-22,BTCMXN,140486.03,143000,139000.02,139500.01,38.76,5473451.3
2018-07-21,BTCMXN,138945,141000,136506.19,140486.03,48.93,6794369.4
2018-07-20,BTCMXN,141026.1,144000,137024.77,138945,106.06,14840789.68
2018-07-19,BTCMXN,136561.99,141500,135800.01,141026.1,125.11,17404946.85
2018-07-18,BTCMXN,136500,140500,134808.92,136561.99,215.68,29826086.95
2018-07-17,BTCMXN,126993.82,138079.54,125102,136500,260.35,34635320.24
2018-07-16,BTCMXN,121365.26,127000,120267.78,126993.82,179.92,22431603.39
2018-07-15,BTCMXN,119743.67,121973.6,119051,121365.26,62.7,7571697.35
2018-07-14,BTCMXN,118500,120180.78,117908.25,119743.67,51.99,6193833.94
2018-07-13,BTCMXN,119757.01,120789.51,117683.22,118500,139.87,16626960.24
2018-07-12,BTCMXN,123350,123786.74,117047.71,119757.01,203.65,24304794.75
2018-07-11,BTCMXN,121401.74,125000,120717,123350,177.12,21619577.7
2018-07-10,BTCMXN,127500,128496.6,120650,121401.74,127.5,15578009.5
2018-07-09,BTCMXN,127129.18,128510.9,126500,127500,43.11,5503143.1
2018-07-08,BTCMXN,128007,128896.99,127117.06,127129.18,23.96,3064479.49
2018-07-07,BTCMXN,125822.33,128787.35,124000,128007,30.36,3828637.81
2018-07-06,BTCMXN,125663.41,126500,124205,125822.33,53.78,6731869.0
2018-07-05,BTCMXN,126928.4,129033.27,124000,125663.41,99.65,12610250.48
2018-07-04,BTCMXN,126926.31,130000,123285.88,126928.4,142.79,18208727.98
2018-07-03,BTCMXN,130100,131272.61,125000,126926.31,136.71,17454435.35
2018-07-02,BTCMXN,122401.16,132000,121719.34,130100,181.11,23102481.58
2018-07-01,BTCMXN,125626.4,125650,122301.43,122401.16,37.08,4593849.94
2018-06-30,BTCMXN,122504.9,128999.98,122112.4,125626.4,89.78,11280075.03
2018-06-29,BTCMXN,115158.29,124997,115000.01,122504.9,198.95,23360699.22
2018-06-28,BTCMXN,123985.63,124958.22,115101,115158.29,135.4,16309731.14
2018-06-27,BTCMXN,121502,125000,120025.41,123985.63,89.19,10967650.1
2018-06-26,BTCMXN,125265.22,126642.38,121502,121502,158.01,19590591.9
2018-06-25,BTCMXN,123440.4,128499.99,122517.05,125265.22,118.54,14912128.2
2018-06-24,BTCMXN,122803.41,125834,116101,123440.4,93.28,11306500.91
2018-06-23,BTCMXN,122385.52,125000,120100,122803.41,101.97,12480693.92
2018-06-22,BTCMXN,136000,136800,118299.01,122385.52,260.49,32656706.47
2018-06-21,BTCMXN,137058.15,138360.55,135000,136000,71.42,9756246.34
2018-06-20,BTCMXN,139555,139560,135501.43,137058.15,112.48,15473533.77
2018-06-19,BTCMXN,138589.22,140910.84,137020.01,139555,97.59,13551829.06
2018-06-18,BTCMXN,134496.99,140200,133002.45,138589.22,119.39,16376143.6
2018-06-17,BTCMXN,136197.4,136438.89,133603.55,134496.99,25.73,3474817.88
2018-06-16,BTCMXN,132990.98,136498.99,131621.09,136197.4,55.55,7438523.69
2018-06-15,BTCMXN,138511.93,139776.66,131726,132990.98,109.24,14831570.33
2018-06-14,BTCMXN,131130.07,139967.6,130560.01,138511.93,172.04,23364793.73
2018-06-13,BTCMXN,137552.81,139499.92,129000,131130.07,174.1,23333356.5
2018-06-12,BTCMXN,143500,143500,134352.44,137552.81,155.52,21682245.22
2018-06-11,BTCMXN,140900,143977.6,137370.01,143500,176.98,24792806.64
2018-06-10,BTCMXN,150030.95,152075.97,136899,140900,121.39,17579123.4
2018-06-09,BTCMXN,151578.32,153989.65,150000,150030.95,37.26,5682975.05
2018-06-08,BTCMXN,153213.31,155500,151578.32,151578.32,139.26,21408151.05
2018-06-07,BTCMXN,154973.58,156898.53,152615.01,153213.31,106.5,16479093.58
2018-06-06,BTCMXN,154730.33,156449.99,151005.35,154973.58,96.39,14814478.73
2018-06-05,BTCMXN,150242.03,156500,148320.01,154730.33,133.68,20463842.9
2018-06-04,BTCMXN,153817.64,155505,149800.01,150242.03,123.15,18648022.58
2018-06-03,BTCMXN,153141.62,156431.24,153000.02,153817.64,52.79,8154046.19
2018-06-02,BTCMXN,150210,155209.99,149000,153141.62,88.97,13618330.55
2018-06-01,BTCMXN,149199.98,151000,147000,150210,128.57,19144254.83
2018-05-31,BTCMXN,146243.65,152000,145000.81,149199.98,167.6,25007330.2
2018-05-30,BTCMXN,147947.39,149599.89,143468.77,146243.65,111.91,16338262.68
2018-05-29,BTCMXN,139880,149787.99,139000,147947.39,164.3,23808067.42
