Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-06-07 02-AM,BCHUSD,1162.08,1166,1154.34,1154.34,70.11,81474.75
2018-06-07 01-AM,BCHUSD,1153.01,1169,1148.36,1162.08,298.22,346157.25
2018-06-07 12-AM,BCHUSD,1131.14,1153.08,1131.14,1153.01,190.11,217243.74
2018-06-06 11-PM,BCHUSD,1139.89,1141.79,1125,1131.14,221.56,250202.56
2018-06-06 10-PM,BCHUSD,1140.21,1143.79,1133,1139.89,132.39,150663.32
2018-06-06 09-PM,BCHUSD,1134.34,1150,1131.13,1140.21,408.65,464992.2
2018-06-06 08-PM,BCHUSD,1111.54,1139.75,1108.38,1134.34,302.99,342275.38
2018-06-06 07-PM,BCHUSD,1108.73,1114.79,1108.73,1111.54,68.52,76244.27
2018-06-06 06-PM,BCHUSD,1113.86,1113.86,1102.28,1108.73,178.26,197172.04
2018-06-06 05-PM,BCHUSD,1111.79,1115.48,1105,1113.86,299.79,333206.75
2018-06-06 04-PM,BCHUSD,1147.98,1150.95,1100.21,1111.79,637.49,709834.54
2018-06-06 03-PM,BCHUSD,1142,1151.79,1142,1147.98,203.1,232646.61
2018-06-06 02-PM,BCHUSD,1148.85,1148.85,1142,1142,54.63,62526.7
2018-06-06 01-PM,BCHUSD,1153.04,1154.82,1145.43,1148.85,171.28,197092.12
2018-06-06 12-PM,BCHUSD,1141.52,1157.36,1140.72,1153.04,469.15,537395.53
2018-06-06 11-AM,BCHUSD,1141.46,1151,1139.88,1141.52,284.92,326440.29
2018-06-06 10-AM,BCHUSD,1127.74,1142.79,1127.05,1141.46,181.04,205727.27
2018-06-06 09-AM,BCHUSD,1128.64,1130.01,1123.37,1127.74,65.55,73944.03
2018-06-06 08-AM,BCHUSD,1133.26,1135.63,1120,1128.64,221.69,249851.34
2018-06-06 07-AM,BCHUSD,1137.1,1150.27,1129.45,1133.26,279.2,318026.57
2018-06-06 06-AM,BCHUSD,1129.2,1150.79,1129.07,1137.1,398.0,454205.72
2018-06-06 05-AM,BCHUSD,1128.93,1130.79,1115.99,1129.2,283.15,318484.5
2018-06-06 04-AM,BCHUSD,1138.86,1142,1126.43,1128.93,122.32,138913.57
2018-06-06 03-AM,BCHUSD,1139.38,1145.17,1136.11,1138.86,59.64,68076.47
2018-06-06 02-AM,BCHUSD,1150.79,1150.94,1128.09,1139.38,182.85,208097.78
2018-06-06 01-AM,BCHUSD,1143.03,1151,1137.07,1150.79,362.28,414593.38
2018-06-06 12-AM,BCHUSD,1153.43,1161,1140.87,1143.03,179.43,207220.08
2018-06-05 11-PM,BCHUSD,1151.58,1155.79,1141.79,1153.43,246.53,283068.2
2018-06-05 10-PM,BCHUSD,1138.09,1152.02,1137.49,1151.58,195.43,224297.12
2018-06-05 09-PM,BCHUSD,1156.55,1163.72,1135,1138.09,510.79,584514.02
2018-06-05 08-PM,BCHUSD,1150.51,1163,1150.04,1156.55,283.63,328345.85
2018-06-05 07-PM,BCHUSD,1150.8,1156,1146.54,1150.51,529.63,609900.38
2018-06-05 06-PM,BCHUSD,1148.97,1161,1148.97,1150.8,160.43,185155.13
2018-06-05 05-PM,BCHUSD,1143.79,1162,1135,1148.97,196.37,225889.54
2018-06-05 04-PM,BCHUSD,1126,1157.81,1126,1143.79,612.74,698949.6
2018-06-05 03-PM,BCHUSD,1069.67,1126,1068,1126,448.58,490171.86
2018-06-05 02-PM,BCHUSD,1068.38,1072.42,1064.19,1069.67,111.66,119282.84
2018-06-05 01-PM,BCHUSD,1075.33,1078.71,1068.38,1068.38,296.5,318686.2
2018-06-05 12-PM,BCHUSD,1080.59,1081.63,1074.41,1075.33,78.56,84719.58
2018-06-05 11-AM,BCHUSD,1081.16,1081.16,1066.73,1080.59,236.62,253903.25
2018-06-05 10-AM,BCHUSD,1080.18,1089.12,1079.91,1081.16,86.44,93810.21
2018-06-05 09-AM,BCHUSD,1098.55,1100.09,1078.72,1080.18,175.49,191131.67
2018-06-05 08-AM,BCHUSD,1072.41,1100,1071.34,1098.55,374.5,407094.44
2018-06-05 07-AM,BCHUSD,1077.12,1077.75,1067.19,1072.41,91.23,97647.15
2018-06-05 06-AM,BCHUSD,1068.7,1080.94,1068.7,1077.12,191.69,205952.33
2018-06-05 05-AM,BCHUSD,1060,1078.18,1060,1068.7,208.61,222889.37
2018-06-05 04-AM,BCHUSD,1072.36,1082.55,1060,1060,443.5,473281.36
2018-06-05 03-AM,BCHUSD,1065,1078.5,1061.56,1072.36,351.91,377501.97
2018-06-05 02-AM,BCHUSD,1113.14,1116.95,1060.98,1065,442.08,476761.79
2018-06-05 01-AM,BCHUSD,1111.32,1125.19,1108.04,1113.14,163.35,182935.24
2018-06-05 12-AM,BCHUSD,1105.94,1117.98,1103.3,1111.32,130.08,144566.69
2018-06-04 11-PM,BCHUSD,1122.21,1124.1,1098.68,1105.94,532.73,590458.69
2018-06-04 10-PM,BCHUSD,1131,1131.3,1116.64,1122.21,122.86,137725.87
2018-06-04 09-PM,BCHUSD,1120.37,1131,1115.67,1131,123.98,139164.78
2018-06-04 08-PM,BCHUSD,1105.63,1121.8,1096.5,1120.37,161.56,179079.88
2018-06-04 07-PM,BCHUSD,1102.92,1112.05,1090.24,1105.63,216.34,238712.17
2018-06-04 06-PM,BCHUSD,1089.91,1103.82,1086.79,1102.92,112.13,122752.7
2018-06-04 05-PM,BCHUSD,1102.9,1102.9,1083.62,1089.91,161.52,176413.56
2018-06-04 04-PM,BCHUSD,1106.73,1115.29,1102.05,1102.9,112.67,125039.4
2018-06-04 03-PM,BCHUSD,1100.73,1118.5,1100.47,1106.73,278.85,309693.33
2018-06-04 02-PM,BCHUSD,1120.47,1120.47,1092.74,1100.73,397.49,439239.06
2018-06-04 01-PM,BCHUSD,1122.26,1126.45,1113.45,1120.47,391.85,439793.68
2018-06-04 12-PM,BCHUSD,1115.26,1127.67,1114.77,1122.26,221.23,248089.35
2018-06-04 11-AM,BCHUSD,1142.97,1142.97,1108,1115.26,386.82,433718.13
