Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume LTC
2019-02-20,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-19,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-18,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-17,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-16,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-15,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-14,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-13,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-12,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-11,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-10,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-09,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-08,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-07,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-06,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-05,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-04,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-03,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-02,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-02-01,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-31,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-30,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-29,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-28,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-27,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-26,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-25,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-24,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-23,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-22,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-21,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-20,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-19,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-18,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-17,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-16,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-15,NEOLTC,0.2528,0.2528,0.2528,0.2528,0.0,0.0
2019-01-14,NEOLTC,0.25,0.2528,0.25,0.2528,5.13,1.3
2019-01-13,NEOLTC,0.235,0.25,0.235,0.25,20.6,4.93
2019-01-12,NEOLTC,0.246,0.2469,0.235,0.235,6.17,1.47
2019-01-11,NEOLTC,0.25,0.25,0.2303,0.246,7.03,1.67
2019-01-10,NEOLTC,0.2361,0.25,0.2361,0.25,17.36,4.2
2019-01-09,NEOLTC,0.2331,0.2446,0.2266,0.2361,18.4,4.43
2019-01-08,NEOLTC,0.2257,0.2331,0.2234,0.2331,4.23,0.9781
2019-01-07,NEOLTC,0.222,0.2307,0.222,0.2257,3.11,0.6972
2019-01-06,NEOLTC,0.229,0.229,0.21,0.222,15.11,3.39
2019-01-05,NEOLTC,0.2475,0.2528,0.229,0.229,49.16,12.1
2019-01-04,NEOLTC,0.2518,0.2528,0.2475,0.2475,39.91,10.05
2019-01-03,NEOLTC,0.245,0.2518,0.2414,0.2518,15.26,3.76
2019-01-02,NEOLTC,0.246,0.2462,0.2449,0.245,4.05,0.9949
2019-01-01,NEOLTC,0.2634,0.2676,0.246,0.246,31.01,7.79
2018-12-31,NEOLTC,0.2539,0.2745,0.2508,0.2634,9.96,2.52
2018-12-30,NEOLTC,0.2593,0.2593,0.2508,0.2539,4.4,1.12
2018-12-29,NEOLTC,0.2745,0.2745,0.257,0.2593,2.39,0.6189
2018-12-28,NEOLTC,0.2506,0.278,0.2506,0.2745,30.02,8.23
2018-12-27,NEOLTC,0.255,0.2739,0.2506,0.2506,52.81,13.59
2018-12-26,NEOLTC,0.2647,0.2647,0.255,0.255,0.05335,0.0136
2018-12-25,NEOLTC,0.252,0.2647,0.2302,0.2647,37.71,9.79
2018-12-24,NEOLTC,0.23,0.252,0.23,0.252,76.21,19.02
2018-12-23,NEOLTC,0.2789,0.2789,0.226,0.23,31.94,7.43
2018-12-22,NEOLTC,0.2257,0.2821,0.222,0.2789,104.73,24.11
2018-12-21,NEOLTC,0.2356,0.2993,0.22,0.2257,98.9,22.76
2018-12-20,NEOLTC,0.2263,0.2356,0.2206,0.2356,9.25,2.09
2018-12-19,NEOLTC,0.2237,0.2342,0.2237,0.2263,53.38,12.29
2018-12-18,NEOLTC,0.2192,0.232,0.2192,0.2237,3.97,0.8981
2018-12-17,NEOLTC,0.2239,0.2267,0.2153,0.2192,38.4,8.54
2018-12-16,NEOLTC,0.2379,0.2379,0.2198,0.2239,157.97,35.62
2018-12-15,NEOLTC,0.2497,0.2497,0.2329,0.2379,17.22,4.15
2018-12-14,NEOLTC,0.255,0.255,0.241,0.2497,51.88,12.8
2018-12-13,NEOLTC,0.2929,0.3139,0.245,0.255,167.5,48.83
2018-12-12,NEOLTC,0.2977,0.3111,0.2809,0.2929,31.34,9.28
2018-12-11,NEOLTC,0.2811,0.305,0.27,0.2977,41.41,11.92
2018-12-10,NEOLTC,0.29,0.2965,0.2811,0.2811,18.42,5.4
2018-12-09,NEOLTC,0.276,0.2956,0.27,0.29,163.02,46.33
2018-12-08,NEOLTC,0.26,0.276,0.252,0.276,251.6,65.81
2018-12-07,NEOLTC,0.235,0.26,0.235,0.26,117.1,30.04
2018-12-06,NEOLTC,0.24,0.249,0.235,0.235,32.4,7.76
