Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MUSD
2018-12-31,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-30,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-29,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-28,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-27,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-26,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-25,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-24,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-23,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-22,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-21,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-20,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-19,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-18,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-17,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-16,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-15,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-14,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-13,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-12,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-11,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-10,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-09,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-08,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-07,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-06,QTUMUSD,2,2,2,2,0.0,0.0
2018-12-05,QTUMUSD,1.88,2,1.88,2,10.0,20.0
2018-12-04,QTUMUSD,4.13,4.13,1.5,1.88,52.29,87.59
2018-12-03,QTUMUSD,4.13,4.13,4.13,4.13,0.0,0.0
2018-12-02,QTUMUSD,4.13,4.13,4.13,4.13,0.0,0.0
2018-12-01,QTUMUSD,4.13,4.13,4.13,4.13,0.0,0.0
2018-11-30,QTUMUSD,4.13,4.13,4.13,4.13,0.0,0.0
2018-11-29,QTUMUSD,1.25,4.38,1.25,4.13,98.38,417.91
2018-11-28,QTUMUSD,1.25,1.25,1.25,1.25,0.0,0.0
2018-11-27,QTUMUSD,1.25,1.25,1.25,1.25,0.0,0.0
2018-11-26,QTUMUSD,1.25,1.25,1.25,1.25,0.0,0.0
2018-11-25,QTUMUSD,1.25,1.25,1.25,1.25,0.0,0.0
2018-11-24,QTUMUSD,1.25,1.25,1.25,1.25,0.0,0.0
2018-11-23,QTUMUSD,2.38,2.38,1.25,1.25,54.03,67.59
2018-11-22,QTUMUSD,2.25,2.5,2.25,2.38,5.82,14.54
