Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume JPY
2019-01-31,ETHJPY,11740,11970,11380,11495,3817.58,44503960.96
2019-01-30,ETHJPY,11390,11955,11275,11740,3303.75,38268325.68
2019-01-29,ETHJPY,11500,11620,11155,11390,2223.06,25319380.98
2019-01-28,ETHJPY,12270,12285,11015,11500,5527.7,64319315.68
2019-01-27,ETHJPY,12625,12625,12135,12270,1968.27,24538088.89
2019-01-26,ETHJPY,12650,12830,12620,12625,831.74,10558802.77
2019-01-25,ETHJPY,12715,12840,12575,12650,1983.25,25217933.83
2019-01-24,ETHJPY,12675,12820,12535,12715,2405.42,30470701.17
2019-01-23,ETHJPY,12865,13055,12590,12675,5187.02,66245653.33
2019-01-22,ETHJPY,12750,13000,12550,12865,3075.07,39114055.54
2019-01-21,ETHJPY,12870,12925,12590,12750,2402.31,30670536.27
2019-01-20,ETHJPY,13530,13600,12775,12870,3054.57,39807507.52
2019-01-19,ETHJPY,13185,13780,13140,13530,1830.64,24614027.45
2019-01-18,ETHJPY,13395,13430,13035,13185,1564.13,20712350.5
2019-01-17,ETHJPY,13350,13445,12900,13395,2439.9,32091423.61
2019-01-16,ETHJPY,13060,13785,12925,13350,3273.97,43493420.85
2019-01-15,ETHJPY,13915,14115,12770,13060,4854.56,65147984.4
2019-01-14,ETHJPY,12505,14180,12505,13915,3876.57,50534660.62
2019-01-13,ETHJPY,13445,13580,12400,12505,3654.27,47643832.4
2019-01-12,ETHJPY,13625,13780,13395,13445,2332.5,31763026.89
2019-01-11,ETHJPY,13720,13950,13250,13625,4558.23,62334991.32
2019-01-10,ETHJPY,16160,16240,13380,13720,6746.78,97950101.38
2019-01-09,ETHJPY,16180,16585,16125,16160,2763.57,45157288.01
2019-01-08,ETHJPY,16310,16555,15850,16180,3696.27,60007499.19
2019-01-07,ETHJPY,16860,16995,16170,16310,6274.19,104130009.87
2019-01-06,ETHJPY,16740,17200,16240,16860,7472.41,124444622.77
2019-01-05,ETHJPY,16590,17385,16550,16740,8059.39,137146888.03
2019-01-04,ETHJPY,15880,16900,15650,16590,7053.12,115241831.5
2019-01-03,ETHJPY,16405,16670,15645,15880,5076.66,82207392.67
2019-01-02,ETHJPY,15135,16905,15125,16405,5852.37,94297357.0
2019-01-01,ETHJPY,14430,15405,14305,15135,2177.72,32197492.5
2018-12-31,ETHJPY,15220,15300,14125,14430,6011.19,89375410.24
2018-12-30,ETHJPY,15000,15475,14530,15220,5933.04,88523802.14
2018-12-29,ETHJPY,15195,16220,14560,15000,8063.15,122168747.95
2018-12-28,ETHJPY,12700,15215,12495,15195,8001.62,108429637.57
2018-12-27,ETHJPY,14635,14655,12410,12700,6425.01,87053620.71
2018-12-26,ETHJPY,14190,15145,13820,14635,6169.45,89054677.04
2018-12-25,ETHJPY,15355,15550,13435,14190,10297.05,145571107.25
2018-12-24,ETHJPY,14400,17500,14400,15355,14111.76,227629940.38
2018-12-23,ETHJPY,12850,14685,12850,14400,8659.73,121952820.08
2018-12-22,ETHJPY,11935,12890,11770,12850,4460.88,54658148.32
2018-12-21,ETHJPY,12740,13280,11660,11935,8166.95,102757031.65
2018-12-20,ETHJPY,11135,13000,11000,12740,7464.36,89133497.39
2018-12-19,ETHJPY,11290,12290,11035,11135,9615.28,111527192.75
2018-12-18,ETHJPY,10555,11425,10215,11290,6036.26,63493356.78
2018-12-17,ETHJPY,9520,10950,9500,10555,5168.46,52262168.3
2018-12-16,ETHJPY,9500,9895,9395,9520,3413.2,33095016.2
2018-12-15,ETHJPY,9455,9620,9220,9500,3167.07,29731786.31
2018-12-14,ETHJPY,9780,9895,9295,9455,4677.91,45011291.46
2018-12-13,ETHJPY,10100,10310,9765,9780,4172.72,41698515.86
2018-12-12,ETHJPY,9885,10345,9770,10100,3590.19,36144398.59
2018-12-11,ETHJPY,10105,10310,9700,9885,5340.81,53034891.62
2018-12-10,ETHJPY,10490,10795,10000,10105,3702.85,37940220.17
2018-12-09,ETHJPY,10190,11020,10000,10490,3328.82,34671593.99
2018-12-08,ETHJPY,10425,10950,9550,10190,4999.38,51064541.7
2018-12-07,ETHJPY,10400,10785,9240,10425,9781.43,95963380.48
2018-12-06,ETHJPY,11400,11795,10250,10400,6036.23,66815751.47
2018-12-05,ETHJPY,12265,12495,11400,11400,3321.9,39605067.84
2018-12-04,ETHJPY,12115,12575,11995,12265,3369.99,41657680.22
2018-12-03,ETHJPY,13060,13140,11955,12115,3608.04,45042714.9
2018-12-02,ETHJPY,13235,13560,13000,13060,1771.69,23396159.69
2018-12-01,ETHJPY,12730,13655,12555,13235,1891.68,24778674.36
2018-11-30,ETHJPY,13215,13645,12510,12730,4902.47,63743828.0
2018-11-29,ETHJPY,13690,13920,12895,13215,4623.7,61948708.49
2018-11-28,ETHJPY,12325,14210,12305,13690,7008.29,91662883.06
2018-11-27,ETHJPY,12195,12580,11560,12325,5579.41,66509017.36
2018-11-26,ETHJPY,12950,13315,11730,12195,5919.47,74285613.13
2018-11-25,ETHJPY,12765,13585,11025,12950,8776.26,107082155.03
2018-11-24,ETHJPY,13800,14305,12500,12765,3091.79,41303341.11
2018-11-23,ETHJPY,14100,14285,13300,13800,4379.01,60237698.56
2018-11-22,ETHJPY,15315,15450,14100,14100,3280.91,49027073.73
