Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume KRW
2019-02-08,XRPKRW,325,349,323,342,65722776.23,22124178619.99
2019-02-07,XRPKRW,322,328,321,325,18353684.13,5963050942.23
2019-02-06,XRPKRW,332,333,320,322,30775135.38,9981086035.74
2019-02-05,XRPKRW,332,334,328,332,17255458.24,5700603392.86
2019-02-04,XRPKRW,334,338,330,332,20294814.99,6769591370.54
2019-02-03,XRPKRW,342,344,330,334,22630031.86,7607151495.2
2019-02-02,XRPKRW,338,345,336,342,23879379.83,8091997498.13
2019-02-01,XRPKRW,340,342,325,338,48909573.81,16311946127.99
2019-01-31,XRPKRW,510,510,510,510,0.0,0.0
2019-01-30,XRPKRW,510,510,510,510,0.0,0.0
2019-01-29,XRPKRW,510,510,510,510,0.0,0.0
2019-01-28,XRPKRW,510,510,510,510,0.0,0.0
2019-01-27,XRPKRW,510,510,510,510,0.0,0.0
2019-01-26,XRPKRW,510,510,510,510,0.0,0.0
2019-01-25,XRPKRW,510,510,510,510,0.0,0.0
2019-01-24,XRPKRW,510,510,510,510,0.0,0.0
2019-01-23,XRPKRW,510,510,510,510,0.0,0.0
2019-01-22,XRPKRW,510,510,510,510,0.0,0.0
2019-01-21,XRPKRW,510,510,510,510,0.0,0.0
2019-01-20,XRPKRW,510,510,510,510,0.0,0.0
2019-01-19,XRPKRW,510,510,510,510,0.0,0.0
2019-01-18,XRPKRW,510,510,510,510,0.0,0.0
2019-01-17,XRPKRW,510,510,510,510,0.0,0.0
2019-01-16,XRPKRW,510,510,510,510,0.0,0.0
2019-01-15,XRPKRW,510,510,510,510,0.0,0.0
2019-01-14,XRPKRW,510,510,510,510,0.0,0.0
2019-01-13,XRPKRW,510,510,510,510,0.0,0.0
2019-01-12,XRPKRW,510,510,510,510,0.0,0.0
2019-01-11,XRPKRW,510,510,510,510,0.0,0.0
2019-01-10,XRPKRW,510,510,510,510,0.0,0.0
2019-01-09,XRPKRW,510,510,510,510,0.0,0.0
2019-01-08,XRPKRW,510,510,510,510,0.0,0.0
2019-01-07,XRPKRW,510,510,510,510,0.0,0.0
2019-01-06,XRPKRW,510,510,510,510,0.0,0.0
2019-01-05,XRPKRW,510,510,510,510,0.0,0.0
2019-01-04,XRPKRW,510,510,510,510,0.0,0.0
2019-01-03,XRPKRW,510,510,510,510,0.0,0.0
2019-01-02,XRPKRW,510,510,510,510,0.0,0.0
2019-01-01,XRPKRW,510,510,510,510,0.0,0.0
2018-12-31,XRPKRW,510,510,510,510,0.0,0.0
2018-12-30,XRPKRW,510,510,510,510,0.0,0.0
2018-12-29,XRPKRW,510,510,510,510,0.0,0.0
