Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2019-04-03,ZECRUR,4470.44,4958.67,4321.91,4898,6.72,31677.89
2019-04-02,ZECRUR,4013.02,4470.44,3982,4470.44,5.18,21511.58
2019-04-01,ZECRUR,3879,4113.48,3868.34,4013.02,3.76,14936.82
2019-03-31,ZECRUR,3722.12,3889,3721,3879,4.15,15971.41
2019-03-30,ZECRUR,3781,3781,3633.59,3722.12,2.27,8404.24
2019-03-29,ZECRUR,3671,3781,3618.02,3781,11.39,41702.55
2019-03-28,ZECRUR,3664.32,3707.66,3606.14,3671,3.18,11652.4
2019-03-27,ZECRUR,3655.78,3695.13,3538.52,3664.32,1.82,6486.84
2019-03-26,ZECRUR,3659,3675.18,3525,3655.78,6.0,21620.76
2019-03-25,ZECRUR,3751.44,3751.44,3600.01,3659,2.38,8691.77
2019-03-24,ZECRUR,3699.45,3816,3699.45,3751.44,4.66,17563.12
2019-03-23,ZECRUR,3633.27,3712.5,3614.14,3699.45,1.48,5429.53
2019-03-22,ZECRUR,3640.69,3709,3600,3633.27,6.24,22665.37
2019-03-21,ZECRUR,3786,3842.6,3600,3640.69,4.04,14816.95
2019-03-20,ZECRUR,3633.29,3960,3606,3786,6.65,25663.76
2019-03-19,ZECRUR,3533.84,3689.38,3533.84,3633.29,3.08,11110.83
2019-03-18,ZECRUR,3521.73,3568.84,3511.03,3533.84,0.2824,998.07
2019-03-17,ZECRUR,3502.87,3529.88,3413.69,3521.73,1.36,4657.84
2019-03-16,ZECRUR,3476.76,3524.1,3476.76,3502.87,0.1523,536.02
2019-03-15,ZECRUR,3413.46,3495.96,3380,3476.76,0.7429,2531.78
2019-03-14,ZECRUR,3380,3413.46,3318.76,3413.46,0.3424,1144.51
2019-03-13,ZECRUR,3375.34,3402.9,3280.43,3380,0.1482,491.2
2019-03-12,ZECRUR,3224.75,3375.34,3180,3375.34,1.35,4383.89
2019-03-11,ZECRUR,3315,3315,3224.75,3224.75,0.1009,327.99
2019-03-10,ZECRUR,3300.18,3341.19,3277.7,3315,0.3148,1047.93
2019-03-09,ZECRUR,3231.72,3300.18,3226.71,3300.18,0.06882,222.32
2019-03-08,ZECRUR,3243.17,3284.78,3219.9,3272.45,0.09283,303.57
2019-03-07,ZECRUR,3153.56,3300,3153.56,3243.17,0.6133,2022.45
2019-03-06,ZECRUR,3360.95,3360.95,3153.56,3153.56,0.01527,48.97
2019-03-05,ZECRUR,3230,3400,3200.17,3400,0.4398,1435.42
2019-03-04,ZECRUR,3360.7,3360.7,3209.1,3230,2.25,7466.91
2019-03-03,ZECRUR,3391.14,3425.41,3341.01,3360.7,0.2124,710.44
2019-03-02,ZECRUR,3439.97,3439.97,3355,3355,0.5072,1721.46
2019-03-01,ZECRUR,3434.33,3480,3393,3439.97,0.09015,309.64
2019-02-28,ZECRUR,3441.85,3441.85,3434.33,3434.33,9e-07,0.003091
2019-02-27,ZECRUR,3463.9,3600.04,3400,3441.85,7.51,25953.27
