Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUR
2019-06-06,LTCRUR,6988,7320,6746.13,7300,96.36,669837.55
2019-06-05,LTCRUR,6844.73,6999,6641.74,6988,190.31,1288834.23
2019-06-04,LTCRUR,7071.68,7170.95,6540,6844.73,141.75,976772.39
2019-06-03,LTCRUR,7408.85,7470.43,7014.03,7071.68,99.55,730034.25
2019-06-02,LTCRUR,7441.42,7500,7217.36,7408.85,130.6,961848.37
2019-06-01,LTCRUR,7450,7500,7245.31,7441.42,156.99,1159920.84
2019-05-31,LTCRUR,7085.98,7450,6859,7450,103.28,737211.31
2019-05-30,LTCRUR,7433.24,7522.71,6854,7085.98,189.51,1371394.06
2019-05-29,LTCRUR,7445.96,7593.53,7150,7433.24,185.03,1370537.65
2019-05-28,LTCRUR,7363.19,7449.35,7071.1,7445.96,121.54,880277.02
2019-05-27,LTCRUR,7142.98,7500,7000,7397.41,377.08,2738940.83
2019-05-26,LTCRUR,6573,7142.98,6389.75,7142.98,255.47,1727468.08
2019-05-25,LTCRUR,6365.37,6659.63,6321.95,6573,243.57,1587759.95
2019-05-24,LTCRUR,5750,6560.5,5693.4,6365.37,374.81,2340928.81
2019-05-23,LTCRUR,5874.39,5874.39,5536.27,5750,199.05,1136188.39
2019-05-22,LTCRUR,5820.72,5952.27,5678,5874.39,157.11,914744.74
2019-05-21,LTCRUR,5851.1,6000,5700,5820.72,171.23,1003702.09
2019-05-20,LTCRUR,6200.83,6200.83,5700,5851.1,192.5,1128968.85
2019-05-19,LTCRUR,5800,6200.83,5700.35,6200.83,159.52,963448.4
2019-05-18,LTCRUR,5800,5899.99,5599,5800,126.14,728610.31
2019-05-17,LTCRUR,6110,6180.95,5494.35,5800,379.97,2205173.41
2019-05-16,LTCRUR,6638.35,6943.81,6000,6110,505.69,3275502.42
2019-05-15,LTCRUR,5891.15,6738,5756.63,6638.35,455.11,2871230.2
2019-05-14,LTCRUR,5780.99,6100,5600.33,5891.15,181.76,1077239.15
2019-05-13,LTCRUR,5590.36,5935,5500,5780.99,235.15,1344759.9
2019-05-12,LTCRUR,5457.84,5955.07,5357.5,5590.36,314.07,1795573.14
2019-05-11,LTCRUR,5199.87,5840,5003.25,5457.84,532.28,2927635.72
2019-05-10,LTCRUR,4868.29,5300,4808.14,5199.87,123.26,625144.94
2019-05-09,LTCRUR,4919.31,4971,4813.89,4868.29,88.56,434135.41
2019-05-08,LTCRUR,4900,4970,4740.13,4919.31,75.05,364450.84
2019-05-07,LTCRUR,4860.38,4998,4860.38,4908.01,37.56,185779.12
2019-05-06,LTCRUR,4969.14,4998.15,4780.69,4860.38,105.59,512511.75
2019-05-05,LTCRUR,5104.87,5104.87,4923.28,4969.14,73.91,370830.26
2019-05-04,LTCRUR,5102.97,5221,4897.21,5104.87,128.96,648098.07
2019-05-03,LTCRUR,4737.89,5102.97,4670,5102.97,156.33,772239.18
2019-05-02,LTCRUR,4732.67,4854.01,4664,4737.89,71.98,341568.36
2019-05-01,LTCRUR,4834.74,4901.36,4600.06,4732.67,60.91,292041.63
2019-04-30,LTCRUR,4562.98,4901.36,4561.1,4834.74,168.34,797519.22
2019-04-29,LTCRUR,4601,4723.84,4465.04,4562.98,102.42,465546.51
2019-04-28,LTCRUR,4862.98,4867,4600.19,4601,101.33,478964.23
2019-04-27,LTCRUR,4946.03,4946.31,4765.47,4789.18,112.52,543951.33
2019-04-26,LTCRUR,4904.82,4980,4803.19,4946.03,104.48,510308.06
2019-04-25,LTCRUR,4859,4977.31,4500,4904.82,125.41,606427.62
2019-04-24,LTCRUR,5041,5041,4656,4859,185.29,895885.1
2019-04-23,LTCRUR,5107,5300,4900.19,5041,113.68,580494.36
2019-04-22,LTCRUR,5124.98,5183.07,5050,5107,72.9,372271.78
2019-04-21,LTCRUR,5450,5450,5000,5124.98,124.86,640452.99
2019-04-20,LTCRUR,5485,5499,5350.8,5450,78.38,422999.85
2019-04-19,LTCRUR,5468.59,5497,5337.79,5485,133.33,719769.42
2019-04-18,LTCRUR,5317.19,5473.69,5250,5468.59,120.58,642739.39
2019-04-17,LTCRUR,5497,5497,5250,5317.19,77.06,412202.06
2019-04-16,LTCRUR,5500,5525,5324,5497,106.71,577193.42
2019-04-15,LTCRUR,5600.45,5760.76,5325,5500,109.04,602674.07
2019-04-14,LTCRUR,5299.87,5580,5230,5580,127.98,681628.06
2019-04-13,LTCRUR,5404,5567.98,5279,5299.87,95.55,513469.04
2019-04-12,LTCRUR,5383.57,5550.42,5233,5404,86.92,466690.86
2019-04-11,LTCRUR,5988,5988,5169.41,5383.57,195.37,1059865.02
2019-04-10,LTCRUR,5829,5993.69,5718,5988,116.02,675668.92
2019-04-09,LTCRUR,5838,5938.55,5700.01,5829,27.92,161265.28
2019-04-08,LTCRUR,6109,6109,5790,5838,8.65,51064.97
2019-04-07,LTCRUR,6202.32,6287.58,6014.71,6109,3.08,18913.22
2019-04-06,LTCRUR,5811.07,6270,5700,6202.32,4.62,27611.59
2019-04-05,LTCRUR,5421.9,5913.95,5421.9,5811.07,4.66,26697.05
2019-04-04,LTCRUR,5738.69,5738.69,5168,5421.9,6.44,35434.19
2019-04-03,LTCRUR,4947,6233.79,4947,5738.69,11.48,62887.11
2019-04-02,LTCRUR,3956.47,4947,3939.21,4947,9.91,42406.71
2019-04-01,LTCRUR,4014.68,4014.68,3923.15,3956.47,4.51,17862.71
2019-03-31,LTCRUR,4014.48,4015,3964.3,4014.68,3.62,14379.65
2019-03-30,LTCRUR,3980.2,4015,3950.41,4014.48,9.86,39314.05
2019-03-29,LTCRUR,3958.61,4010,3910.1,3980.2,18.0,70965.29
2019-03-28,LTCRUR,3988.74,3996.95,3905,3958.61,6.72,26634.18
2019-03-27,LTCRUR,3872.63,3988.74,3867.01,3988.74,14.51,56860.5
2019-03-26,LTCRUR,3934,3945.75,3803,3872.63,17.72,68423.53
2019-03-25,LTCRUR,3949.91,3950.03,3883.66,3934,8.47,33304.37
2019-03-24,LTCRUR,3970.99,4000,3906,3949.91,9.54,37454.18
2019-03-23,LTCRUR,3915,4000,3889.71,3970.99,7.63,30212.31
2019-03-22,LTCRUR,3846.69,3921.01,3802,3915,7.73,29640.5
2019-03-21,LTCRUR,3910,3930.5,3805,3846.69,8.11,31394.03
2019-03-20,LTCRUR,3880,3944.8,3842.88,3910,24.15,93702.05
2019-03-19,LTCRUR,3898.6,3904.04,3820.1,3880,9.84,38178.44
2019-03-18,LTCRUR,4018.71,4018.71,3886.2,3898.6,0.138,537.74
2019-03-17,LTCRUR,3958.9,4018.71,3958.9,4018.71,1.11,4421.25
2019-03-16,LTCRUR,3823.51,3970,3823.51,3958.9,2.99,11754.17
2019-03-15,LTCRUR,3658.99,3849,3651.13,3823.51,2.85,10774.04
2019-03-14,LTCRUR,3659.12,3660,3610.1,3658.99,1.36,4950.5
2019-03-13,LTCRUR,3669.41,3669.41,3635,3659.12,0.7762,2832.97
2019-03-12,LTCRUR,3647.7,3697.7,3509,3669.41,1.19,4178.24
2019-03-11,LTCRUR,3733.71,3736.49,3597.87,3647.7,1.52,5594.1
2019-03-10,LTCRUR,3762.78,3762.78,3730.3,3733.71,0.4349,1627.43
2019-03-09,LTCRUR,3730,3791.18,3730,3762.78,0.5188,1961.33
2019-03-08,LTCRUR,3750,3750,3640,3730,0.9922,3677.27
2019-03-07,LTCRUR,3446.82,3750,3446.82,3750,0.06634,238.08
2019-03-06,LTCRUR,3330,3498,3330,3446.82,1.02,3532.2
