Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-05-17,ETHMXN,5110,5150,4218.85,4653.98,3023.4,13707454.56
2019-05-16,ETHMXN,4775.62,5334,4656.48,5110,5128.58,25792913.93
2019-05-15,ETHMXN,4193.16,5100,4141.1,4775.62,3638.57,16497690.51
2019-05-14,ETHMXN,3800.02,4200,3691.01,4193.16,2202.27,8753915.43
2019-05-13,ETHMXN,3557.27,3941.89,3555.01,3800.02,1356.95,5124157.14
2019-05-12,ETHMXN,3710,3828.84,3450.64,3557.27,947.39,3432598.23
2019-05-11,ETHMXN,3324.7,3964.11,3300,3710,1825.1,6701286.54
2019-05-10,ETHMXN,3255.5,3359.98,3200.75,3324.7,1141.37,3789767.09
2019-05-09,ETHMXN,3249.52,3319.99,3186.61,3255.5,536.31,1739043.63
2019-05-08,ETHMXN,3169.99,3291.83,3121.03,3249.52,445.95,1439076.89
2019-05-07,ETHMXN,3253.68,3399,3253.68,3312.08,433.19,1450664.64
2019-05-06,ETHMXN,3099.63,3332.96,3010.03,3253.68,557.9,1788137.47
2019-05-05,ETHMXN,3069,3124.53,3010,3099.63,201.24,615100.35
2019-05-04,ETHMXN,3120,3177.76,3010.68,3069,356.91,1102526.77
2019-05-03,ETHMXN,3028.06,3190,3006.33,3120,575.6,1796184.43
2019-05-02,ETHMXN,3048.26,3074.81,2970.01,3028.06,418.19,1260534.72
2019-05-01,ETHMXN,3057.73,3119.99,2965.01,3048.26,373.87,1138259.13
2019-04-30,ETHMXN,2895.24,3060.95,2895.24,3057.73,507.2,1511015.68
2019-04-29,ETHMXN,2917.06,2965.67,2862,2895.24,315.81,912541.02
2019-04-28,ETHMXN,2993.12,2999.95,2915.16,2917.06,218.65,645355.38
2019-04-27,ETHMXN,2939.92,3048.9,2900,2993.12,373.08,1110629.16
2019-04-26,ETHMXN,2920,3000.22,2851,2939.92,493.32,1439700.17
2019-04-25,ETHMXN,3179.95,3180,2860.07,2920,677.27,2068526.22
2019-04-24,ETHMXN,3228.55,3279.9,3060,3179.95,677.13,2129968.91
2019-04-23,ETHMXN,3212.08,3332.99,3190.02,3228.55,657.44,2162140.52
2019-04-22,ETHMXN,3180,3279.96,3160.14,3212.08,213.45,685021.41
2019-04-21,ETHMXN,3235,3284.64,3150.85,3180,278.04,891307.68
2019-04-20,ETHMXN,3231.06,3299.96,3200,3235,237.16,772984.33
2019-04-19,ETHMXN,3250.12,3294.12,3201.11,3231.06,379.96,1224726.89
2019-04-18,ETHMXN,3113.99,3300,3113.99,3250.12,581.48,1874192.31
2019-04-17,ETHMXN,3121.04,3164.97,3081.01,3113.99,343.66,1069233.76
2019-04-16,ETHMXN,3059.84,3154.97,3000,3121.04,441.23,1362242.72
2019-04-15,ETHMXN,3140.01,3200,3000,3059.84,565.96,1744491.16
2019-04-14,ETHMXN,3110,3162,3066.57,3140.01,250.29,776573.02
2019-04-13,ETHMXN,3072.53,3149.99,3062.07,3110,230.65,718250.6
2019-04-12,ETHMXN,3142.89,3142.89,3070.8,3072.53,73.67,227334.58
2019-04-11,ETHMXN,3320.1,3357.68,3050,3142.89,871.9,2764840.41
2019-04-10,ETHMXN,3332.53,3452,3200.61,3320.1,858.61,2893736.75
2019-04-09,ETHMXN,3420,3441.61,3303.44,3332.53,459.94,1537961.3
2019-04-08,ETHMXN,3331,3500,3289.03,3420,1614.11,5519802.22
2019-04-07,ETHMXN,3116.65,3359.99,3116.65,3331,419.97,1361891.97
2019-04-06,ETHMXN,3109.96,3269.58,3050,3116.65,669.89,2111556.52
2019-04-05,ETHMXN,3000,3150,2925.01,3109.96,983.28,3018190.59
2019-04-04,ETHMXN,3024.06,3144.99,2900,3000,957.23,2883702.9
2019-04-03,ETHMXN,3050.68,3400,2840.02,3024.06,3341.78,10465878.3
2019-04-02,ETHMXN,2649.99,3100,2603.06,3050.68,2383.27,6800360.19
2019-04-01,ETHMXN,2600.5,2659.8,2575,2649.99,317.85,828507.96
2019-03-19,ETHMXN,2627.85,2629.98,2592,2610,24.84,64848.99
2019-03-18,ETHMXN,2667.86,2689.99,2585.2,2627.85,302.99,794232.17
2019-03-17,ETHMXN,2670.87,2691.68,2605.05,2667.86,249.8,662067.06
2019-03-16,ETHMXN,2578.24,2725,2578.24,2670.87,710.24,1892210.2
2019-03-15,ETHMXN,2546.08,2618.9,2520.42,2578.24,467.12,1206765.26
2019-03-14,ETHMXN,2520,2554,2505.27,2546.08,397.87,1008913.65
