Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-09-06,LTCEUR,50.16,50.3,47.47,49.95,669.42,32453.83
2018-09-05,LTCEUR,59,59.12,50.16,50.16,356.77,19526.33
2018-09-04,LTCEUR,56.65,59.87,56.65,59,252.69,14822.39
2018-09-03,LTCEUR,57.05,57.41,55.78,56.65,213.27,12018.53
2018-09-02,LTCEUR,57.7,57.97,56.08,57.05,298.41,16966.81
2018-09-01,LTCEUR,54.09,58.49,53.78,57.7,305.53,17149.31
2018-08-31,LTCEUR,51.83,54.19,51.56,54.09,290.22,15259.64
2018-08-30,LTCEUR,53.14,53.26,50.71,51.83,307.28,15891.5
2018-08-29,LTCEUR,54.14,54.51,52.23,53.14,271.44,14485.4
2018-08-28,LTCEUR,52.2,54.61,51.8,54.14,355.29,18781.0
2018-08-27,LTCEUR,49.2,52.33,49.16,52.2,325.71,16341.92
2018-08-26,LTCEUR,50.3,50.41,48.58,49.2,208.65,10285.87
2018-08-25,LTCEUR,50.25,50.73,49.93,50.3,187.7,9436.93
2018-08-24,LTCEUR,49.92,50.5,48.72,50.25,253.2,12620.06
2018-08-23,LTCEUR,48.22,50.31,48.04,49.92,214.88,10482.58
2018-08-22,LTCEUR,49.14,51.62,47.29,48.22,349.37,17315.23
2018-08-21,LTCEUR,47.49,49.54,47.36,49.14,229.95,11167.08
2018-08-20,LTCEUR,50.86,51.37,47.49,47.49,384.6,19050.18
2018-08-19,LTCEUR,50.25,53.02,49.68,50.86,296.7,14997.43
2018-08-18,LTCEUR,54.05,54.4,48.84,50.25,326.88,16726.04
2018-08-17,LTCEUR,48.86,54.05,48.72,54.05,395.48,20296.44
2018-08-16,LTCEUR,48.17,51.08,48.17,48.86,351.08,17339.31
2018-08-15,LTCEUR,48.29,52.71,48.05,48.17,481.79,23993.46
2018-08-14,LTCEUR,50.49,50.49,44.64,48.29,457.32,21316.94
2018-08-13,LTCEUR,52.92,53.76,49.74,50.49,333.15,17321.58
2018-08-12,LTCEUR,49.74,49.74,49.74,49.74,0.0,0.0
2018-08-11,LTCEUR,52.63,52.67,49.63,49.74,186.25,9428.64
2018-08-10,LTCEUR,55.92,55.92,52.15,52.63,377.32,20492.56
2018-08-09,LTCEUR,53.89,57.12,53.16,55.92,334.64,18472.45
2018-08-08,LTCEUR,58.71,58.71,53.47,53.89,373.74,20879.32
2018-08-07,LTCEUR,63.87,64.77,57.96,58.71,321.03,20192.63
2018-08-06,LTCEUR,64.8,66.57,62.91,63.87,267.74,17276.58
2018-08-05,LTCEUR,63.37,64.86,62.92,64.8,283.41,18102.04
2018-08-04,LTCEUR,67.02,67.48,62.93,63.37,265.3,17413.46
2018-08-03,LTCEUR,66.19,67.31,65,67.02,293.75,19389.1
2018-08-02,LTCEUR,66.61,67.31,65.42,66.19,255.13,16959.92
2018-08-01,LTCEUR,67.67,67.9,65.66,66.61,298.68,19887.85
2018-07-31,LTCEUR,70.17,70.6,65.55,67.67,261.76,17836.75
2018-07-30,LTCEUR,72.25,72.69,68.77,70.17,277.17,19697.43
2018-07-29,LTCEUR,72.36,73.13,71.79,72.25,233.74,16902.12
2018-07-28,LTCEUR,72.38,72.84,71.03,72.36,238.55,17181.58
2018-07-27,LTCEUR,71.79,73.2,70.39,72.38,256.89,18481.69
2018-07-26,LTCEUR,73.89,74.98,71.79,71.79,271.8,20137.49
2018-07-25,LTCEUR,76.33,77.14,72.9,73.89,327.64,24368.3
2018-07-24,LTCEUR,69.81,76.33,69.57,76.33,324.4,23924.69
2018-07-23,LTCEUR,70.47,73.18,69.57,69.81,330.23,23714.15
2018-07-22,LTCEUR,71.75,71.75,70.3,70.47,279.73,19869.77
2018-07-21,LTCEUR,70.07,72.18,68.6,71.75,308.1,21760.59
