Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume RUR
2019-05-28,ETCRUR,510.05,527,490.01,515.51,1362.94,704995.84
2019-05-27,ETCRUR,482,515.01,465.66,510.05,1527.62,748967.42
2019-05-26,ETCRUR,460.03,482,451,482,522.57,241001.99
2019-05-25,ETCRUR,462.6,465.65,450,460.03,441.78,201593.87
2019-05-24,ETCRUR,445.84,471,445.84,462.6,328.31,151002.01
2019-05-23,ETCRUR,453.85,459,430.08,445.84,420.11,186544.08
2019-05-22,ETCRUR,480,480,450,453.85,232.01,108142.57
2019-05-21,ETCRUR,474.47,483.26,461.53,480,409.81,193282.66
2019-05-20,ETCRUR,495.01,499.31,460.12,474.47,503.29,237871.77
2019-05-19,ETCRUR,471.05,510,468.42,495.01,501.96,248564.63
2019-05-18,ETCRUR,465,485.2,449.81,471.05,316.87,149714.46
2019-05-17,ETCRUR,486.05,498.5,425,465,2067.72,951659.69
2019-05-16,ETCRUR,488.42,545,465.35,486.05,1537.07,768071.79
2019-05-15,ETCRUR,412.41,495.61,411.52,488.42,1677.21,751326.89
2019-05-14,ETCRUR,398,431.8,395,412.41,1316.68,542501.72
2019-05-13,ETCRUR,377.06,398,374.1,398,991.29,386309.82
2019-05-12,ETCRUR,376.28,397.06,371.01,377.06,858.3,331492.53
2019-05-11,ETCRUR,374,396.12,355.56,378.3,1461.29,553825.43
2019-05-10,ETCRUR,365,374.53,362.01,374,372.69,137212.46
2019-05-09,ETCRUR,368.29,374.5,364,367.25,196.06,72510.22
2019-05-08,ETCRUR,358.39,374,358.39,368.29,471.2,172966.18
2019-05-07,ETCRUR,355.97,363,350,351.1,259.75,92009.46
2019-05-06,ETCRUR,362.88,363,347.3,355.97,453.19,160219.81
2019-05-05,ETCRUR,363,371.99,353.59,362.88,657.98,236699.34
2019-05-04,ETCRUR,375.11,381.56,360,363,512.13,189810.24
2019-05-03,ETCRUR,366.46,385.01,364,375.11,729.69,272929.92
2019-05-02,ETCRUR,373.33,375,365,366.46,542.09,200370.67
2019-05-01,ETCRUR,380.06,387.5,373.32,373.33,646.63,244711.6
2019-04-30,ETCRUR,370.97,390,370.97,380.06,746.92,282313.09
2019-04-29,ETCRUR,366.2,379,364.2,370.97,562.88,208964.72
2019-04-28,ETCRUR,365.85,375,364,366.2,266.86,98258.88
2019-04-27,ETCRUR,366.73,374,360.2,365.85,269.22,98225.84
2019-04-26,ETCRUR,362.31,372.99,351.02,366.73,325.33,117482.08
2019-04-25,ETCRUR,367,378,362.07,362.31,464.1,171815.9
2019-04-24,ETCRUR,391,391,357.28,367,607.11,224255.79
2019-04-23,ETCRUR,390.38,401.7,388.9,391,786.14,311664.89
2019-04-22,ETCRUR,388.99,397.43,387,390.38,341.19,133461.05
2019-04-21,ETCRUR,411.06,413.8,384.17,388.98,566.03,222629.63
2019-04-20,ETCRUR,411.52,417.12,409.11,411.06,257.43,106241.3
2019-04-19,ETCRUR,410.84,415.5,409.97,411.52,276.19,113633.66
2019-04-18,ETCRUR,407.22,416,407.15,410.84,343.06,140890.01
2019-04-17,ETCRUR,418.06,421.4,407,407.22,359.82,148521.3
2019-04-16,ETCRUR,423.1,426,413.2,418.06,392.58,165218.71
2019-04-15,ETCRUR,425.49,435.97,421.11,423.1,588.0,251660.29
2019-04-14,ETCRUR,428.54,436.46,421,425.49,224.46,95634.05
2019-04-13,ETCRUR,432,437.24,420.01,428.54,291.25,124969.2
2019-04-12,ETCRUR,419.5,442,413,432,597.17,253331.22
2019-04-11,ETCRUR,458,461.76,411.35,419.5,677.3,287907.13
2019-04-10,ETCRUR,463.32,470.26,457.5,458,556.47,256904.16
2019-04-09,ETCRUR,472,482.8,452,463.32,413.23,191512.26
2019-04-08,ETCRUR,518,518,451,472,6.14,2891.65
2019-04-07,ETCRUR,390.26,519,390.26,518,14.66,6733.23
2019-04-06,ETCRUR,374,395.5,363.11,390.26,20.48,7577.5
2019-04-05,ETCRUR,335.89,374.86,330.23,374,5.74,2034.38
2019-04-04,ETCRUR,349.11,358.87,331.01,335.89,28.62,10005.24
2019-04-03,ETCRUR,338.01,390.01,338.01,349.11,10.9,4051.07
2019-04-02,ETCRUR,311.26,339,307,338.01,7.26,2387.97
2019-04-01,ETCRUR,313.2,315.5,308,311.26,9.61,3006.9
2019-03-31,ETCRUR,311.22,316,310.1,313.2,24.72,7692.39
2019-03-30,ETCRUR,315.47,315.9,310.99,311.22,1.39,433.57
2019-03-29,ETCRUR,307.34,318.64,303.79,315.47,16.1,4952.13
2019-03-28,ETCRUR,307.84,308,305.1,307.34,2.56,781.22
2019-03-27,ETCRUR,301.45,310.8,301.45,307.84,6.03,1854.78
2019-03-26,ETCRUR,305.16,308.04,301.2,301.45,12.32,3767.35
2019-03-25,ETCRUR,313.25,314.91,304.5,305.16,5.74,1775.32
2019-03-24,ETCRUR,316.07,317.56,311.3,313.25,7.43,2338.52
2019-03-23,ETCRUR,319,319.96,315.74,316.07,2.29,730.73
2019-03-22,ETCRUR,308.62,322.1,308.62,319,7.87,2494.65
2019-03-21,ETCRUR,299,311.78,297.23,308.62,11.79,3573.27
2019-03-20,ETCRUR,296.43,303,292.16,299,11.46,3410.44
2019-03-19,ETCRUR,284.43,300.25,284.43,296.43,6.25,1837.53
2019-03-18,ETCRUR,292.24,292.24,284.43,284.43,1.02,293.67
2019-03-17,ETCRUR,287.54,292.24,286.21,292.24,0.06536,18.85
2019-03-16,ETCRUR,284.83,289.71,284.83,287.54,0.06978,20.16
2019-03-15,ETCRUR,277.9,285.4,277.9,284.83,0.2184,62.01
2019-03-14,ETCRUR,274.58,277.9,273,277.9,0.2917,80.16
2019-03-13,ETCRUR,273.12,275,273.12,274.58,0.1514,41.6
2019-03-12,ETCRUR,274.82,275,272.49,273.12,0.13,35.56
2019-03-11,ETCRUR,278.29,279.31,274.82,274.82,0.0429,11.89
2019-03-10,ETCRUR,279.3,279.3,275,278.29,0.04406,12.21
2019-03-09,ETCRUR,278.04,280.5,274.21,279.3,1.38,383.93
2019-03-08,ETCRUR,278.3,279.47,278.04,278.04,0.08,22.29
2019-03-07,ETCRUR,271.04,279.5,271.04,278.3,1.07,297.8
2019-03-06,ETCRUR,276.3,276.52,271.04,271.04,0.6709,185.43
2019-03-05,ETCRUR,272.12,276.3,270.31,276.3,0.04128,11.27
2019-03-04,ETCRUR,280.15,280.15,272.12,272.12,4.1,1115.57
2019-03-03,ETCRUR,286.32,286.32,280.15,280.15,0.09001,25.3
2019-03-02,ETCRUR,282,286.32,281.21,286.32,0.11,31.44
