Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
2019-08-02 06-AM,BTCKRW,12398000,12550000,12396000,12499000,575.38,7179090466.65
2019-08-02 05-AM,BTCKRW,12328000,12398000,12314000,12398000,212.04,2620762789.57
2019-08-02 04-AM,BTCKRW,12296000,12347000,12286000,12328000,104.62,1288514454.01
2019-08-02 03-AM,BTCKRW,12330000,12346000,12285000,12296000,132.58,1633864539.56
2019-08-02 02-AM,BTCKRW,12298000,12347000,12292000,12330000,167.71,2066483026.47
2019-08-02 01-AM,BTCKRW,12300000,12349000,12281000,12298000,178.19,2193938332.53
2019-08-02 12-AM,BTCKRW,12300000,12415000,12216000,12300000,413.27,5090352590.57
2019-08-01 11-PM,BTCKRW,12305000,12345000,12291000,12300000,194.65,2396320753.9
2019-08-01 10-PM,BTCKRW,12341000,12372000,12288000,12305000,227.66,2806752465.0
2019-08-01 09-PM,BTCKRW,12309000,12350000,12246000,12341000,355.2,4368587519.0
2019-08-01 08-PM,BTCKRW,12187000,12412000,12178000,12309000,600.77,7395427363.1
2019-08-01 07-PM,BTCKRW,12059000,12195000,12051000,12187000,343.95,4171362740.28
2019-08-01 06-PM,BTCKRW,11942000,12061000,11924000,12059000,227.56,2730706191.52
2019-08-01 05-PM,BTCKRW,11912000,11954000,11855000,11942000,126.27,1503882925.15
2019-08-01 04-PM,BTCKRW,11848000,11912000,11836000,11912000,91.91,1093139822.62
2019-08-01 03-PM,BTCKRW,11850000,11860000,11812000,11848000,84.67,1002162031.58
2019-08-01 02-PM,BTCKRW,11906000,11906000,11830000,11850000,118.56,1405938711.17
2019-08-01 01-PM,BTCKRW,11889000,11929000,11867000,11906000,253.07,3011902077.52
2019-08-01 12-PM,BTCKRW,11819000,11900000,11814000,11889000,236.9,2811729564.24
2019-08-01 11-AM,BTCKRW,11778000,11827000,11761000,11819000,72.26,852876506.65
2019-08-01 10-AM,BTCKRW,11797000,11805000,11735000,11778000,67.4,793164358.81
2019-08-01 09-AM,BTCKRW,11845000,11845000,11734000,11797000,139.92,1649888576.5
2019-08-01 08-AM,BTCKRW,11810000,11858000,11803000,11845000,102.92,1218120062.51
2019-08-01 07-AM,BTCKRW,11768000,11844000,11751000,11810000,191.51,2259598959.83
2019-08-01 06-AM,BTCKRW,11721000,11781000,11678000,11768000,302.17,3540505398.27
2019-08-01 05-AM,BTCKRW,11788000,11823000,11721000,11721000,225.88,2661099751.57
2019-08-01 04-AM,BTCKRW,11807000,11823000,11761000,11788000,188.59,2223476343.8
2019-08-01 03-AM,BTCKRW,11861000,11881000,11786000,11807000,181.8,2150499024.44
2019-08-01 02-AM,BTCKRW,11874000,11876000,11831000,11861000,136.87,1622741292.51
2019-08-01 01-AM,BTCKRW,11934000,11943000,11811000,11874000,326.61,3875440588.69
2019-08-01 12-AM,BTCKRW,11962000,12077000,11913000,11934000,583.96,6997832872.29
2019-07-31 11-PM,BTCKRW,11862000,11969000,11849000,11962000,222.11,2646023795.86
2019-07-31 10-PM,BTCKRW,11944000,11945000,11820000,11862000,281.02,3337940552.57
2019-07-31 09-PM,BTCKRW,11919000,11950000,11871000,11944000,160.93,1918997622.12
2019-07-31 08-PM,BTCKRW,11852000,11940000,11852000,11919000,196.76,2344376779.21
2019-07-31 07-PM,BTCKRW,11853000,11876000,11843000,11852000,83.11,985818712.62
2019-07-31 06-PM,BTCKRW,11889000,11896000,11799000,11853000,157.12,1861222965.2
2019-07-31 05-PM,BTCKRW,11779000,11921000,11752000,11889000,351.44,4170550008.93
2019-07-31 04-PM,BTCKRW,11877000,11948000,11742000,11779000,238.02,2818573625.9
2019-07-31 03-PM,BTCKRW,11759000,11945000,11750000,11877000,483.77,5742204956.67
2019-07-31 02-PM,BTCKRW,11792000,11850000,11732000,11759000,519.96,6132614152.63
2019-07-31 01-PM,BTCKRW,11629000,11796000,11619000,11792000,685.8,7994884567.46
2019-07-31 12-PM,BTCKRW,11535000,11686000,11530000,11629000,542.56,6302163899.97
2019-07-31 11-AM,BTCKRW,11545000,11561000,11526000,11535000,125.49,1448752302.15
2019-07-31 10-AM,BTCKRW,11514000,11554000,11506000,11545000,106.41,1227373606.02
2019-07-31 09-AM,BTCKRW,11535000,11545000,11493000,11514000,176.29,2029303638.14
2019-07-31 08-AM,BTCKRW,11526000,11547000,11515000,11535000,117.76,1357893970.93
2019-07-31 07-AM,BTCKRW,11554000,11592000,11500000,11526000,235.98,2722992722.32
2019-07-31 06-AM,BTCKRW,11445000,11574000,11445000,11554000,276.51,3187742699.29
