Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MSGD
2019-05-09,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-08,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-07,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-06,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-05,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-04,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-05-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-30,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-29,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-21,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-20,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-19,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-18,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-17,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-16,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-15,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-14,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-13,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-12,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-11,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-10,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-09,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-08,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-07,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-06,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-05,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-04,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-03,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
