Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MON,Volume ABTC
2019-06-28 02-PM,MONABTC,0.000204,0.000204,0.000204,0.000204,0.0,0.0
2019-06-28 01-PM,MONABTC,0.0002027,0.000204,0.0002027,0.000204,86.0,0.01754
2019-06-28 12-PM,MONABTC,0.0002027,0.0002027,0.0002027,0.0002027,0.0,0.0
2019-06-28 11-AM,MONABTC,0.000212,0.000212,0.0002027,0.0002027,440.0,0.0906
2019-06-28 10-AM,MONABTC,0.000206,0.000212,0.000206,0.000212,347.0,0.07356
2019-06-28 09-AM,MONABTC,0.0002134,0.0002134,0.000206,0.000206,983.0,0.2037
2019-06-28 08-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 07-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 06-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 05-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 04-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 03-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 02-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 01-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-28 12-AM,MONABTC,0.0002134,0.0002134,0.0002134,0.0002134,0.0,0.0
2019-06-27 11-PM,MONABTC,0.0002235,0.0002235,0.0002134,0.0002134,627.0,0.1338
2019-06-27 10-PM,MONABTC,0.0002447,0.0002447,0.0002235,0.0002235,417.0,0.0932
2019-06-27 09-PM,MONABTC,0.0002291,0.0002447,0.0002291,0.0002447,5331.0,1.298
2019-06-27 08-PM,MONABTC,0.0002223,0.0002291,0.0002223,0.0002291,4015.0,0.9195
2019-06-27 07-PM,MONABTC,0.0002223,0.0002223,0.0002223,0.0002223,0.0,0.0
2019-06-27 06-PM,MONABTC,0.0002223,0.0002223,0.0002223,0.0002223,0.0,0.0
2019-06-27 05-PM,MONABTC,0.0002121,0.0002223,0.0002121,0.0002223,1220.0,0.2685
2019-06-27 04-PM,MONABTC,0.0002183,0.0002183,0.0002061,0.0002121,24.0,0.005085
2019-06-27 03-PM,MONABTC,0.0002061,0.0002183,0.0002061,0.0002183,28.0,0.006112
2019-06-27 02-PM,MONABTC,0.0002068,0.0002068,0.0002061,0.0002061,12.0,0.002473
2019-06-27 01-PM,MONABTC,0.0002064,0.0002068,0.0002064,0.0002068,78.0,0.01612
2019-06-27 12-PM,MONABTC,0.0002064,0.0002064,0.0002064,0.0002064,0.0,0.0
2019-06-27 11-AM,MONABTC,0.0002146,0.0002146,0.0002064,0.0002064,1238.0,0.2636
2019-06-27 10-AM,MONABTC,0.0002077,0.0002146,0.000206,0.0002146,744.0,0.1553
2019-06-27 09-AM,MONABTC,0.0002077,0.0002077,0.0002077,0.0002077,0.0,0.0
2019-06-27 08-AM,MONABTC,0.0002077,0.0002077,0.0002077,0.0002077,0.0,0.0
2019-06-27 07-AM,MONABTC,0.0002077,0.0002077,0.0002077,0.0002077,0.0,0.0
2019-06-27 06-AM,MONABTC,0.0002077,0.0002077,0.0002077,0.0002077,0.0,0.0
2019-06-27 05-AM,MONABTC,0.0002077,0.0002077,0.0002077,0.0002077,0.0,0.0
2019-06-27 04-AM,MONABTC,0.00021,0.00021,0.0002076,0.0002077,905.0,0.188
2019-06-27 03-AM,MONABTC,0.000213,0.000213,0.00021,0.00021,156.0,0.03276
2019-06-27 02-AM,MONABTC,0.0002078,0.000213,0.0002078,0.000213,733.0,0.1561
2019-06-27 01-AM,MONABTC,0.0002077,0.0002078,0.0002077,0.0002078,48.0,0.009975
2019-06-27 12-AM,MONABTC,0.0002081,0.0002082,0.0002077,0.0002077,220.0,0.04578
2019-06-26 11-PM,MONABTC,0.000229,0.000229,0.000208,0.0002081,100.0,0.02081
2019-06-26 10-PM,MONABTC,0.000229,0.000229,0.000229,0.000229,0.0,0.0
2019-06-26 09-PM,MONABTC,0.000228,0.000229,0.000228,0.000229,109.0,0.02496
2019-06-26 08-PM,MONABTC,0.0002011,0.000228,0.0002011,0.000228,2252.0,0.4728
2019-06-26 07-PM,MONABTC,0.0002023,0.0002071,0.0002011,0.0002011,217.0,0.04374
2019-06-26 06-PM,MONABTC,0.00021,0.00021,0.0002023,0.0002023,1209.0,0.2492
2019-06-26 05-PM,MONABTC,0.00021,0.00021,0.00021,0.00021,0.0,0.0
2019-06-26 04-PM,MONABTC,0.00022,0.00022,0.00021,0.00021,95.0,0.02053
2019-06-26 03-PM,MONABTC,0.00022,0.00022,0.00022,0.00022,0.0,0.0
2019-06-26 02-PM,MONABTC,0.0002179,0.0002289,0.0002179,0.00022,630.0,0.1395
2019-06-26 01-PM,MONABTC,0.0002241,0.0002289,0.0002179,0.0002179,3.0,0.0006647
