Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DUSD
2018-04-25,MAIDUSD,0.4062,0.408,0.345,0.363,116720.0,43582.68
2018-04-24,MAIDUSD,0.3847,0.4163,0.3832,0.4062,119565.0,47919.42
2018-04-23,MAIDUSD,0.3785,0.3917,0.3765,0.3847,111925.0,42885.58
2018-04-22,MAIDUSD,0.3794,0.385,0.365,0.3785,113591.0,42756.12
2018-04-21,MAIDUSD,0.3946,0.3976,0.36,0.3794,95064.0,35795.52
2018-04-20,MAIDUSD,0.373,0.4049,0.3708,0.3946,128099.0,48959.69
2018-04-19,MAIDUSD,0.3692,0.3835,0.3626,0.373,109539.0,40716.9
2018-04-18,MAIDUSD,0.3485,0.3719,0.3451,0.3692,120805.0,43659.15
2018-04-17,MAIDUSD,0.3363,0.3645,0.3363,0.3485,116201.0,40808.68
2018-04-16,MAIDUSD,0.3663,0.3688,0.3266,0.3363,122112.0,42557.11
2018-04-15,MAIDUSD,0.3351,0.3748,0.3325,0.3663,127080.0,44868.38
2018-04-14,MAIDUSD,0.3381,0.3519,0.3255,0.3351,130226.0,43961.25
2018-04-13,MAIDUSD,0.3241,0.3606,0.3188,0.3381,119152.0,40815.94
2018-04-12,MAIDUSD,0.2903,0.333,0.2821,0.3241,134591.0,40699.56
2018-04-11,MAIDUSD,0.291,0.2925,0.2736,0.2903,125089.0,35675.86
2018-04-10,MAIDUSD,0.2702,0.2961,0.2638,0.291,133082.0,37564.51
2018-04-09,MAIDUSD,0.2831,0.2979,0.2604,0.2702,108649.0,29876.32
2018-04-08,MAIDUSD,0.2701,0.2876,0.2676,0.2831,180766.0,50504.42
2018-04-07,MAIDUSD,0.2493,0.2727,0.246,0.2701,108557.0,28638.02
2018-04-06,MAIDUSD,0.2458,0.2627,0.2376,0.2493,119733.0,29621.43
2018-04-05,MAIDUSD,0.2556,0.2624,0.2419,0.2458,120794.0,30303.43
2018-04-04,MAIDUSD,0.2792,0.2872,0.2518,0.2556,127138.0,33755.32
2018-04-03,MAIDUSD,0.258,0.2857,0.2574,0.2792,122016.0,33514.44
2018-04-02,MAIDUSD,0.2414,0.2697,0.2395,0.258,114118.0,29241.83
2018-04-01,MAIDUSD,0.2361,0.2453,0.2241,0.2414,113678.0,26648.73
2018-03-31,MAIDUSD,0.224,0.2481,0.219,0.2361,121343.0,28306.71
2018-03-30,MAIDUSD,0.2407,0.2498,0.2217,0.224,127526.0,30181.7
2018-03-29,MAIDUSD,0.2605,0.2691,0.2329,0.2407,130291.0,32750.48
2018-03-28,MAIDUSD,0.2579,0.2668,0.2544,0.2605,104201.0,27107.18
2018-03-27,MAIDUSD,0.2713,0.2762,0.2542,0.2579,116451.0,30807.77
2018-03-26,MAIDUSD,0.2911,0.2942,0.2576,0.2713,95353.0,26337.47
2018-03-25,MAIDUSD,0.2963,0.3032,0.2695,0.2911,120693.0,34701.89
2018-03-24,MAIDUSD,0.3138,0.3234,0.2945,0.2963,106395.0,33424.38
2018-03-23,MAIDUSD,0.3158,0.3227,0.2893,0.3138,113561.0,34233.07
2018-03-22,MAIDUSD,0.3062,0.3198,0.2969,0.3158,99667.0,30684.31
2018-03-21,MAIDUSD,0.3416,0.3544,0.2598,0.3062,154384.0,49943.89
2018-03-20,MAIDUSD,0.3029,0.3518,0.2956,0.3416,96148.0,30437.04
2018-03-19,MAIDUSD,0.286,0.3116,0.2781,0.3029,111304.0,32623.42
2018-03-18,MAIDUSD,0.2803,0.2902,0.2517,0.286,126206.0,33712.04
2018-03-17,MAIDUSD,0.3011,0.3051,0.2758,0.2803,112001.0,32506.67
2018-03-16,MAIDUSD,0.2965,0.3107,0.2845,0.3011,114568.0,34034.86
2018-03-15,MAIDUSD,0.3008,0.312,0.2699,0.2965,115750.0,33779.01
2018-03-14,MAIDUSD,0.3308,0.34,0.2974,0.3008,113969.0,36292.11
2018-03-13,MAIDUSD,0.3256,0.338,0.3073,0.3308,99407.0,32115.75
2018-03-12,MAIDUSD,0.3264,0.3444,0.3062,0.3256,108355.0,35496.82
2018-03-11,MAIDUSD,0.2924,0.3371,0.2855,0.3264,115669.0,35115.89
2018-03-10,MAIDUSD,0.3171,0.3298,0.2906,0.2924,98989.0,31091.73
2018-03-09,MAIDUSD,0.3011,0.3258,0.2873,0.3171,99449.0,30026.67
2018-03-08,MAIDUSD,0.3548,0.3615,0.2995,0.3011,106358.0,35463.2
2018-03-07,MAIDUSD,0.3795,0.3907,0.3226,0.3548,109804.0,40129.47
2018-03-06,MAIDUSD,0.4056,0.418,0.3608,0.3795,95920.0,36735.41
2018-03-05,MAIDUSD,0.4125,0.4345,0.3954,0.4056,89193.0,36398.39
2018-03-04,MAIDUSD,0.4167,0.4171,0.3821,0.4125,103864.0,41257.03
2018-03-03,MAIDUSD,0.4064,0.4387,0.3962,0.4167,93470.0,38523.81
2018-03-02,MAIDUSD,0.3981,0.4263,0.3723,0.4064,109341.0,42938.52
2018-03-01,MAIDUSD,0.4034,0.4053,0.3637,0.3981,114399.0,43744.98
2018-02-28,MAIDUSD,0.3588,0.4097,0.3561,0.4034,153699.0,59683.13
2018-02-27,MAIDUSD,0.3581,0.3705,0.346,0.3588,113017.0,40327.03
2018-02-26,MAIDUSD,0.3521,0.3776,0.3475,0.3581,99368.0,35865.29
2018-02-25,MAIDUSD,0.3646,0.3691,0.3401,0.3521,109909.0,39011.22
2018-02-24,MAIDUSD,0.3873,0.4067,0.36,0.3646,99532.0,37588.57
2018-02-23,MAIDUSD,0.4059,0.4527,0.3772,0.3873,137888.0,56633.02
2018-02-22,MAIDUSD,0.4448,0.463,0.39,0.4059,118325.0,50491.09
2018-02-21,MAIDUSD,0.4481,0.4755,0.4301,0.4448,155373.0,70622.7
2018-02-20,MAIDUSD,0.4632,0.4922,0.4459,0.4481,120062.0,56969.27
2018-02-19,MAIDUSD,0.4493,0.4922,0.4418,0.4632,133568.0,62352.62
2018-02-18,MAIDUSD,0.5235,0.5373,0.3799,0.4493,537541.0,234931.56
2018-02-17,MAIDUSD,0.4885,0.5343,0.4782,0.5235,75836.0,38633.14
2018-02-16,MAIDUSD,0.5053,0.5223,0.4674,0.4885,105855.0,51936.0
2018-02-15,MAIDUSD,0.4826,0.5095,0.4585,0.5053,96809.0,46718.44
2018-02-14,MAIDUSD,0.4103,0.4848,0.4072,0.4826,103690.0,45371.53
2018-02-13,MAIDUSD,0.4372,0.4395,0.4054,0.4103,100278.0,42365.61
2018-02-12,MAIDUSD,0.396,0.4602,0.396,0.4372,94968.0,41363.41
2018-02-11,MAIDUSD,0.4106,0.4202,0.3656,0.396,85425.0,33867.65
2018-02-10,MAIDUSD,0.4419,0.4771,0.3885,0.4106,103602.0,45174.51
2018-02-09,MAIDUSD,0.4138,0.4478,0.3815,0.4419,101190.0,41656.37
2018-02-08,MAIDUSD,0.3915,0.4421,0.3864,0.4138,102178.0,42686.5
2018-02-07,MAIDUSD,0.3917,0.4594,0.3553,0.3915,108041.0,43844.07
2018-02-06,MAIDUSD,0.3355,0.3983,0.2786,0.3917,130131.0,43300.74
2018-02-05,MAIDUSD,0.4006,0.4056,0.3206,0.3355,141110.0,50759.06
2018-02-04,MAIDUSD,0.4784,0.4933,0.3708,0.4006,113715.0,49533.27
2018-02-03,MAIDUSD,0.4393,0.4939,0.3981,0.4784,91207.0,41009.66
2018-02-02,MAIDUSD,0.4833,0.4858,0.3407,0.4393,122119.0,50810.3
2018-02-01,MAIDUSD,0.5862,0.59,0.4598,0.4833,105131.0,54171.15
2018-01-31,MAIDUSD,0.5855,0.6066,0.5453,0.5862,94357.0,54193.34
2018-01-30,MAIDUSD,0.6556,0.6592,0.5659,0.5855,95017.0,59245.13
2018-01-29,MAIDUSD,0.6992,0.7174,0.65,0.6556,82400.0,55809.55
2018-01-28,MAIDUSD,0.6946,0.72,0.6676,0.6992,88346.0,61479.91
2018-01-27,MAIDUSD,0.652,0.7034,0.626,0.6946,79021.0,52335.09
2018-01-26,MAIDUSD,0.6264,0.6645,0.5892,0.652,81851.0,51685.36
2018-01-25,MAIDUSD,0.6636,0.7054,0.5887,0.6264,44573.0,28969.17
2018-01-24,MAIDUSD,0.6608,0.6847,0.6315,0.6636,109387.0,71841.63
2018-01-23,MAIDUSD,0.7099,0.7497,0.6169,0.6608,105230.0,70631.72
2018-01-22,MAIDUSD,0.6693,0.7299,0.6216,0.7099,119090.0,79824.6
2018-01-21,MAIDUSD,0.7425,0.7465,0.6394,0.6693,79328.0,53817.37
2018-01-20,MAIDUSD,0.6876,0.8051,0.6851,0.7418,83687.0,62383.37
2018-01-19,MAIDUSD,0.6421,0.7321,0.6267,0.6876,90392.0,61913.19
2018-01-18,MAIDUSD,0.6656,0.7267,0.5297,0.6421,135506.0,86808.38
2018-01-17,MAIDUSD,0.6463,0.7224,0.5364,0.6656,94264.0,58807.6
2018-01-16,MAIDUSD,0.9644,0.9715,0.5261,0.6463,105143.0,79585.36
2018-01-15,MAIDUSD,0.9197,0.9984,0.8858,0.9644,61066.0,56846.31
2018-01-14,MAIDUSD,1.03,1.05,0.8316,0.9197,85481.0,78806.66
2018-01-13,MAIDUSD,0.8968,1.06,0.7819,1.03,109495.0,103650.32
2018-01-12,MAIDUSD,0.7868,0.9928,0.7526,0.8968,110177.0,93067.62
2018-01-11,MAIDUSD,1.03,1.04,0.7868,0.7868,136224.0,121412.8
2018-01-10,MAIDUSD,1.08,1.16,0.9291,1.03,108895.0,110948.64
2018-01-09,MAIDUSD,1.02,1.2,0.8272,1.08,250062.0,250502.79
2018-01-08,MAIDUSD,1.13,1.13,0.8669,1.02,121641.0,120281.91
2018-01-07,MAIDUSD,1.01,1.15,0.9454,1.13,110376.0,116128.07
2018-01-06,MAIDUSD,1.04,1.08,0.9718,1.01,126122.0,129783.74
2018-01-05,MAIDUSD,1.06,1.13,0.9416,1.04,94261.0,95877.19
2018-01-04,MAIDUSD,1.16,1.18,0.9686,1.06,85142.0,89606.05
2018-01-03,MAIDUSD,1.09,1.18,1.06,1.16,58800.0,65475.87
2018-01-02,MAIDUSD,1.04,1.19,0.9955,1.09,114334.0,125288.61
2018-01-01,MAIDUSD,0.9066,1.15,0.8805,1.04,97700.0,99714.06
2017-12-31,MAIDUSD,0.7632,0.9326,0.7398,0.9066,90247.0,75496.28
2017-12-30,MAIDUSD,0.8656,0.8681,0.7411,0.7632,77004.0,61632.67
2017-12-29,MAIDUSD,0.9152,0.9323,0.8206,0.8656,76363.0,67137.14
2017-12-28,MAIDUSD,0.9234,0.95,0.8031,0.9152,141353.0,124177.57
2017-12-27,MAIDUSD,0.8692,1.07,0.8479,0.9234,165394.0,151382.27
2017-12-26,MAIDUSD,0.8832,0.92,0.7947,0.8692,136550.0,117330.24
2017-12-25,MAIDUSD,0.7722,0.9327,0.7345,0.8832,349619.0,301287.41
2017-12-24,MAIDUSD,0.7698,0.7798,0.6211,0.7722,97221.0,69660.03
2017-12-23,MAIDUSD,0.6626,0.8278,0.6368,0.7698,110763.0,81525.77
2017-12-22,MAIDUSD,0.8002,0.8184,0.46,0.6626,144855.0,90912.8
2017-12-21,MAIDUSD,0.7637,0.8368,0.7041,0.8002,101084.0,78275.88
2017-12-20,MAIDUSD,0.6903,0.81,0.5424,0.7637,141503.0,97322.99
2017-12-19,MAIDUSD,0.7252,0.8367,0.6259,0.6903,191990.0,139358.41
2017-12-18,MAIDUSD,0.5882,0.75,0.5624,0.7252,165659.0,110071.15
2017-12-17,MAIDUSD,0.4534,0.621,0.441,0.5882,202663.0,103382.53
2017-12-16,MAIDUSD,0.4931,0.5007,0.4323,0.4534,271955.0,126920.86
2017-12-15,MAIDUSD,0.4586,0.5,0.423,0.4931,241636.0,110007.24
2017-12-14,MAIDUSD,0.4979,0.5223,0.42,0.4586,159376.0,74827.39
2017-12-13,MAIDUSD,0.5152,0.551,0.41,0.4979,228655.0,113778.29
2017-12-12,MAIDUSD,0.4466,0.555,0.4236,0.5152,155937.0,78598.81
2017-12-11,MAIDUSD,0.4304,0.494,0.3997,0.4466,166972.0,75617.8
2017-12-10,MAIDUSD,0.4798,0.4819,0.3893,0.4304,131228.0,56658.48
2017-12-09,MAIDUSD,0.5013,0.5212,0.4455,0.4798,145742.0,70331.26
2017-12-08,MAIDUSD,0.4836,0.5315,0.396,0.5013,136274.0,63212.2
2017-12-07,MAIDUSD,0.5461,0.59,0.451,0.4836,145894.0,75739.54
2017-12-06,MAIDUSD,0.619,0.6432,0.4946,0.5461,126347.0,73531.05
2017-12-05,MAIDUSD,0.5797,0.66,0.5638,0.619,114836.0,69217.89
2017-12-04,MAIDUSD,0.5331,0.5941,0.523,0.5797,105423.0,59121.06
2017-12-03,MAIDUSD,0.4988,0.58,0.4936,0.5331,149331.0,80189.66
2017-12-02,MAIDUSD,0.495,0.5369,0.4757,0.4988,92947.0,46646.13
2017-12-01,MAIDUSD,0.4688,0.5196,0.4406,0.495,122926.0,59644.37
2017-11-30,MAIDUSD,0.4588,0.529,0.4108,0.4688,108345.0,49729.1
2017-11-29,MAIDUSD,0.5545,0.5695,0.4136,0.4588,182782.0,94130.52
2017-11-28,MAIDUSD,0.4969,0.5689,0.4814,0.5545,175073.0,89672.91
2017-11-27,MAIDUSD,0.4529,0.5,0.4486,0.4969,147695.0,70692.96
2017-11-26,MAIDUSD,0.4781,0.4909,0.44,0.4529,198739.0,93159.72
2017-11-25,MAIDUSD,0.4542,0.4819,0.4448,0.4781,128190.0,59475.89
2017-11-24,MAIDUSD,0.4592,0.4838,0.4319,0.4542,138983.0,63104.34
2017-11-23,MAIDUSD,0.4219,0.4745,0.4048,0.4592,191315.0,85734.86
2017-11-22,MAIDUSD,0.412,0.45,0.4058,0.4219,184749.0,78605.9
2017-11-21,MAIDUSD,0.3891,0.4155,0.37,0.412,192993.0,76030.63
2017-11-20,MAIDUSD,0.3918,0.404,0.38,0.3891,217971.0,85461.74
2017-11-19,MAIDUSD,0.3961,0.4162,0.3828,0.3918,242080.0,96667.68
2017-11-18,MAIDUSD,0.3785,0.41,0.3699,0.3961,264905.0,104412.88
2017-11-17,MAIDUSD,0.3917,0.4,0.3604,0.3785,202619.0,77469.89
2017-11-16,MAIDUSD,0.3976,0.4255,0.3906,0.3917,193379.0,79035.13
2017-11-15,MAIDUSD,0.402,0.4264,0.3889,0.3976,208637.0,85422.52
2017-11-14,MAIDUSD,0.3979,0.419,0.3795,0.402,193358.0,78029.13
2017-11-13,MAIDUSD,0.3896,0.4306,0.376,0.3979,139389.0,56592.02
2017-11-12,MAIDUSD,0.4023,0.4255,0.3509,0.3896,195705.0,75860.06
2017-11-11,MAIDUSD,0.417,0.4343,0.3635,0.4023,183095.0,74133.07
2017-11-10,MAIDUSD,0.4671,0.4701,0.39,0.417,243947.0,108091.79
2017-11-09,MAIDUSD,0.4436,0.506,0.4291,0.4671,173597.0,82145.55
2017-11-08,MAIDUSD,0.3742,0.45,0.3697,0.4436,269110.0,109154.28
2017-11-07,MAIDUSD,0.3489,0.3883,0.3421,0.3742,239001.0,87669.09
2017-11-06,MAIDUSD,0.3272,0.3799,0.32,0.3489,277142.0,93664.21
2017-11-05,MAIDUSD,0.3329,0.4,0.323,0.3272,264673.0,90755.8
2017-11-04,MAIDUSD,0.3239,0.3458,0.3028,0.3329,214071.0,69845.8
2017-11-03,MAIDUSD,0.3306,0.3458,0.3015,0.3239,252291.0,82404.36
2017-11-02,MAIDUSD,0.3783,0.3794,0.27,0.3306,266086.0,87163.76
2017-11-01,MAIDUSD,0.3873,0.4046,0.3394,0.3783,255298.0,95464.05
2017-10-31,MAIDUSD,0.3581,0.3896,0.3553,0.3873,188800.0,70325.57
2017-10-30,MAIDUSD,0.3625,0.3694,0.3429,0.3581,407249.0,146726.61
2017-10-29,MAIDUSD,0.3502,0.3737,0.3422,0.3625,1680402.0,605948.0
2017-10-28,MAIDUSD,0.3425,0.3549,0.3317,0.3502,454953.0,156722.44
2017-10-27,MAIDUSD,0.3487,0.3602,0.3326,0.3425,533538.0,184462.86
2017-10-26,MAIDUSD,0.3595,0.3769,0.3311,0.3487,623438.0,220166.86
2017-10-25,MAIDUSD,0.353,0.3731,0.321,0.3595,753833.0,261537.81
2017-10-24,MAIDUSD,0.3195,0.3893,0.3107,0.353,839604.0,302535.04
2017-10-23,MAIDUSD,0.3368,0.3524,0.3118,0.3195,534543.0,177596.89
2017-10-22,MAIDUSD,0.3457,0.3563,0.3253,0.3368,505555.0,173914.85
2017-10-21,MAIDUSD,0.3722,0.3759,0.302,0.3457,809282.0,277115.8
2017-10-20,MAIDUSD,0.3763,0.4036,0.3538,0.3722,529656.0,197537.44
2017-10-19,MAIDUSD,0.3895,0.403,0.358,0.3763,486678.0,187621.61
2017-10-18,MAIDUSD,0.3968,0.405,0.3607,0.3895,600676.0,231746.45
2017-10-17,MAIDUSD,0.4076,0.4199,0.379,0.3968,454857.0,181507.64
2017-10-16,MAIDUSD,0.387,0.4303,0.3817,0.4076,456150.0,186035.64
2017-10-15,MAIDUSD,0.3891,0.4017,0.358,0.387,517030.0,198618.36
2017-10-14,MAIDUSD,0.3853,0.4163,0.3705,0.3891,519578.0,204208.78
2017-10-13,MAIDUSD,0.3865,0.4181,0.345,0.3853,669553.0,253333.92
2017-10-12,MAIDUSD,0.4033,0.4135,0.3656,0.3865,552230.0,217479.95
2017-10-11,MAIDUSD,0.4066,0.4248,0.3805,0.4033,681230.0,275051.26
2017-10-10,MAIDUSD,0.4009,0.4291,0.3808,0.4066,578910.0,233534.29
2017-10-09,MAIDUSD,0.418,0.4453,0.3863,0.4009,504731.0,210601.25
2017-10-08,MAIDUSD,0.4585,0.4644,0.39,0.418,442376.0,194922.47
2017-10-07,MAIDUSD,0.4695,0.4724,0.4301,0.4585,427823.0,193674.41
2017-10-06,MAIDUSD,0.4406,0.473,0.3767,0.4695,442742.0,202628.34
2017-10-05,MAIDUSD,0.4499,0.4554,0.425,0.4406,318565.0,141011.2
2017-10-04,MAIDUSD,0.4498,0.5,0.4107,0.4499,444161.0,206596.57
2017-10-03,MAIDUSD,0.4526,0.493,0.44,0.4498,337322.0,154789.21
2017-10-02,MAIDUSD,0.4646,0.4947,0.449,0.4526,213551.0,98451.52
2017-10-01,MAIDUSD,0.4881,0.4946,0.457,0.4646,192713.0,92008.07
2017-09-30,MAIDUSD,0.4873,0.506,0.4758,0.4881,177119.0,86845.9
2017-09-29,MAIDUSD,0.497,0.5084,0.4265,0.4873,238623.0,114122.39
2017-09-28,MAIDUSD,0.5096,0.5346,0.4758,0.497,189279.0,95689.04
2017-09-27,MAIDUSD,0.4934,0.5278,0.4843,0.5096,175853.0,89018.17
2017-09-26,MAIDUSD,0.4957,0.5093,0.4903,0.4934,166741.0,83082.25
2017-09-25,MAIDUSD,0.4746,0.5228,0.4708,0.4957,183113.0,89582.34
2017-09-24,MAIDUSD,0.4801,0.5045,0.4663,0.4746,185742.0,89544.46
2017-09-23,MAIDUSD,0.4649,0.5048,0.4369,0.4801,206690.0,98979.78
2017-09-22,MAIDUSD,0.5089,0.5246,0.46,0.4649,212406.0,101847.89
2017-09-21,MAIDUSD,0.5722,0.5788,0.4556,0.5089,236502.0,123950.18
2017-09-20,MAIDUSD,0.5608,0.5786,0.5212,0.5722,173603.0,95513.81
2017-09-19,MAIDUSD,0.5819,0.5882,0.5309,0.5608,141780.0,80034.3
2017-09-18,MAIDUSD,0.5178,0.59,0.5148,0.5819,133285.0,75089.23
2017-09-17,MAIDUSD,0.535,0.574,0.4721,0.5178,221769.0,116365.71
2017-09-16,MAIDUSD,0.5288,0.5818,0.5016,0.535,93031.0,49602.04
2017-09-15,MAIDUSD,0.418,0.5834,0.3467,0.5288,208373.0,95306.31
