Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume JPY
2019-06-29 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-29 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
