Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ZAR
2015-09-12,BTCZAR,3596,3623,3583,3584,53.9,193617.96
2015-09-11,BTCZAR,3611,3647,3579,3600,35.33,127926.37
2015-09-10,BTCZAR,3617,3652,3580,3611,55.64,201792.36
2015-09-09,BTCZAR,3507,3625,3480,3617,101.06,359941.66
2015-09-08,BTCZAR,3611,3659,3507,3507,112.37,407457.26
2015-09-07,BTCZAR,3570,3615,3501,3611,74.23,266230.95
2015-09-06,BTCZAR,3504,3582,3489,3570,58.65,208760.71
2015-09-05,BTCZAR,3367,3595,3344,3504,68.18,235505.66
2015-09-04,BTCZAR,3277,3367,3235,3367,87.81,290081.52
2015-09-03,BTCZAR,3301,3333,3271,3277,98.46,324656.81
2015-09-02,BTCZAR,3331,3359,3281,3301,71.19,235545.35
2015-09-01,BTCZAR,3271,3390,3271,3331,71.9,239391.12
2015-08-31,BTCZAR,3323,3360,3241,3271,82.09,271341.79
2015-08-30,BTCZAR,3399,3399,3245,3323,55.5,183802.01
2015-08-29,BTCZAR,3330,3399,3317,3399,58.82,198129.68
2015-08-28,BTCZAR,3252,3330,3221,3330,114.52,375149.84
2015-08-27,BTCZAR,3261,3279,3249,3252,132.26,430548.95
2015-08-26,BTCZAR,3200,3390,3198,3261,134.32,437354.3
2015-08-25,BTCZAR,3100,3239,2980,3200,141.98,440389.13
2015-08-24,BTCZAR,3190,3336,3021,3100,183.24,580152.54
2015-08-23,BTCZAR,3181,3200,3179,3190,28.67,91497.79
2015-08-22,BTCZAR,3312,3388,3180,3181,93.38,305580.26
2015-08-21,BTCZAR,3395,3440,3312,3312,128.31,433845.8
2015-08-20,BTCZAR,3276,3398,3256,3395,49.3,164675.23
2015-08-19,BTCZAR,3547,3570,3150,3276,218.91,739022.01
2015-08-18,BTCZAR,3576,3674,3401,3547,94.98,339158.47
2015-08-17,BTCZAR,3650,3694,3550,3576,104.17,376938.15
2015-08-16,BTCZAR,3747,3747,3650,3650,74.24,273080.67
2015-08-15,BTCZAR,3763,3785,3720,3747,56.82,213244.73
2015-08-14,BTCZAR,3727,3770,3700,3763,112.65,421410.92
2015-08-13,BTCZAR,3754,3785,3667,3727,47.21,175317.29
2015-08-12,BTCZAR,3784,3839,3744,3754,106.43,404762.92
2015-08-11,BTCZAR,3760,3809,3625,3784,76.95,288915.76
2015-08-10,BTCZAR,3830,3893,3751,3760,31.62,120830.73
2015-08-09,BTCZAR,3860,3899,3780,3830,64.07,245082.91
2015-08-08,BTCZAR,3955,4029,3860,3860,82.75,325687.26
2015-08-07,BTCZAR,3989,4030,3923,3955,78.36,309884.6
2015-08-06,BTCZAR,3973,4029,3960,3989,69.73,277503.36
2015-08-05,BTCZAR,4006,4181,3950,3973,70.06,280984.85
2015-08-04,BTCZAR,3998,4088,3969,4006,70.88,283595.55
2015-08-03,BTCZAR,3950,4049,3918,3998,48.5,192015.66
2015-08-02,BTCZAR,3955,4080,3916,3950,10.02,39938.94
2015-08-01,BTCZAR,4175,4175,3884,3955,25.74,102999.91
2015-07-31,BTCZAR,3928,4175,3890,4175,77.04,308319.95
2015-07-30,BTCZAR,4031,4032,3806,3928,85.62,338492.91
2015-07-29,BTCZAR,4127,4159,4002,4031,118.92,482634.42
2015-07-28,BTCZAR,4034,4228,3984,4127,124.91,514110.02
2015-07-27,BTCZAR,3975,4034,3957,4034,79.22,316065.67
2015-07-26,BTCZAR,3941,3979,3941,3975,12.37,49110.64
2015-07-25,BTCZAR,3888,4000,3870,3941,61.31,240915.49
2015-07-24,BTCZAR,3726,3938,3726,3888,107.92,415191.43
2015-07-23,BTCZAR,3721,3807,3721,3726,109.98,414402.25
2015-07-22,BTCZAR,3873,3880,3706,3721,68.37,257686.52
2015-07-21,BTCZAR,3763,3893,3763,3805,78.49,299128.09
2015-07-20,BTCZAR,3762,3840,3756,3763,65.98,250386.41
2015-07-19,BTCZAR,3801,3805,3754,3762,38.88,147313.78
2015-07-18,BTCZAR,3810,3847,3772,3801,14.81,56552.12
2015-07-17,BTCZAR,3792,3816,3708,3810,65.72,247666.9
2015-07-16,BTCZAR,3985,3985,3750,3792,108.54,422591.2
2015-07-15,BTCZAR,3991,3991,3880,3985,57.35,225487.25
2015-07-14,BTCZAR,3940,4021,3900,3991,64.93,257579.2
2015-07-13,BTCZAR,4185,4221,3856,3940,55.81,222118.39
2015-07-12,BTCZAR,4015,4200,3975,4185,36.73,150184.38
2015-07-11,BTCZAR,3898,4050,3898,4015,29.99,119546.06
2015-07-10,BTCZAR,3601,3995,3601,3898,73.24,276483.88
2015-07-09,BTCZAR,3725,3750,3601,3601,98.17,362858.8
