Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume HVN,Volume BTC
2018-06-27 06-PM,HVNBTC,6.97e-06,6.97e-06,6.84e-06,6.93e-06,30010.0,0.2058
2018-06-27 05-PM,HVNBTC,6.85e-06,6.97e-06,6.85e-06,6.97e-06,10.0,6.97e-05
2018-06-27 04-PM,HVNBTC,7.02e-06,7.02e-06,6.85e-06,6.85e-06,6800.0,0.04659
2018-06-27 03-PM,HVNBTC,6.84e-06,7.02e-06,6.78e-06,7.02e-06,1820.0,0.01239
2018-06-27 02-PM,HVNBTC,6.92e-06,7.01e-06,6.84e-06,6.84e-06,6770.0,0.04655
2018-06-27 01-PM,HVNBTC,6.61e-06,7.03e-06,6.45e-06,6.92e-06,13601100.0,93.56
2018-06-27 12-PM,HVNBTC,6.91e-06,6.91e-06,6.26e-06,6.61e-06,150390.0,0.9843
2018-06-27 11-AM,HVNBTC,6.91e-06,6.91e-06,6.91e-06,6.91e-06,0.0,0.0
2018-06-27 10-AM,HVNBTC,6.9e-06,6.91e-06,6.9e-06,6.91e-06,2140.0,0.01479
2018-06-27 09-AM,HVNBTC,6.9e-06,6.9e-06,6.83e-06,6.9e-06,780.0,0.005374
2018-06-27 08-AM,HVNBTC,6.81e-06,6.9e-06,6.81e-06,6.9e-06,6850.0,0.04673
2018-06-27 07-AM,HVNBTC,6.75e-06,6.81e-06,6.75e-06,6.81e-06,250.0,0.001703
2018-06-27 06-AM,HVNBTC,6.75e-06,6.75e-06,6.75e-06,6.75e-06,0.0,0.0
2018-06-27 05-AM,HVNBTC,6.75e-06,6.75e-06,6.75e-06,6.75e-06,0.0,0.0
2018-06-27 04-AM,HVNBTC,6.9e-06,6.9e-06,6.72e-06,6.75e-06,18460.0,0.1251
2018-06-27 03-AM,HVNBTC,6.81e-06,6.9e-06,6.81e-06,6.9e-06,1500.0,0.01035
2018-06-27 02-AM,HVNBTC,6.81e-06,6.81e-06,6.81e-06,6.81e-06,0.0,0.0
2018-06-27 01-AM,HVNBTC,6.96e-06,6.96e-06,6.81e-06,6.81e-06,2490.0,0.01697
2018-06-27 12-AM,HVNBTC,6.82e-06,6.96e-06,6.82e-06,6.96e-06,2920.0,0.02027
2018-06-26 11-PM,HVNBTC,6.8e-06,6.82e-06,6.8e-06,6.82e-06,200.0,0.001364
2018-06-26 10-PM,HVNBTC,6.8e-06,6.8e-06,6.8e-06,6.8e-06,0.0,0.0
2018-06-26 09-PM,HVNBTC,6.8e-06,6.8e-06,6.8e-06,6.8e-06,0.0,0.0
2018-06-26 08-PM,HVNBTC,6.86e-06,6.86e-06,6.8e-06,6.8e-06,5650.0,0.03855
2018-06-26 07-PM,HVNBTC,6.85e-06,6.86e-06,6.85e-06,6.86e-06,1250.0,0.008575
2018-06-26 06-PM,HVNBTC,6.95e-06,7.04e-06,6.85e-06,6.85e-06,23310.0,0.1611
2018-06-26 05-PM,HVNBTC,7.14e-06,7.14e-06,6.95e-06,6.95e-06,245090.0,1.71
2018-06-26 04-PM,HVNBTC,7.06e-06,7.14e-06,7.06e-06,7.14e-06,350.0,0.002482
2018-06-26 03-PM,HVNBTC,7.37e-06,7.37e-06,7.06e-06,7.06e-06,15440.0,0.11
2018-06-26 02-PM,HVNBTC,7.36e-06,7.37e-06,7.2e-06,7.37e-06,2850.0,0.02092
2018-06-26 01-PM,HVNBTC,7.2e-06,7.36e-06,7.12e-06,7.36e-06,8240.0,0.05899
2018-06-26 12-PM,HVNBTC,7.2e-06,7.2e-06,7.2e-06,7.2e-06,0.0,0.0
2018-06-26 11-AM,HVNBTC,7.25e-06,7.25e-06,7.2e-06,7.2e-06,4000.0,0.0288
2018-06-26 10-AM,HVNBTC,7.39e-06,7.39e-06,7.24e-06,7.25e-06,7230.0,0.0524
2018-06-26 09-AM,HVNBTC,7.39e-06,7.39e-06,7.39e-06,7.39e-06,0.0,0.0
2018-06-26 08-AM,HVNBTC,7.39e-06,7.39e-06,7.39e-06,7.39e-06,750.0,0.005542
2018-06-26 07-AM,HVNBTC,6.93e-06,7.39e-06,6.93e-06,7.39e-06,10527780.0,77.59
2018-06-26 06-AM,HVNBTC,6.93e-06,6.93e-06,6.93e-06,6.93e-06,0.0,0.0
2018-06-26 05-AM,HVNBTC,6.96e-06,6.96e-06,6.93e-06,6.93e-06,440.0,0.00305
2018-06-26 04-AM,HVNBTC,6.96e-06,6.96e-06,6.96e-06,6.96e-06,0.0,0.0
2018-06-26 03-AM,HVNBTC,6.98e-06,6.98e-06,6.96e-06,6.96e-06,7280.0,0.05067
2018-06-26 02-AM,HVNBTC,7.22e-06,7.22e-06,6.98e-06,6.98e-06,200.0,0.001402
2018-06-26 01-AM,HVNBTC,7.22e-06,7.22e-06,7.22e-06,7.22e-06,0.0,0.0
2018-06-26 12-AM,HVNBTC,7.22e-06,7.22e-06,7.22e-06,7.22e-06,0.0,0.0
