Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume PLN
2019-06-28 02-PM,LTCPLN,461,461,460.91,460.91,1.47,677.74
2019-06-28 01-PM,LTCPLN,453.84,462.94,440,461,11.72,5354.87
2019-06-28 12-PM,LTCPLN,445,453.84,445,453.84,16.14,7263.24
2019-06-28 11-AM,LTCPLN,441.99,445,441.99,445,11.89,5270.59
2019-06-28 10-AM,LTCPLN,441.96,442,430.12,441.99,38.92,17130.26
2019-06-28 09-AM,LTCPLN,439,442,439,441.96,4.105,1814.2
2019-06-28 08-AM,LTCPLN,427,439,427,439,45.07,19485.31
2019-06-28 07-AM,LTCPLN,438.93,438.93,416,427,11.17,4874.32
2019-06-28 06-AM,LTCPLN,425,439.28,425,438.93,0.218,95.68
2019-06-28 05-AM,LTCPLN,425,425,425,425,0.0,0.0
2019-06-28 04-AM,LTCPLN,425,425,425,425,0.0,0.0
2019-06-28 03-AM,LTCPLN,425,425,425,425,16.64,7071.19
2019-06-28 02-AM,LTCPLN,425,425,425,425,0.0,0.0
2019-06-28 01-AM,LTCPLN,425,425,425,425,0.0,0.0
2019-06-28 12-AM,LTCPLN,425,425,425,425,0.0,0.0
2019-06-27 11-PM,LTCPLN,425,425,425,425,0.0,0.0
2019-06-27 10-PM,LTCPLN,414.11,425,414.11,425,1.639,696.47
2019-06-27 09-PM,LTCPLN,414,438.77,414,414.11,6.901,2944.14
2019-06-27 08-PM,LTCPLN,420,442,412,414,25.73,10761.02
2019-06-27 07-PM,LTCPLN,423,442,420,420,12.02,5089.03
2019-06-27 06-PM,LTCPLN,421,423,421,423,0.1336,56.52
2019-06-27 05-PM,LTCPLN,430,430,421,421,18.8,7918.26
2019-06-27 04-PM,LTCPLN,448.5,453.84,430,430,42.24,18495.88
2019-06-27 03-PM,LTCPLN,446.12,448.5,431.38,448.5,29.9,13122.38
2019-06-27 02-PM,LTCPLN,432,446.12,418.25,446.12,25.52,10783.33
2019-06-27 01-PM,LTCPLN,439,449.68,432,432,137.71,61205.31
2019-06-27 12-PM,LTCPLN,449,449,439,439,0.0875,38.41
2019-06-27 11-AM,LTCPLN,430,449,430,449,34.22,15142.18
2019-06-27 10-AM,LTCPLN,410,430,410,430,7.989,3435.47
2019-06-27 09-AM,LTCPLN,430.51,435,387.91,410,214.28,87218.97
2019-06-27 08-AM,LTCPLN,435.1,449.54,430.51,430.51,61.19,26925.87
2019-06-27 07-AM,LTCPLN,435.01,446.25,435.01,435.1,9.57,4241.7
2019-06-27 06-AM,LTCPLN,471,471,435,435.01,141.4,63643.82
2019-06-27 05-AM,LTCPLN,487.67,487.67,468,471,5.43,2555.54
2019-06-27 04-AM,LTCPLN,487.67,487.67,487.67,487.67,0.0,0.0
2019-06-27 03-AM,LTCPLN,465,487.67,465,487.67,1.081,527.21
2019-06-27 02-AM,LTCPLN,465,465,465,465,0.0,0.0
2019-06-27 01-AM,LTCPLN,465,465,465,465,0.0,0.0
2019-06-27 12-AM,LTCPLN,465,465,465,465,0.0,0.0
2019-06-26 11-PM,LTCPLN,489.82,489.82,465,465,2.288,1065.57
2019-06-26 10-PM,LTCPLN,480,489.82,462,489.82,2.099,975.77
2019-06-26 09-PM,LTCPLN,485.02,499.93,461.13,480,59.31,28113.2
2019-06-26 08-PM,LTCPLN,500,509.26,475.68,485.02,150.4,73147.57
2019-06-26 07-PM,LTCPLN,501.01,509.67,500,500,13.68,6853.11
2019-06-26 06-PM,LTCPLN,505.21,510,501.01,501.01,9.985,5045.14
2019-06-26 05-PM,LTCPLN,510,510,505.21,505.21,40.01,20213.75
2019-06-26 04-PM,LTCPLN,510,510,505.22,510,28.76,14659.08
2019-06-26 03-PM,LTCPLN,505.21,510,505.21,510,43.6,22220.94
2019-06-26 02-PM,LTCPLN,510,510,500.83,505.21,20.98,10586.22
2019-06-26 01-PM,LTCPLN,510,510,500.6,510,43.09,21952.91
2019-06-26 12-PM,LTCPLN,510,510,510,510,73.17,37316.46
2019-06-26 11-AM,LTCPLN,509.51,510,509.51,510,10.46,5333.95
2019-06-26 10-AM,LTCPLN,500.6,509.51,500.6,509.51,89.02,45355.97
2019-06-26 09-AM,LTCPLN,509.4,509.51,500.6,500.6,15.14,7707.7
2019-06-26 08-AM,LTCPLN,499,509.51,497,509.4,3.994,2029.31
2019-06-26 07-AM,LTCPLN,505,507,499,499,5.854,2946.58
2019-06-26 06-AM,LTCPLN,502.9,505,502.9,505,1.286,649.25
2019-06-26 05-AM,LTCPLN,512.97,512.97,502.9,502.9,2.457,1258.85
2019-06-26 04-AM,LTCPLN,512.97,512.97,512.97,512.97,0.0,0.0
2019-06-26 03-AM,LTCPLN,512.97,512.97,512.97,512.97,0.0,0.0
2019-06-26 02-AM,LTCPLN,512.97,512.97,512.97,512.97,0.0,0.0
2019-06-26 01-AM,LTCPLN,512.97,512.97,512.97,512.97,0.0,0.0
2019-06-26 12-AM,LTCPLN,512.97,512.97,512.97,512.97,0.0,0.0
2019-06-25 11-PM,LTCPLN,510,512.97,510,512.97,1.045,536.05
2019-06-25 10-PM,LTCPLN,498,510,496,510,37.36,18744.57
2019-06-25 09-PM,LTCPLN,499,499,498,498,1.083,539.25
2019-06-25 08-PM,LTCPLN,500,500,499,499,0.4415,220.3
2019-06-25 07-PM,LTCPLN,502,502,500,500,1.313,656.5
2019-06-25 06-PM,LTCPLN,497.5,502,497.4,502,12.18,6084.3
2019-06-25 05-PM,LTCPLN,500,500.5,497.5,497.5,12.18,6074.1
2019-06-25 04-PM,LTCPLN,497.5,504.81,497.5,500,0.6582,329.25
2019-06-25 03-PM,LTCPLN,500,500,497.5,497.5,0.2162,107.57
2019-06-25 02-PM,LTCPLN,492,500,492,500,0.8158,406.7
2019-06-25 01-PM,LTCPLN,497,500,492,492,4.921,2430.98
2019-06-25 12-PM,LTCPLN,505.8,505.8,492,497,23.61,11750.57
2019-06-25 11-AM,LTCPLN,513.87,513.87,505.03,505.8,8.447,4267.34
2019-06-25 10-AM,LTCPLN,513.87,513.87,513.87,513.87,155.97,80145.9
2019-06-25 09-AM,LTCPLN,500,513.87,500,513.87,39.49,20290.18
2019-06-25 08-AM,LTCPLN,509.98,514,500,500,5.402,2709.78
2019-06-25 07-AM,LTCPLN,512,513.62,509.98,509.98,0.7772,397.3
2019-06-25 06-AM,LTCPLN,512,512,512,512,0.0,0.0
2019-06-25 05-AM,LTCPLN,512,512,512,512,0.0,0.0
2019-06-25 04-AM,LTCPLN,512,512,512,512,0.0,0.0
2019-06-25 03-AM,LTCPLN,512,512,512,512,0.0,0.0
2019-06-25 02-AM,LTCPLN,512,512,512,512,0.0,0.0
2019-06-25 01-AM,LTCPLN,512,512,512,512,0.0,0.0
2019-06-25 12-AM,LTCPLN,504.01,512,504.01,512,10.33,5289.75
2019-06-24 11-PM,LTCPLN,504.01,504.01,504.01,504.01,0.0,0.0
2019-06-24 10-PM,LTCPLN,501,504.01,501,504.01,1.259,634.42
2019-06-24 09-PM,LTCPLN,502.5,502.5,501,501,3.735,1871.18
2019-06-24 08-PM,LTCPLN,501.31,503,501.31,502.5,1.988,999.51
2019-06-24 07-PM,LTCPLN,504.26,504.26,501.31,501.31,4.151,2084.87
2019-06-24 06-PM,LTCPLN,507,507,504.26,504.26,4.77,2415.46
2019-06-24 05-PM,LTCPLN,515.1,515.1,507,507,2.214,1129.35
2019-06-24 04-PM,LTCPLN,509.9,515.97,509.89,515.1,15.82,8140.45
2019-06-24 03-PM,LTCPLN,509.94,509.94,509.9,509.9,0.9807,500.04
2019-06-24 02-PM,LTCPLN,509.96,509.96,509.94,509.94,1.177,600.0
2019-06-24 01-PM,LTCPLN,509.99,509.99,509.96,509.96,0.1,51.0
2019-06-24 12-PM,LTCPLN,509.99,509.99,509.99,509.99,0.0,0.0
2019-06-24 11-AM,LTCPLN,510,510,501.2,509.99,36.87,18663.88
2019-06-24 10-AM,LTCPLN,510,510,510,510,7.084,3612.61
2019-06-24 09-AM,LTCPLN,510,510,506.21,510,0.6314,320.19
2019-06-24 08-AM,LTCPLN,510,510,510,510,1.613,822.49
2019-06-24 07-AM,LTCPLN,505,510,504,510,8.433,4296.35
2019-06-24 06-AM,LTCPLN,510,510,505,505,1.52,767.7
2019-06-24 05-AM,LTCPLN,504.01,510,504.01,510,0.1325,67.54
2019-06-24 04-AM,LTCPLN,507.9,507.9,504.01,504.01,1.346,679.68
