Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume VEN,Volume ETH
2018-04-22,VENETH,0.00639,0.006455,0.006196,0.006249,24598.35,155.08
2018-04-21,VENETH,0.0065,0.00656,0.006242,0.00639,24306.86,155.62
2018-04-20,VENETH,0.006613,0.006681,0.006398,0.0065,27392.58,178.15
2018-04-19,VENETH,0.006821,0.006886,0.0066,0.006613,22425.43,151.01
2018-04-18,VENETH,0.006584,0.00696,0.00648,0.006821,21173.63,140.58
2018-04-17,VENETH,0.00654,0.006683,0.00653,0.006584,22302.35,146.94
2018-04-16,VENETH,0.006731,0.006835,0.00648,0.00654,20818.33,137.76
2018-04-15,VENETH,0.006606,0.006781,0.006525,0.006731,19574.35,129.47
2018-04-14,VENETH,0.006666,0.006731,0.00649,0.006606,20775.13,137.33
2018-04-13,VENETH,0.006933,0.006952,0.006545,0.006666,32132.91,216.41
2018-04-12,VENETH,0.006582,0.007007,0.0065,0.006933,31708.48,213.55
2018-04-11,VENETH,0.00656,0.006845,0.006497,0.006582,34975.28,231.7
2018-04-10,VENETH,0.006438,0.006904,0.006397,0.00656,35923.48,238.11
2018-04-09,VENETH,0.006357,0.006865,0.006077,0.006438,39114.49,250.78
2018-04-08,VENETH,0.00657,0.006611,0.006296,0.006357,32098.4,206.35
2018-04-07,VENETH,0.006383,0.006865,0.006363,0.00657,34517.84,226.58
2018-04-06,VENETH,0.006325,0.00648,0.006297,0.006383,31154.15,198.96
2018-04-05,VENETH,0.006558,0.006629,0.006302,0.006325,35220.71,226.04
2018-04-04,VENETH,0.006991,0.007014,0.006528,0.006558,25333.87,170.35
2018-04-03,VENETH,0.00703,0.007877,0.0069,0.006991,30990.11,223.88
2018-04-02,VENETH,0.005885,0.0078,0.005821,0.00703,33101.23,232.6
2018-04-01,VENETH,0.005998,0.006147,0.005861,0.005885,16664.76,99.9
2018-03-31,VENETH,0.005948,0.006129,0.005793,0.005998,15284.72,91.27
