Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume AST,Volume BTC
2018-08-04,ASTBTC,1.428e-05,1.49e-05,1.4e-05,1.425e-05,1144070.0,16.52
2018-08-03,ASTBTC,1.503e-05,1.51e-05,1.38e-05,1.428e-05,1855511.0,26.82
2018-08-02,ASTBTC,1.617e-05,1.636e-05,1.5e-05,1.503e-05,1052069.0,16.3
2018-08-01,ASTBTC,1.651e-05,1.756e-05,1.609e-05,1.617e-05,1219412.0,20.22
2018-07-31,ASTBTC,1.715e-05,1.735e-05,1.637e-05,1.651e-05,828575.0,13.92
2018-07-30,ASTBTC,1.898e-05,1.902e-05,1.703e-05,1.715e-05,988206.0,17.72
2018-07-29,ASTBTC,1.816e-05,2.008e-05,1.804e-05,1.898e-05,3282358.0,62.68
2018-07-28,ASTBTC,1.807e-05,1.849e-05,1.76e-05,1.816e-05,808454.0,14.48
2018-07-27,ASTBTC,1.771e-05,1.959e-05,1.763e-05,1.807e-05,1054281.0,19.06
2018-07-26,ASTBTC,1.876e-05,1.954e-05,1.756e-05,1.771e-05,1978597.0,36.9
2018-07-25,ASTBTC,1.719e-05,2.017e-05,1.682e-05,1.876e-05,3366382.0,61.87
2018-07-24,ASTBTC,1.876e-05,1.883e-05,1.67e-05,1.719e-05,1945763.0,33.75
2018-07-23,ASTBTC,1.949e-05,1.981e-05,1.858e-05,1.876e-05,1126951.0,21.51
2018-07-22,ASTBTC,1.962e-05,2.049e-05,1.941e-05,1.949e-05,1488429.0,29.63
2018-07-21,ASTBTC,1.896e-05,1.98e-05,1.822e-05,1.962e-05,1199684.0,22.85
2018-07-20,ASTBTC,2.163e-05,2.163e-05,1.865e-05,1.896e-05,2111418.0,41.94
2018-07-19,ASTBTC,2.302e-05,2.329e-05,2.091e-05,2.163e-05,1963641.0,43.17
2018-07-18,ASTBTC,2.186e-05,2.38e-05,2.167e-05,2.302e-05,4224393.0,96.22
2018-07-17,ASTBTC,2.282e-05,2.325e-05,2.142e-05,2.186e-05,1611691.0,35.92
2018-07-16,ASTBTC,2.315e-05,2.374e-05,2.15e-05,2.282e-05,3619635.0,81.34
2018-07-15,ASTBTC,2.214e-05,2.504e-05,2.163e-05,2.315e-05,3130781.0,73.03
2018-07-14,ASTBTC,2.254e-05,2.289e-05,2.157e-05,2.214e-05,1731312.0,38.35
2018-07-13,ASTBTC,2.345e-05,2.474e-05,2.228e-05,2.254e-05,2643489.0,62.65
2018-07-12,ASTBTC,2.617e-05,2.642e-05,2.3e-05,2.345e-05,5292917.0,127.9
2018-07-11,ASTBTC,2.657e-05,2.795e-05,2.489e-05,2.617e-05,9746816.0,254.97
2018-07-10,ASTBTC,3.19e-05,3.681e-05,2.621e-05,2.657e-05,29921727.0,949.49
2018-07-09,ASTBTC,2.364e-05,3.96e-05,2.34e-05,3.19e-05,35116499.0,1139.66
2018-07-08,ASTBTC,2.25e-05,2.488e-05,2.234e-05,2.364e-05,3809453.0,89.96
2018-07-07,ASTBTC,2.201e-05,2.339e-05,2.175e-05,2.25e-05,1144800.0,25.64
2018-07-06,ASTBTC,2.383e-05,2.449e-05,2.11e-05,2.201e-05,1931682.0,43.26
2018-07-05,ASTBTC,2.381e-05,2.499e-05,2.215e-05,2.383e-05,2253073.0,52.37
2018-07-04,ASTBTC,2.325e-05,2.58e-05,2.148e-05,2.381e-05,3463924.0,82.27
2018-07-03,ASTBTC,2.42e-05,2.454e-05,2.223e-05,2.325e-05,2793143.0,65.77
2018-07-02,ASTBTC,2.344e-05,2.835e-05,2.225e-05,2.42e-05,7419940.0,184.44
2018-07-01,ASTBTC,2.039e-05,2.835e-05,2.02e-05,2.344e-05,5923768.0,141.58
2018-06-30,ASTBTC,1.986e-05,2.21e-05,1.975e-05,2.039e-05,2397620.0,49.74
2018-06-29,ASTBTC,1.991e-05,2.026e-05,1.911e-05,1.986e-05,952296.0,18.62
2018-06-28,ASTBTC,2.095e-05,2.64e-05,1.977e-05,1.991e-05,4170814.0,93.79
2018-06-27,ASTBTC,2.018e-05,2.118e-05,1.991e-05,2.095e-05,669758.0,13.72
