Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2018-06-04,BTCUSD,7633.48,7680,7451,7493.87,503.76,3802031.85
2018-06-03,BTCUSD,7583.8,7702,7556,7633.48,485.94,3711180.25
2018-06-02,BTCUSD,7482.06,7641.01,7436.05,7583.8,241.05,1823128.09
2018-06-01,BTCUSD,7449,7553.56,7350,7482.06,155.51,1155183.54
2018-05-31,BTCUSD,7381.2,7590,7341.29,7449,237.01,1765684.44
2018-05-30,BTCUSD,7433.15,7550,7290.68,7381.2,491.43,3654919.29
2018-05-29,BTCUSD,7225.5,7540,7160,7433.15,499.29,3669295.75
2018-05-28,BTCUSD,7426.8,7494.87,7200,7225.5,577.19,4229925.97
2018-05-27,BTCUSD,7415.18,7491.23,7345,7426.8,487.34,3613545.02
2018-05-26,BTCUSD,7553.16,7650.37,7380,7415.18,486.05,3667514.6
2018-05-25,BTCUSD,7586.7,7644,7400,7553.16,500.18,3758624.76
2018-05-24,BTCUSD,7573.26,7853.93,7360,7586.7,578.85,4389109.8
2018-05-23,BTCUSD,8073,8096.09,7508.08,7573.26,624.48,4891223.8
2018-05-22,BTCUSD,8360.25,8396.86,8024.85,8073,505.35,4169339.36
2018-05-21,BTCUSD,8470,8526.5,8320,8360.25,512.02,4312368.26
2018-05-20,BTCUSD,8199,8515.6,8167.94,8470,494.06,4116998.16
2018-05-19,BTCUSD,8197.77,8339,8084.01,8199,439.41,3609438.36
2018-05-18,BTCUSD,8125.73,8250,8003.43,8197.77,507.61,4111894.76
2018-05-17,BTCUSD,8308.84,8425.78,8047.9,8125.73,519.93,4301677.86
2018-05-16,BTCUSD,8431.17,8476.29,8159.02,8308.84,529.31,4389878.82
2018-05-15,BTCUSD,8581.6,8806.77,8422.02,8431.17,542.0,4653479.13
2018-05-14,BTCUSD,8762.3,8794.46,8385,8581.6,650.1,5586361.91
2018-05-13,BTCUSD,8608,8845,8500.07,8762.3,515.72,4483230.71
2018-05-12,BTCUSD,8581.81,8878.44,8375.02,8608,550.05,4733130.06
2018-05-11,BTCUSD,9073.25,9162.26,8551,8581.81,583.2,5168739.41
2018-05-10,BTCUSD,9293.43,9388,9051,9073.25,457.68,4247704.65
2018-05-09,BTCUSD,9220,9375,9030,9293.43,515.26,4752531.29
2018-05-08,BTCUSD,9412,9490.01,9103,9220,540.51,5027802.22
2018-05-07,BTCUSD,9560,9575.7,9100,9412,565.44,5301878.15
2018-05-06,BTCUSD,9579.1,9645.14,9345.01,9560,552.49,5248098.26
2018-05-05,BTCUSD,9482.2,9724.99,9482.2,9579.1,554.18,5326542.93
2018-05-04,BTCUSD,9494.55,9550,9330.68,9482.2,542.04,5131519.42
2018-05-03,BTCUSD,9164,9498,9066,9494.55,648.64,6008493.05
2018-05-02,BTCUSD,9048,9190,8927.73,9164,455.84,4135288.39
2018-05-01,BTCUSD,9291.05,9291.05,8900,9048,473.94,4273862.68
2018-04-30,BTCUSD,9359.23,9400.1,9170,9291.05,524.17,4872277.48
2018-04-29,BTCUSD,9271,9450,9200,9359.23,540.69,5042920.56
2018-04-28,BTCUSD,8822,9346.7,8800,9271,630.76,5777143.32
2018-04-27,BTCUSD,9199.01,9269.98,8800,8822,564.14,5135467.2
2018-04-26,BTCUSD,8825,9199.02,8672,9199.01,571.17,5075189.97
2018-04-25,BTCUSD,9555,9725,8663,8825,751.56,6875627.55
2018-04-24,BTCUSD,8870.01,9615,8870.01,9555,654.63,6025866.65
2018-04-23,BTCUSD,8807,8940,8765.01,8870.01,526.29,4669436.74
2018-04-22,BTCUSD,8850,8945,8746,8807,541.02,4788872.09
2018-04-21,BTCUSD,8693.9,8985,8545.11,8850,663.69,5815985.54
2018-04-20,BTCUSD,8272,8850,8122,8693.9,687.4,5776870.56
2018-04-19,BTCUSD,8117.96,8309.2,8095.45,8272,526.14,4316805.51
2018-04-18,BTCUSD,7989.1,8210,7951.01,8117.96,580.96,4693264.74
2018-04-17,BTCUSD,8099.19,8224,7878,7989.1,566.77,4584897.35
2018-04-16,BTCUSD,8343,8390,7926.76,8099.19,566.61,4596146.51
2018-04-15,BTCUSD,8027.02,8390,8010.59,8343,584.91,4810404.96
2018-04-14,BTCUSD,7939.94,8210,7879.31,8027.02,575.73,4628193.15
2018-04-13,BTCUSD,7903.5,8297.54,7700,7939.94,739.01,5918898.72
2018-04-12,BTCUSD,6970.72,7940,6836.01,7903.5,893.34,6591415.01
2018-04-11,BTCUSD,6952.56,7054.79,6925,6970.72,455.16,3170150.72
2018-04-10,BTCUSD,6920,7094.95,6865,6952.56,448.74,3117605.99
2018-04-09,BTCUSD,7054.1,7235,6805.1,6920,443.32,3116506.32
2018-04-08,BTCUSD,6982,7250,6977,7054.1,519.78,3679826.07
