Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-04-11,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-10,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-09,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-08,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-07,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-06,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-05,BTCEUR,4334,4461,4334,4461,3.03,13442.11
2019-04-04,BTCEUR,4334,4334,4334,4334,0.0,0.0
2019-04-03,BTCEUR,4395,4600,4334,4334,1.82,8132.79
2019-04-02,BTCEUR,3595,4395,3595,4395,3.0,13181.92
2019-04-01,BTCEUR,3595,3595,3595,3595,0.0,0.0
2019-03-31,BTCEUR,3595,3595,3595,3595,0.0,0.0
2019-03-30,BTCEUR,3595,3595,3595,3595,0.0,0.0
2019-03-29,BTCEUR,3579,3595,3579,3595,17.67,63416.68
2019-03-28,BTCEUR,3579,3579,3578,3579,1.7,6076.74
2019-03-27,BTCEUR,3460,3579,3460,3579,35.03,124422.35
2019-03-26,BTCEUR,3460,3460,3460,3460,0.0,0.0
2019-03-25,BTCEUR,3539,3539,3457,3460,3.98,13752.9
2019-03-24,BTCEUR,3539,3539,3539,3539,0.0,0.0
2019-03-23,BTCEUR,3539,3539,3539,3539,0.0,0.0
2019-03-22,BTCEUR,3515,3540,3515,3539,12.97,45925.96
2019-03-21,BTCEUR,3515,3515,3515,3515,0.0,0.0
2019-03-20,BTCEUR,3517,3517,3515,3515,0.9041,3177.91
2019-03-19,BTCEUR,3450,3517,3450,3517,10.0,35170.0
2019-03-18,BTCEUR,3450,3450,3450,3450,0.0,0.0
2019-03-17,BTCEUR,3450,3450,3450,3450,0.0,0.0
2019-03-16,BTCEUR,3434,3450,3434,3450,1.26,4353.9
2019-03-15,BTCEUR,3424,3434,3424,3434,17.99,61752.11
2019-03-14,BTCEUR,3424,3424,3424,3424,0.0,0.0
2019-03-13,BTCEUR,3424,3424,3424,3424,0.0,0.0
